location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/La Valsainte,46.648728,7.182475,1050,1956,1956-04-17,108,-4.76,0.3,90.0,214.5
Switzerland/La Valsainte,46.648728,7.182475,1050,1957,1957-05-10,130,-0.8,4.8,90.0,331.5
Switzerland/La Valsainte,46.648728,7.182475,1050,1959,1959-04-15,105,-1.27,1.0,90.0,279.1
Switzerland/La Valsainte,46.648728,7.182475,1050,1960,1960-04-25,116,-1.19,1.0,90.0,364.3
Switzerland/La Valsainte,46.648728,7.182475,1050,1961,1961-04-01,91,-0.57,0.0,90.0,326.2
Switzerland/La Valsainte,46.648728,7.182475,1050,1962,1962-04-10,100,-3.15,0.1,90.0,448.1
Switzerland/La Valsainte,46.648728,7.182475,1050,1963,1963-05-01,121,-5.33,0.0,90.0,323.0
Switzerland/La Valsainte,46.648728,7.182475,1050,1964,1964-04-22,113,-2.04,0.0,90.0,253.6
Switzerland/La Valsainte,46.648728,7.182475,1050,1965,1965-05-08,128,-3.42,0.5,90.0,361.3
Switzerland/La Valsainte,46.648728,7.182475,1050,1966,1966-05-01,121,-1.58,0.0,90.0,432.1
Switzerland/La Valsainte,46.648728,7.182475,1050,1968,1968-04-17,108,-1.99,0.9,90.0,469.1
Switzerland/La Valsainte,46.648728,7.182475,1050,1969,1969-05-15,135,-2.67,0.0,90.0,294.6
Switzerland/La Valsainte,46.648728,7.182475,1050,1970,1970-05-29,149,-2.72,0.0,90.0,643.4
Switzerland/La Valsainte,46.648728,7.182475,1050,1971,1971-05-05,125,-4.06,0.0,90.0,263.5
Switzerland/La Valsainte,46.648728,7.182475,1050,1972,1972-05-12,133,-0.58,0.0,90.0,214.8
Switzerland/La Valsainte,46.648728,7.182475,1050,1973,1973-05-25,145,-2.91,0.0,90.0,267.4
Switzerland/La Valsainte,46.648728,7.182475,1050,1996,1996-05-20,141,-2.21,0.6,90.0,225.7
Switzerland/La Valsainte,46.648728,7.182475,1050,1998,1998-05-15,135,-0.6,6.8,90.0,248.7
Switzerland/La Valsainte,46.648728,7.182475,1050,1999,1999-05-08,128,-1.84,0.0,90.0,525.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2000,2000-05-06,127,-1.22,0.0,90.0,333.0
Switzerland/La Valsainte,46.648728,7.182475,1050,2001,2001-05-17,137,-0.2,4.3,90.0,508.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2002,2002-05-11,131,-0.76,3.3,90.0,276.8
Switzerland/La Valsainte,46.648728,7.182475,1050,2003,2003-04-30,120,-2.41,2.2,90.0,276.4
Switzerland/La Valsainte,46.648728,7.182475,1050,2004,2004-05-08,129,-1.67,1.4,90.0,405.0
Switzerland/La Valsainte,46.648728,7.182475,1050,2005,2005-05-03,123,-3.49,3.3,90.0,310.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2006,2006-05-27,147,-3.1,3.8,90.0,351.3
Switzerland/La Valsainte,46.648728,7.182475,1050,2007,2007-04-23,113,0.29,1.0,90.0,442.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2008,2008-05-08,129,-0.92,0.1,90.0,345.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2009,2009-05-05,125,-2.86,0.0,90.0,377.9
Switzerland/La Valsainte,46.648728,7.182475,1050,2010,2010-05-03,123,-3.32,0.7,90.0,228.0
Switzerland/La Valsainte,46.648728,7.182475,1050,2011,2011-04-18,108,-0.79,3.3,90.0,183.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2012,2012-04-28,119,-1.74,8.4,90.0,269.7
Switzerland/La Valsainte,46.648728,7.182475,1050,2013,2013-05-08,128,-2.77,0.0,90.0,358.0
Switzerland/La Valsainte,46.648728,7.182475,1050,2014,2014-04-25,115,0.17,9.6,90.0,362.0
Switzerland/La Valsainte,46.648728,7.182475,1050,2015,2015-05-03,123,-1.36,0.0,90.0,365.5
Switzerland/La Valsainte,46.648728,7.182475,1050,2020,2020-04-20,111,1.3,19.9,87.0,349.5
Switzerland/La Valsainte,46.648728,7.182475,1050,2021,2021-05-18,138,-0.68,10.5,90.0,413.2
Switzerland/La Valsainte,46.648728,7.182475,1050,2022,2022-04-29,119,0.12,13.5,89.0,251.5
Switzerland/La Valsainte,46.648728,7.182475,1050,2023,2023-05-04,124,0.2,19.1,89.0,339.5
