location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Lanterswil,47.514847,9.098194,570,1992,1992-04-24,115,1.33,18.8,,248.9
Switzerland/Lanterswil,47.514847,9.098194,570,1993,1993-04-21,111,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1994,1994-03-31,90,2.99,77.6,88.0,267.8
Switzerland/Lanterswil,47.514847,9.098194,570,1995,1995-04-14,104,1.37,11.7,,395.2
Switzerland/Lanterswil,47.514847,9.098194,570,1996,1996-04-26,117,-0.29,14.6,90.0,136.0
Switzerland/Lanterswil,47.514847,9.098194,570,1997,1997-04-12,102,,,89.0,
Switzerland/Lanterswil,47.514847,9.098194,570,1999,1999-04-26,116,0.99,27.7,,384.6
Switzerland/Lanterswil,47.514847,9.098194,570,2000,2000-04-22,113,,,90.0,
Switzerland/Lanterswil,47.514847,9.098194,570,2001,2001-04-16,106,,,89.0,
Switzerland/Lanterswil,47.514847,9.098194,570,2002,2002-04-08,98,2.87,66.2,88.0,191.9
Switzerland/Lanterswil,47.514847,9.098194,570,2003,2003-04-18,108,,,88.0,
Switzerland/Lanterswil,47.514847,9.098194,570,2004,2004-04-23,114,0.5,30.8,90.0,261.4
Switzerland/Lanterswil,47.514847,9.098194,570,2005,2005-04-20,110,-0.26,46.4,90.0,240.3
Switzerland/Lanterswil,47.514847,9.098194,570,2006,2006-04-28,118,-1.12,9.7,90.0,246.8
Switzerland/Lanterswil,47.514847,9.098194,570,2007,2007-04-10,100,3.29,39.1,83.0,269.7
Switzerland/Lanterswil,47.514847,9.098194,570,2008,2008-04-22,113,2.11,26.6,89.0,224.5
Switzerland/Lanterswil,47.514847,9.098194,570,2009,2009-04-14,104,-0.39,0.4,90.0,274.6
Switzerland/Lanterswil,47.514847,9.098194,570,2010,2010-04-20,110,-0.67,30.6,,171.0
