location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Laufenburg,47.561031,8.063136,330,1970,1970-05-05,125,0.79,18.0,90.0,401.1
Switzerland/Laufenburg,47.561031,8.063136,330,1971,1971-04-20,110,0.46,8.6,88.0,174.6
Switzerland/Laufenburg,47.561031,8.063136,330,1972,1972-04-19,110,4.08,95.1,88.0,134.1
Switzerland/Laufenburg,47.561031,8.063136,330,1973,1973-05-01,121,1.27,31.7,90.0,157.2
Switzerland/Laufenburg,47.561031,8.063136,330,1974,1974-04-08,98,5.07,130.4,86.0,207.5
Switzerland/Laufenburg,47.561031,8.063136,330,1975,1975-04-27,117,3.76,40.9,84.0,207.0
Switzerland/Laufenburg,47.561031,8.063136,330,1976,1976-04-18,109,2.67,46.6,89.0,158.0
Switzerland/Laufenburg,47.561031,8.063136,330,1977,1977-04-05,95,4.23,128.5,87.0,353.9
Switzerland/Laufenburg,47.561031,8.063136,330,1978,1978-04-27,117,2.0,42.9,89.0,336.4
Switzerland/Laufenburg,47.561031,8.063136,330,1979,1979-04-23,113,1.72,42.2,87.0,334.4
Switzerland/Laufenburg,47.561031,8.063136,330,1980,1980-04-27,118,3.03,51.4,76.0,239.5
Switzerland/Laufenburg,47.561031,8.063136,330,1981,1981-04-12,102,2.07,110.5,89.0,289.0
Switzerland/Laufenburg,47.561031,8.063136,330,1982,1982-04-24,114,2.85,38.6,88.0,275.6
Switzerland/Laufenburg,47.561031,8.063136,330,1983,1983-04-21,111,3.05,79.7,79.0,245.9
Switzerland/Laufenburg,47.561031,8.063136,330,1984,1984-04-27,118,1.78,24.9,87.0,261.2
Switzerland/Laufenburg,47.561031,8.063136,330,1985,1985-04-21,111,0.06,39.1,85.0,205.7
Switzerland/Laufenburg,47.561031,8.063136,330,1986,1986-05-06,126,0.6,37.7,84.0,264.9
Switzerland/Laufenburg,47.561031,8.063136,330,1987,1987-04-27,117,0.39,36.2,87.0,199.3
Switzerland/Laufenburg,47.561031,8.063136,330,1988,1988-04-22,113,3.78,54.1,82.0,388.6
Switzerland/Laufenburg,47.561031,8.063136,330,1989,1989-04-04,94,5.28,139.4,82.0,166.8
Switzerland/Laufenburg,47.561031,8.063136,330,1990,1990-03-24,83,5.88,192.0,72.0,213.9
Switzerland/Laufenburg,47.561031,8.063136,330,1991,1991-04-13,103,3.66,135.8,82.0,161.6
Switzerland/Laufenburg,47.561031,8.063136,330,1992,1992-04-28,119,3.63,77.0,83.0,190.1
Switzerland/Laufenburg,47.561031,8.063136,330,1993,1993-04-19,109,3.9,95.9,83.0,104.0
Switzerland/Laufenburg,47.561031,8.063136,330,1994,1994-03-31,90,5.45,162.1,79.0,234.6
Switzerland/Laufenburg,47.561031,8.063136,330,1995,1995-04-22,112,3.81,88.1,67.0,385.1
Switzerland/Laufenburg,47.561031,8.063136,330,1996,1996-04-25,116,2.34,45.3,88.0,130.8
Switzerland/Laufenburg,47.561031,8.063136,330,1997,1997-04-03,93,4.55,136.3,81.0,136.2
Switzerland/Laufenburg,47.561031,8.063136,330,1998,1998-04-22,112,4.75,124.1,73.0,167.0
Switzerland/Laufenburg,47.561031,8.063136,330,1999,1999-04-17,107,3.39,83.2,85.0,325.5
Switzerland/Laufenburg,47.561031,8.063136,330,2000,2000-04-20,111,4.11,82.7,85.0,229.9
