location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Le Locle,47.047992,6.754314,1020,1956,1956-05-15,136,-3.02,14.5,90.0,231.1
Switzerland/Le Locle,47.047992,6.754314,1020,1957,1957-05-01,121,1.3,47.3,90.0,382.4
Switzerland/Le Locle,47.047992,6.754314,1020,1986,1986-05-16,136,-1.99,0.0,90.0,469.6
Switzerland/Le Locle,47.047992,6.754314,1020,1987,1987-05-24,144,-2.39,0.0,90.0,359.0
Switzerland/Le Locle,47.047992,6.754314,1020,1988,1988-05-19,140,0.55,2.8,89.0,659.6
Switzerland/Le Locle,47.047992,6.754314,1020,1989,1989-05-20,140,1.95,45.8,90.0,300.7
Switzerland/Le Locle,47.047992,6.754314,1020,1990,1990-05-17,137,2.76,63.8,83.0,385.1
Switzerland/Le Locle,47.047992,6.754314,1020,1991,1991-05-29,149,1.24,41.9,87.0,273.9
Switzerland/Le Locle,47.047992,6.754314,1020,1992,1992-05-08,129,0.64,9.2,90.0,295.3
Switzerland/Le Locle,47.047992,6.754314,1020,1993,1993-05-13,133,1.19,28.9,89.0,149.5
Switzerland/Le Locle,47.047992,6.754314,1020,1994,1994-05-14,134,2.2,50.5,89.0,403.0
Switzerland/Le Locle,47.047992,6.754314,1020,1995,1995-05-10,130,0.48,2.3,89.0,675.1
Switzerland/Le Locle,47.047992,6.754314,1020,1996,1996-05-16,137,-0.15,15.6,90.0,228.0
Switzerland/Le Locle,47.047992,6.754314,1020,1997,1997-05-15,135,2.04,36.9,89.0,258.0
Switzerland/Le Locle,47.047992,6.754314,1020,1999,1999-05-22,142,0.26,8.4,90.0,560.1
Switzerland/Le Locle,47.047992,6.754314,1020,2000,2000-05-03,124,0.88,9.1,90.0,362.8
Switzerland/Le Locle,47.047992,6.754314,1020,2001,2001-05-03,123,1.85,25.3,89.0,600.3
Switzerland/Le Locle,47.047992,6.754314,1020,2002,2002-04-25,115,1.83,30.5,90.0,299.2
Switzerland/Le Locle,47.047992,6.754314,1020,2003,2003-05-18,138,0.06,40.1,89.0,268.2
Switzerland/Le Locle,47.047992,6.754314,1020,2004,2004-05-23,144,0.16,26.0,90.0,422.1
Switzerland/Le Locle,47.047992,6.754314,1020,2005,2005-05-09,129,-0.97,35.0,90.0,319.3
Switzerland/Le Locle,47.047992,6.754314,1020,2007,2007-04-30,120,2.34,18.4,87.0,483.0
Switzerland/Le Locle,47.047992,6.754314,1020,2008,2008-05-12,133,1.29,8.6,89.0,360.0
Switzerland/Le Locle,47.047992,6.754314,1020,2009,2009-05-08,128,-1.59,0.0,90.0,365.7
Switzerland/Le Locle,47.047992,6.754314,1020,2010,2010-05-12,132,-1.29,23.0,90.0,288.3
Switzerland/Le Locle,47.047992,6.754314,1020,2011,2011-04-25,115,1.44,24.2,90.0,202.2
Switzerland/Le Locle,47.047992,6.754314,1020,2012,2012-05-02,123,0.24,53.5,90.0,246.3
Switzerland/Le Locle,47.047992,6.754314,1020,2013,2013-05-29,149,-1.32,1.0,90.0,359.5
Switzerland/Le Locle,47.047992,6.754314,1020,2014,2014-04-26,116,2.12,41.8,90.0,365.9
Switzerland/Le Locle,47.047992,6.754314,1020,2015,2015-05-05,125,0.48,8.0,90.0,373.7
Switzerland/Le Locle,47.047992,6.754314,1020,2016,2016-05-17,138,1.17,15.0,90.0,588.1
Switzerland/Le Locle,47.047992,6.754314,1020,2017,2017-05-15,135,1.05,53.8,89.0,282.2
Switzerland/Le Locle,47.047992,6.754314,1020,2018,2018-04-30,120,-0.27,0.6,90.0,494.9
Switzerland/Le Locle,47.047992,6.754314,1020,2019,2019-05-24,144,1.2,35.5,86.0,309.1
Switzerland/Le Locle,47.047992,6.754314,1020,2020,2020-04-29,120,2.58,49.7,83.0,325.9
Switzerland/Le Locle,47.047992,6.754314,1020,2021,2021-05-19,139,0.89,48.4,82.0,368.3
Switzerland/Le Locle,47.047992,6.754314,1020,2022,2022-05-10,130,1.77,49.7,88.0,256.2
Switzerland/Le Locle,47.047992,6.754314,1020,2023,2023-05-10,130,1.54,52.8,84.0,289.1
