location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Le SÈpey,46.365406,7.065819,1265,1995,1995-05-10,130,,,90.0,
Switzerland/Le SÈpey,46.365406,7.065819,1265,2000,2000-05-05,126,-3.15,0.0,90.0,345.6
Switzerland/Le SÈpey,46.365406,7.065819,1265,2002,2002-05-27,147,,,,
Switzerland/Le SÈpey,46.365406,7.065819,1265,2003,2003-05-01,121,-4.43,0.0,90.0,289.7
Switzerland/Le SÈpey,46.365406,7.065819,1265,2004,2004-05-19,140,,,90.0,
Switzerland/Le SÈpey,46.365406,7.065819,1265,2010,2010-05-04,124,-5.22,0.0,90.0,266.2
Switzerland/Le SÈpey,46.365406,7.065819,1265,2011,2011-04-20,110,-2.69,0.0,,168.9
Switzerland/Le SÈpey,46.365406,7.065819,1265,2012,2012-05-10,131,-3.61,0.0,,270.4
Switzerland/Le SÈpey,46.365406,7.065819,1265,2014,2014-04-25,115,-1.67,0.3,90.0,385.1
Switzerland/Le SÈpey,46.365406,7.065819,1265,2015,2015-05-01,121,,,90.0,
Switzerland/Le SÈpey,46.365406,7.065819,1265,2018,2018-04-23,113,-2.42,0.0,90.0,613.8
Switzerland/Le SÈpey,46.365406,7.065819,1265,2020,2020-05-01,122,,,90.0,
