location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Diablerets,46.355131,7.118014,1100,1967,1967-05-15,135,-2.14,0.4,90.0,376.5
Switzerland/Les Diablerets,46.355131,7.118014,1100,1985,1985-06-01,152,-4.02,0.0,90.0,378.9
Switzerland/Les Diablerets,46.355131,7.118014,1100,1986,1986-05-15,135,-3.37,0.0,90.0,440.2
Switzerland/Les Diablerets,46.355131,7.118014,1100,1987,1987-05-30,150,-3.74,0.0,,393.0
Switzerland/Les Diablerets,46.355131,7.118014,1100,1988,1988-05-15,136,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1989,1989-05-09,129,-0.92,5.2,90.0,235.1
Switzerland/Les Diablerets,46.355131,7.118014,1100,1990,1990-05-09,129,-0.77,6.1,90.0,388.1
Switzerland/Les Diablerets,46.355131,7.118014,1100,1991,1991-06-09,160,,,90.0,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1992,1992-05-19,140,-2.24,0.0,90.0,303.7
Switzerland/Les Diablerets,46.355131,7.118014,1100,1993,1993-05-12,132,-2.28,2.6,90.0,177.4
Switzerland/Les Diablerets,46.355131,7.118014,1100,1994,1994-05-09,129,-0.23,10.0,90.0,325.8
Switzerland/Les Diablerets,46.355131,7.118014,1100,1997,1997-05-28,148,-0.62,0.3,,264.4
Switzerland/Les Diablerets,46.355131,7.118014,1100,1998,1998-05-12,132,-1.09,3.3,90.0,248.7
Switzerland/Les Diablerets,46.355131,7.118014,1100,1999,1999-05-20,140,,,90.0,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2000,2000-05-15,136,-1.82,0.5,90.0,333.0
Switzerland/Les Diablerets,46.355131,7.118014,1100,2001,2001-05-14,134,-0.46,3.5,90.0,508.2
Switzerland/Les Diablerets,46.355131,7.118014,1100,2002,2002-05-18,138,-1.41,0.0,90.0,276.8
Switzerland/Les Diablerets,46.355131,7.118014,1100,2003,2003-05-20,140,-2.73,1.6,90.0,276.4
Switzerland/Les Diablerets,46.355131,7.118014,1100,2004,2004-05-30,151,,,90.0,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2005,2005-05-14,134,-4.12,2.5,,310.2
Switzerland/Les Diablerets,46.355131,7.118014,1100,2006,2006-05-30,150,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2007,2007-04-23,113,-0.06,0.0,90.0,442.2
