location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1957,1957-05-15,135,-0.93,3.7,90.0,331.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1959,1959-05-15,135,-1.08,0.9,90.0,279.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1967,1967-05-15,135,-1.83,0.7,90.0,376.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1971,1971-05-15,135,-3.97,0.0,90.0,263.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1972,1972-05-15,136,-0.41,0.2,90.0,214.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1973,1973-05-25,145,-2.86,0.0,90.0,267.4
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1976,1976-05-15,136,-1.61,0.5,90.0,190.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1977,1977-05-10,130,-0.34,1.4,90.0,490.7
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1978,1978-05-22,142,-1.53,0.0,90.0,571.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1979,1979-05-24,144,-2.2,0.0,90.0,481.2
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1980,1980-06-01,153,-1.53,0.4,90.0,428.4
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1981,1981-05-07,127,-2.8,6.9,90.0,476.2
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1982,1982-05-15,135,-1.16,0.0,90.0,378.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1983,1983-05-10,130,-1.92,0.2,90.0,388.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1985,1985-05-18,138,-3.72,0.0,90.0,378.9
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1987,1987-05-25,145,-3.43,0.0,90.0,393.0
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1989,1989-05-08,128,-0.62,7.0,90.0,235.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1990,1990-05-03,123,-0.46,8.0,90.0,388.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1991,1991-05-13,133,-1.46,2.5,90.0,267.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1992,1992-05-09,130,-1.94,0.3,90.0,303.7
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1993,1993-05-01,121,-1.98,3.6,90.0,177.4
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1994,1994-04-30,120,0.07,12.6,90.0,325.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1995,1995-05-06,126,-1.63,0.0,90.0,679.3
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1996,1996-05-14,135,-2.24,0.5,90.0,225.7
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2002,2002-05-17,137,-1.11,0.0,90.0,276.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2003,2003-04-30,120,-2.42,2.9,90.0,276.4
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2004,2004-05-01,122,-1.89,1.0,90.0,405.0
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2006,2006-05-07,127,-3.3,4.6,90.0,351.3
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2008,2008-05-10,131,-0.99,0.7,90.0,345.2
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2009,2009-05-22,142,-2.89,0.0,90.0,377.9
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2011,2011-04-24,114,-0.88,5.1,90.0,183.2
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2012,2012-04-29,120,-1.72,15.3,90.0,269.7
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2013,2013-05-12,132,-2.83,0.0,90.0,358.0
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2014,2014-05-09,129,0.28,10.2,90.0,362.0
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2015,2015-05-08,128,-1.25,0.0,90.0,365.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2016,2016-05-11,132,-0.46,3.5,90.0,530.5
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2017,2017-05-01,121,-0.04,29.8,90.0,349.7
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2018,2018-04-29,119,-1.07,0.0,90.0,539.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2019,2019-05-11,131,0.67,9.4,90.0,366.8
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2020,2020-04-23,114,1.8,20.2,90.0,361.3
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2021,2021-05-04,124,-0.2,15.1,90.0,435.3
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2022,2022-04-30,120,0.1,17.0,90.0,303.4
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2023,2023-05-06,126,0.74,26.7,90.0,348.8
