location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Rangiers,47.381992,7.215775,865,1978,1978-06-10,161,-0.25,17.2,89.0,433.1
Switzerland/Les Rangiers,47.381992,7.215775,865,1979,1979-06-12,163,-0.48,7.9,90.0,437.4
Switzerland/Les Rangiers,47.381992,7.215775,865,1982,1982-06-12,163,0.97,8.0,90.0,343.5
Switzerland/Les Rangiers,47.381992,7.215775,865,1983,1983-05-10,130,0.75,19.9,87.0,321.0
Switzerland/Les Rangiers,47.381992,7.215775,865,1984,1984-05-12,133,-0.6,3.2,88.0,403.0
Switzerland/Les Rangiers,47.381992,7.215775,865,1985,1985-05-10,130,-2.22,6.6,90.0,277.2
Switzerland/Les Rangiers,47.381992,7.215775,865,1986,1986-05-10,130,-2.0,3.4,90.0,383.4
Switzerland/Les Rangiers,47.381992,7.215775,865,1987,1987-05-05,125,-1.94,7.6,90.0,264.5
Switzerland/Les Rangiers,47.381992,7.215775,865,1988,1988-05-06,127,1.18,11.4,86.0,524.2
Switzerland/Les Rangiers,47.381992,7.215775,865,1989,1989-05-03,123,2.87,63.9,88.0,233.2
Switzerland/Les Rangiers,47.381992,7.215775,865,1990,1990-04-20,110,3.5,89.7,77.0,285.5
Switzerland/Les Rangiers,47.381992,7.215775,865,1991,1991-04-18,108,1.45,52.3,85.0,228.3
Switzerland/Les Rangiers,47.381992,7.215775,865,1992,1992-04-26,117,1.28,14.5,90.0,233.2
Switzerland/Les Rangiers,47.381992,7.215775,865,1993,1993-04-25,115,1.65,44.0,87.0,122.9
Switzerland/Les Rangiers,47.381992,7.215775,865,1994,1994-04-25,115,2.94,67.1,88.0,307.1
Switzerland/Les Rangiers,47.381992,7.215775,865,1995,1995-05-01,121,1.15,15.5,86.0,533.3
Switzerland/Les Rangiers,47.381992,7.215775,865,1998,1998-05-01,121,2.24,43.4,86.0,217.9
Switzerland/Les Rangiers,47.381992,7.215775,865,1999,1999-05-02,122,1.08,32.1,90.0,423.4
Switzerland/Les Rangiers,47.381992,7.215775,865,2000,2000-04-28,119,1.72,18.9,89.0,292.1
Switzerland/Les Rangiers,47.381992,7.215775,865,2001,2001-05-05,125,2.45,40.8,86.0,526.1
Switzerland/Les Rangiers,47.381992,7.215775,865,2002,2002-04-30,120,2.63,52.1,86.0,240.3
Switzerland/Les Rangiers,47.381992,7.215775,865,2003,2003-04-25,115,0.62,45.4,87.0,195.8
Switzerland/Les Rangiers,47.381992,7.215775,865,2004,2004-04-20,111,0.78,32.6,89.0,356.9
Switzerland/Les Rangiers,47.381992,7.215775,865,2005,2005-05-03,123,-0.32,50.4,90.0,257.4
Switzerland/Les Rangiers,47.381992,7.215775,865,2006,2006-05-05,125,-0.76,20.5,90.0,369.6
Switzerland/Les Rangiers,47.381992,7.215775,865,2007,2007-04-17,107,3.13,38.8,82.0,394.5
Switzerland/Les Rangiers,47.381992,7.215775,865,2008,2008-04-25,116,1.99,21.2,90.0,269.3
Switzerland/Les Rangiers,47.381992,7.215775,865,2009,2009-04-20,110,-1.34,0.0,90.0,300.5
Switzerland/Les Rangiers,47.381992,7.215775,865,2010,2010-04-30,120,-0.97,32.1,90.0,244.0
Switzerland/Les Rangiers,47.381992,7.215775,865,2011,2011-04-11,101,1.87,34.1,90.0,174.2
Switzerland/Les Rangiers,47.381992,7.215775,865,2012,2012-04-30,121,0.58,59.5,90.0,193.8
Switzerland/Les Rangiers,47.381992,7.215775,865,2013,2013-05-10,130,-0.86,3.4,88.0,304.1
Switzerland/Les Rangiers,47.381992,7.215775,865,2014,2014-04-18,108,2.87,53.3,90.0,287.6
Switzerland/Les Rangiers,47.381992,7.215775,865,2015,2015-04-30,120,1.01,20.8,88.0,287.7
Switzerland/Les Rangiers,47.381992,7.215775,865,2016,2016-05-08,129,1.76,25.6,86.0,476.8
Switzerland/Les Rangiers,47.381992,7.215775,865,2018,2018-04-22,112,0.32,5.4,90.0,380.6
Switzerland/Les Rangiers,47.381992,7.215775,865,2019,2019-04-20,110,1.24,27.3,88.0,219.0
Switzerland/Les Rangiers,47.381992,7.215775,865,2020,2020-04-12,103,2.41,53.3,82.0,256.8
Switzerland/Les Rangiers,47.381992,7.215775,865,2022,2022-04-21,111,1.85,45.7,85.0,172.9
Switzerland/Les Rangiers,47.381992,7.215775,865,2023,2023-04-23,113,1.99,58.1,85.0,241.1
