location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Leysin,46.340108,7.009622,1250,1967,1967-05-20,140,-3.46,0.0,90.0,378.5
Switzerland/Leysin,46.340108,7.009622,1250,1968,1968-05-01,122,-3.55,0.0,90.0,429.3
Switzerland/Leysin,46.340108,7.009622,1250,1970,1970-05-30,150,-4.29,0.0,90.0,666.3
Switzerland/Leysin,46.340108,7.009622,1250,1971,1971-05-10,130,-5.61,0.0,90.0,280.8
Switzerland/Leysin,46.340108,7.009622,1250,1972,1972-05-27,148,-1.9,0.0,90.0,247.6
Switzerland/Leysin,46.340108,7.009622,1250,1973,1973-06-01,152,-4.49,0.0,90.0,242.6
Switzerland/Leysin,46.340108,7.009622,1250,1974,1974-05-20,140,-1.37,0.0,90.0,300.3
Switzerland/Leysin,46.340108,7.009622,1250,1975,1975-05-29,149,-2.63,0.0,90.0,314.3
Switzerland/Leysin,46.340108,7.009622,1250,1976,1976-05-24,145,-3.24,0.0,90.0,200.0
Switzerland/Leysin,46.340108,7.009622,1250,1977,1977-05-20,140,-1.79,0.0,90.0,534.8
Switzerland/Leysin,46.340108,7.009622,1250,1978,1978-06-02,153,-3.02,0.0,90.0,597.9
Switzerland/Leysin,46.340108,7.009622,1250,1979,1979-06-04,155,-3.67,0.0,90.0,540.0
Switzerland/Leysin,46.340108,7.009622,1250,1980,1980-06-10,162,-3.17,0.0,90.0,471.9
Switzerland/Leysin,46.340108,7.009622,1250,1981,1981-05-30,150,-4.56,2.8,90.0,458.2
Switzerland/Leysin,46.340108,7.009622,1250,1982,1982-05-25,145,-3.0,0.0,90.0,363.9
Switzerland/Leysin,46.340108,7.009622,1250,1983,1983-05-24,144,-3.83,0.0,90.0,375.8
Switzerland/Leysin,46.340108,7.009622,1250,1984,1984-06-04,156,-4.91,0.0,90.0,471.4
Switzerland/Leysin,46.340108,7.009622,1250,1985,1985-05-26,146,-5.19,0.0,90.0,417.7
Switzerland/Leysin,46.340108,7.009622,1250,1986,1986-05-20,140,-4.66,0.0,90.0,473.1
Switzerland/Leysin,46.340108,7.009622,1250,1987,1987-06-05,156,-5.01,0.0,90.0,378.1
Switzerland/Leysin,46.340108,7.009622,1250,1988,1988-05-12,133,-3.38,0.0,90.0,617.7
Switzerland/Leysin,46.340108,7.009622,1250,1989,1989-05-07,127,-2.56,0.1,90.0,239.9
Switzerland/Leysin,46.340108,7.009622,1250,1990,1990-05-05,125,-2.34,3.0,90.0,404.4
Switzerland/Leysin,46.340108,7.009622,1250,1991,1991-05-26,146,-3.26,0.0,90.0,286.5
Switzerland/Leysin,46.340108,7.009622,1250,1992,1992-05-12,133,-3.74,0.0,90.0,279.9
Switzerland/Leysin,46.340108,7.009622,1250,1993,1993-05-09,129,-3.96,1.0,90.0,142.6
Switzerland/Leysin,46.340108,7.009622,1250,1994,1994-05-04,124,-1.65,4.3,90.0,305.7
Switzerland/Leysin,46.340108,7.009622,1250,1995,1995-05-07,127,-3.65,0.0,90.0,715.1
Switzerland/Leysin,46.340108,7.009622,1250,1996,1996-05-14,135,-4.01,0.0,90.0,240.7
Switzerland/Leysin,46.340108,7.009622,1250,1997,1997-05-02,122,-2.1,0.0,90.0,246.0
Switzerland/Leysin,46.340108,7.009622,1250,1998,1998-05-14,134,-2.74,0.7,90.0,252.6
Switzerland/Leysin,46.340108,7.009622,1250,1999,1999-05-11,131,-3.75,0.0,90.0,492.5
Switzerland/Leysin,46.340108,7.009622,1250,2000,2000-05-08,129,-3.3,0.0,90.0,306.0
Switzerland/Leysin,46.340108,7.009622,1250,2001,2001-05-14,134,-1.86,2.4,90.0,589.6
Switzerland/Leysin,46.340108,7.009622,1250,2002,2002-05-18,138,-2.87,0.0,90.0,282.6
Switzerland/Leysin,46.340108,7.009622,1250,2003,2003-04-30,120,-4.3,0.2,90.0,263.2
Switzerland/Leysin,46.340108,7.009622,1250,2004,2004-05-04,125,-3.69,0.0,90.0,413.8
Switzerland/Leysin,46.340108,7.009622,1250,2005,2005-05-10,130,-5.76,0.7,90.0,267.6
Switzerland/Leysin,46.340108,7.009622,1250,2006,2006-05-17,137,-4.97,2.1,90.0,402.0
Switzerland/Leysin,46.340108,7.009622,1250,2007,2007-04-26,116,-1.37,0.0,90.0,458.1
Switzerland/Leysin,46.340108,7.009622,1250,2008,2008-05-14,135,-2.55,0.0,90.0,368.8
Switzerland/Leysin,46.340108,7.009622,1250,2009,2009-05-08,128,-4.61,0.0,90.0,337.8
Switzerland/Leysin,46.340108,7.009622,1250,2010,2010-05-08,128,-5.1,0.2,90.0,287.9
Switzerland/Leysin,46.340108,7.009622,1250,2011,2011-04-22,112,-2.3,0.0,90.0,190.1
Switzerland/Leysin,46.340108,7.009622,1250,2012,2012-05-06,127,-3.32,3.3,90.0,236.7
Switzerland/Leysin,46.340108,7.009622,1250,2013,2013-05-24,144,-4.57,0.0,90.0,376.3
Switzerland/Leysin,46.340108,7.009622,1250,2014,2014-04-26,116,-1.41,1.4,90.0,379.2
Switzerland/Leysin,46.340108,7.009622,1250,2015,2015-05-06,126,-2.82,0.0,90.0,374.0
Switzerland/Leysin,46.340108,7.009622,1250,2016,2016-05-14,135,-2.18,0.9,90.0,575.4
Switzerland/Leysin,46.340108,7.009622,1250,2018,2018-04-29,119,-1.72,0.0,90.0,613.8
