location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Leytron,46.18625,7.21845,480,1976,1976-04-02,93,1.5,30.1,90.0,190.8
Switzerland/Leytron,46.18625,7.21845,480,1977,1977-03-26,85,3.26,85.9,88.0,490.7
Switzerland/Leytron,46.18625,7.21845,480,1978,1978-04-10,100,1.91,55.3,86.0,571.1
Switzerland/Leytron,46.18625,7.21845,480,1979,1979-03-26,85,1.2,38.5,87.0,481.2
Switzerland/Leytron,46.18625,7.21845,480,1980,1980-04-15,106,1.56,24.7,90.0,428.4
Switzerland/Leytron,46.18625,7.21845,480,1981,1981-04-06,96,0.19,71.3,90.0,476.2
Switzerland/Leytron,46.18625,7.21845,480,1982,1982-04-15,105,1.72,9.9,90.0,378.5
Switzerland/Leytron,46.18625,7.21845,480,1983,1983-04-15,105,0.78,39.2,89.0,388.1
Switzerland/Leytron,46.18625,7.21845,480,1984,1984-04-20,111,-0.38,4.6,89.0,452.9
Switzerland/Leytron,46.18625,7.21845,480,1985,1985-04-20,110,-0.3,24.0,89.0,378.9
Switzerland/Leytron,46.18625,7.21845,480,1986,1986-04-25,115,0.08,24.0,90.0,440.2
Switzerland/Leytron,46.18625,7.21845,480,1987,1987-04-19,109,-0.26,16.1,90.0,393.0
Switzerland/Leytron,46.18625,7.21845,480,1988,1988-04-17,108,1.39,20.8,87.0,652.9
Switzerland/Leytron,46.18625,7.21845,480,1989,1989-03-30,89,2.4,81.9,84.0,235.1
Switzerland/Leytron,46.18625,7.21845,480,1990,1990-03-31,90,2.49,93.7,81.0,388.1
Switzerland/Leytron,46.18625,7.21845,480,1991,1991-04-08,98,1.47,91.2,87.0,267.8
Switzerland/Leytron,46.18625,7.21845,480,1992,1992-04-09,100,0.92,37.3,90.0,303.7
Switzerland/Leytron,46.18625,7.21845,480,1993,1993-04-12,102,0.66,42.7,89.0,177.4
Switzerland/Leytron,46.18625,7.21845,480,1994,1994-03-25,84,3.1,97.5,87.0,325.8
Switzerland/Leytron,46.18625,7.21845,480,1995,1995-04-13,103,1.0,17.6,87.0,679.3
Switzerland/Leytron,46.18625,7.21845,480,1996,1996-04-15,106,0.53,37.3,90.0,225.7
Switzerland/Leytron,46.18625,7.21845,480,1997,1997-03-24,83,2.8,60.8,89.0,264.4
Switzerland/Leytron,46.18625,7.21845,480,1998,1998-04-01,91,1.94,61.3,85.0,248.7
Switzerland/Leytron,46.18625,7.21845,480,1999,1999-04-12,102,1.06,37.6,90.0,525.2
Switzerland/Leytron,46.18625,7.21845,480,2000,2000-04-05,96,1.22,35.9,90.0,333.0
Switzerland/Leytron,46.18625,7.21845,480,2001,2001-04-06,96,3.0,81.2,87.0,508.2
Switzerland/Leytron,46.18625,7.21845,480,2002,2002-03-29,88,1.93,61.2,89.0,276.8
Switzerland/Leytron,46.18625,7.21845,480,2003,2003-03-31,90,0.3,69.6,87.0,276.4
Switzerland/Leytron,46.18625,7.21845,480,2004,2004-04-08,99,1.06,39.3,87.0,405.0
Switzerland/Leytron,46.18625,7.21845,480,2005,2005-04-06,96,-1.21,82.9,90.0,310.2
Switzerland/Leytron,46.18625,7.21845,480,2006,2006-04-20,110,-0.2,41.7,90.0,351.3
Switzerland/Leytron,46.18625,7.21845,480,2007,2007-04-07,97,3.59,55.2,81.0,442.2
Switzerland/Leytron,46.18625,7.21845,480,2008,2008-04-04,95,2.22,50.3,84.0,345.2
Switzerland/Leytron,46.18625,7.21845,480,2009,2009-04-09,99,-0.01,19.7,90.0,377.9
Switzerland/Leytron,46.18625,7.21845,480,2010,2010-04-12,102,-0.61,48.0,89.0,228.0
Switzerland/Leytron,46.18625,7.21845,480,2011,2011-04-04,94,2.34,72.2,87.0,183.2
Switzerland/Leytron,46.18625,7.21845,480,2012,2012-03-25,85,1.4,117.5,86.0,269.7
Switzerland/Leytron,46.18625,7.21845,480,2021,2021-03-30,89,5.89,197.8,68.0,394.4
Switzerland/Leytron,46.18625,7.21845,480,2022,2022-03-29,88,6.19,190.7,74.0,301.4
Switzerland/Leytron,46.18625,7.21845,480,2023,2023-04-04,94,5.85,200.6,60.0,395.5
