location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Locarno-Monti,46.172556,8.787417,370,1991,1991-03-29,88,2.52,76.9,89.0,367.1
Switzerland/Locarno-Monti,46.172556,8.787417,370,1992,1992-03-22,82,3.4,59.1,89.0,242.6
Switzerland/Locarno-Monti,46.172556,8.787417,370,1993,1993-03-22,81,3.45,61.7,90.0,81.1
Switzerland/Locarno-Monti,46.172556,8.787417,370,1994,1994-03-20,79,4.62,132.6,89.0,342.1
Switzerland/Locarno-Monti,46.172556,8.787417,370,1995,1995-03-27,86,2.87,27.7,84.0,151.5
Switzerland/Locarno-Monti,46.172556,8.787417,370,1996,1996-04-09,100,2.44,31.3,90.0,288.6
Switzerland/Locarno-Monti,46.172556,8.787417,370,1997,1997-03-17,76,4.53,104.7,90.0,117.3
Switzerland/Locarno-Monti,46.172556,8.787417,370,1998,1998-03-17,76,3.98,80.7,82.0,120.4
Switzerland/Locarno-Monti,46.172556,8.787417,370,1999,1999-04-02,92,2.79,48.4,85.0,278.2
Switzerland/Locarno-Monti,46.172556,8.787417,370,2000,2000-03-19,79,3.77,78.8,90.0,103.5
Switzerland/Locarno-Monti,46.172556,8.787417,370,2001,2001-03-25,84,4.32,80.3,85.0,453.8
Switzerland/Locarno-Monti,46.172556,8.787417,370,2002,2002-03-21,80,4.55,92.9,88.0,229.0
Switzerland/Locarno-Monti,46.172556,8.787417,370,2003,2003-03-29,88,2.92,73.7,90.0,64.2
Switzerland/Locarno-Monti,46.172556,8.787417,370,2004,2004-03-28,88,3.06,35.4,88.0,191.6
Switzerland/Locarno-Monti,46.172556,8.787417,370,2005,2005-03-30,89,3.26,101.1,90.0,69.8
Switzerland/Locarno-Monti,46.172556,8.787417,370,2006,2006-04-06,96,1.64,26.2,90.0,198.3
Switzerland/Locarno-Monti,46.172556,8.787417,370,2007,2007-03-16,75,5.32,93.5,78.0,188.4
Switzerland/Locarno-Monti,46.172556,8.787417,370,2008,2008-03-17,77,4.56,91.7,84.0,268.6
Switzerland/Locarno-Monti,46.172556,8.787417,370,2009,2009-03-24,83,3.32,58.4,87.0,358.8
Switzerland/Locarno-Monti,46.172556,8.787417,370,2010,2010-04-06,96,1.89,39.5,90.0,274.4
Switzerland/Locarno-Monti,46.172556,8.787417,370,2011,2011-03-24,83,3.91,67.0,89.0,210.2
Switzerland/Locarno-Monti,46.172556,8.787417,370,2012,2012-03-19,79,4.44,160.8,83.0,159.7
Switzerland/Locarno-Monti,46.172556,8.787417,370,2013,2013-04-17,107,2.85,18.8,90.0,207.3
Switzerland/Locarno-Monti,46.172556,8.787417,370,2014,2014-03-29,88,4.64,70.9,90.0,566.8
Switzerland/Locarno-Monti,46.172556,8.787417,370,2015,2015-04-07,97,4.21,72.0,82.0,313.2
Switzerland/Locarno-Monti,46.172556,8.787417,370,2016,2016-04-02,93,4.87,92.8,78.0,321.5
Switzerland/Locarno-Monti,46.172556,8.787417,370,2017,2017-03-28,87,5.65,176.2,82.0,267.3
Switzerland/Locarno-Monti,46.172556,8.787417,370,2018,2018-04-15,105,3.81,56.3,86.0,387.9
Switzerland/Locarno-Monti,46.172556,8.787417,370,2019,2019-03-27,86,5.76,145.3,73.0,135.7
Switzerland/Locarno-Monti,46.172556,8.787417,370,2020,2020-03-28,88,6.13,144.9,71.0,143.1
Switzerland/Locarno-Monti,46.172556,8.787417,370,2021,2021-03-29,88,4.67,138.2,75.0,209.6
Switzerland/Locarno-Monti,46.172556,8.787417,370,2022,2022-03-28,87,6.13,154.5,71.0,52.1
Switzerland/Locarno-Monti,46.172556,8.787417,370,2023,2023-03-30,89,6.61,205.7,60.0,137.7
