location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Locarno,46.169278,8.798214,200,1966,1966-04-15,105,4.02,77.3,87.0,221.4
Switzerland/Locarno,46.169278,8.798214,200,1967,1967-04-10,100,4.13,97.4,86.0,255.4
Switzerland/Locarno,46.169278,8.798214,200,1968,1968-04-15,106,3.52,58.3,88.0,281.5
Switzerland/Locarno,46.169278,8.798214,200,1969,1969-04-15,105,2.82,41.8,88.0,250.6
Switzerland/Locarno,46.169278,8.798214,200,1970,1970-04-10,100,2.96,36.1,88.0,362.7
Switzerland/Locarno,46.169278,8.798214,200,1971,1971-04-15,105,2.43,21.2,89.0,349.4
Switzerland/Locarno,46.169278,8.798214,200,1972,1972-04-15,106,4.66,85.1,85.0,541.9
Switzerland/Locarno,46.169278,8.798214,200,1973,1973-04-10,100,3.63,56.5,87.0,101.5
Switzerland/Locarno,46.169278,8.798214,200,1974,1974-04-25,115,5.51,96.0,88.0,473.6
Switzerland/Locarno,46.169278,8.798214,200,1975,1975-04-20,110,4.88,50.9,83.0,453.8
Switzerland/Locarno,46.169278,8.798214,200,1976,1976-04-10,101,4.47,86.8,85.0,107.3
Switzerland/Locarno,46.169278,8.798214,200,1977,1977-04-08,98,4.79,94.3,89.0,593.7
Switzerland/Locarno,46.169278,8.798214,200,1978,1978-04-10,100,3.96,64.0,88.0,520.8
Switzerland/Locarno,46.169278,8.798214,200,1979,1979-04-10,100,3.43,60.3,89.0,481.8
Switzerland/Locarno,46.169278,8.798214,200,1980,1980-04-04,95,3.89,49.7,86.0,261.8
Switzerland/Locarno,46.169278,8.798214,200,1981,1981-04-12,102,3.48,102.6,87.0,270.5
Switzerland/Locarno,46.169278,8.798214,200,1982,1982-05-03,123,3.69,34.4,90.0,171.7
Switzerland/Locarno,46.169278,8.798214,200,1983,1983-04-07,97,4.28,98.8,86.0,190.3
Switzerland/Locarno,46.169278,8.798214,200,1984,1984-04-20,111,2.87,20.8,87.0,238.8
Switzerland/Locarno,46.169278,8.798214,200,1985,1985-04-15,105,2.16,37.0,86.0,360.7
Switzerland/Locarno,46.169278,8.798214,200,1986,1986-05-01,121,2.35,31.9,87.0,287.4
Switzerland/Locarno,46.169278,8.798214,200,1987,1987-04-15,105,2.2,36.8,86.0,247.3
Switzerland/Locarno,46.169278,8.798214,200,1988,1988-03-30,90,4.57,71.6,84.0,306.2
Switzerland/Locarno,46.169278,8.798214,200,1990,1990-03-16,75,5.75,172.7,79.0,157.9
Switzerland/Locarno,46.169278,8.798214,200,1991,1991-03-25,84,3.81,125.4,86.0,367.1
Switzerland/Locarno,46.169278,8.798214,200,1992,1992-03-22,82,4.67,104.2,84.0,242.6
Switzerland/Locarno,46.169278,8.798214,200,1993,1993-03-21,80,4.73,97.1,85.0,81.1
Switzerland/Locarno,46.169278,8.798214,200,1994,1994-03-21,80,5.9,193.9,86.0,342.1
Switzerland/Locarno,46.169278,8.798214,200,1995,1995-04-10,100,4.16,67.7,74.0,151.5
Switzerland/Locarno,46.169278,8.798214,200,1996,1996-04-12,103,3.72,59.0,86.0,288.6
Switzerland/Locarno,46.169278,8.798214,200,1997,1997-03-25,84,5.81,166.2,84.0,117.3
Switzerland/Locarno,46.169278,8.798214,200,1998,1998-04-05,95,5.27,136.1,73.0,120.4
Switzerland/Locarno,46.169278,8.798214,200,1999,1999-04-07,97,4.08,87.9,81.0,278.2
Switzerland/Locarno,46.169278,8.798214,200,2000,2000-03-28,88,5.06,129.2,84.0,103.5
Switzerland/Locarno,46.169278,8.798214,200,2001,2001-04-01,91,5.6,144.7,77.0,453.8
Switzerland/Locarno,46.169278,8.798214,200,2002,2002-03-27,86,5.83,149.0,82.0,229.0
Switzerland/Locarno,46.169278,8.798214,200,2003,2003-04-01,91,4.2,115.7,83.0,64.2
Switzerland/Locarno,46.169278,8.798214,200,2004,2004-04-06,97,4.35,74.3,86.0,191.6
Switzerland/Locarno,46.169278,8.798214,200,2005,2005-04-04,94,4.55,142.9,87.0,69.8
Switzerland/Locarno,46.169278,8.798214,200,2006,2006-04-12,102,2.93,46.4,90.0,198.3
Switzerland/Locarno,46.169278,8.798214,200,2007,2007-03-20,79,6.61,176.1,60.0,188.4
Switzerland/Locarno,46.169278,8.798214,200,2008,2008-03-30,90,5.83,144.2,78.0,268.6
Switzerland/Locarno,46.169278,8.798214,200,2009,2009-03-31,90,4.6,101.3,84.0,358.8
Switzerland/Locarno,46.169278,8.798214,200,2010,2010-04-10,100,3.17,67.5,87.0,274.4
Switzerland/Locarno,46.169278,8.798214,200,2011,2011-03-28,87,5.19,123.2,87.0,210.2
Switzerland/Locarno,46.169278,8.798214,200,2012,2012-03-21,81,5.72,225.7,73.0,159.7
Switzerland/Locarno,46.169278,8.798214,200,2013,2013-04-15,105,4.13,59.3,84.0,207.3
Switzerland/Locarno,46.169278,8.798214,200,2014,2014-04-01,91,5.93,131.1,85.0,566.8
Switzerland/Locarno,46.169278,8.798214,200,2015,2015-04-05,95,5.5,124.8,70.0,313.2
Switzerland/Locarno,46.169278,8.798214,200,2016,2016-04-01,92,6.15,158.8,71.0,321.5
Switzerland/Locarno,46.169278,8.798214,200,2017,2017-04-01,91,6.93,244.2,68.0,267.3
Switzerland/Locarno,46.169278,8.798214,200,2018,2018-04-10,100,5.09,104.9,79.0,387.9
Switzerland/Locarno,46.169278,8.798214,200,2019,2019-03-28,87,7.04,225.1,57.0,135.7
Switzerland/Locarno,46.169278,8.798214,200,2020,2020-03-23,83,7.41,231.5,54.0,143.1
Switzerland/Locarno,46.169278,8.798214,200,2021,2021-03-29,88,5.95,204.5,69.0,209.6
Switzerland/Locarno,46.169278,8.798214,200,2022,2022-04-01,91,7.41,236.0,52.0,52.1
Switzerland/Locarno,46.169278,8.798214,200,2023,2023-03-27,86,7.89,293.3,45.0,137.7
