location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Longirod,46.498772,6.26595,900,1959,1959-05-03,123,1.52,25.0,90.0,390.4
Switzerland/Longirod,46.498772,6.26595,900,1961,1961-04-08,98,1.83,24.2,90.0,375.3
Switzerland/Longirod,46.498772,6.26595,900,1962,1962-05-13,133,-0.7,3.4,87.0,555.8
Switzerland/Longirod,46.498772,6.26595,900,1963,1963-05-21,141,-3.35,0.0,90.0,364.2
Switzerland/Longirod,46.498772,6.26595,900,1964,1964-05-09,130,0.51,5.4,90.0,330.8
Switzerland/Longirod,46.498772,6.26595,900,1965,1965-05-16,136,-1.19,7.9,90.0,460.6
Switzerland/Longirod,46.498772,6.26595,900,1966,1966-05-04,124,0.45,2.2,90.0,505.9
Switzerland/Longirod,46.498772,6.26595,900,1967,1967-05-04,124,0.79,14.1,90.0,454.4
Switzerland/Longirod,46.498772,6.26595,900,1968,1968-04-26,117,-0.19,5.8,90.0,547.3
Switzerland/Longirod,46.498772,6.26595,900,1969,1969-05-08,128,-0.29,1.7,90.0,398.1
Switzerland/Longirod,46.498772,6.26595,900,1970,1970-05-22,142,-0.89,0.0,90.0,775.4
Switzerland/Longirod,46.498772,6.26595,900,1971,1971-04-29,119,-1.42,0.0,90.0,333.2
Switzerland/Longirod,46.498772,6.26595,900,1972,1972-05-05,126,1.74,30.6,90.0,343.4
Switzerland/Longirod,46.498772,6.26595,900,1973,1973-05-18,138,-0.74,0.4,90.0,281.1
Switzerland/Longirod,46.498772,6.26595,900,1974,1974-04-15,105,2.35,53.8,90.0,458.2
Switzerland/Longirod,46.498772,6.26595,900,1975,1975-05-18,138,1.43,1.3,90.0,403.3
Switzerland/Longirod,46.498772,6.26595,900,1976,1976-04-26,117,0.65,10.9,90.0,267.8
Switzerland/Longirod,46.498772,6.26595,900,1977,1977-05-03,123,1.74,33.1,90.0,663.0
Switzerland/Longirod,46.498772,6.26595,900,1978,1978-05-19,139,-0.03,0.0,90.0,678.9
Switzerland/Longirod,46.498772,6.26595,900,1980,1980-05-11,132,0.81,5.4,90.0,514.0
Switzerland/Longirod,46.498772,6.26595,900,1981,1981-04-25,115,-0.36,26.9,90.0,571.5
Switzerland/Longirod,46.498772,6.26595,900,1982,1982-05-15,135,1.34,3.7,90.0,412.3
Switzerland/Longirod,46.498772,6.26595,900,1983,1983-05-17,137,0.7,12.9,89.0,481.3
Switzerland/Longirod,46.498772,6.26595,900,1984,1984-05-15,136,-0.63,1.3,90.0,593.5
Switzerland/Longirod,46.498772,6.26595,900,1985,1985-05-19,139,-1.77,1.4,90.0,431.0
Switzerland/Longirod,46.498772,6.26595,900,1986,1986-05-15,135,-0.95,1.2,90.0,590.5
Switzerland/Longirod,46.498772,6.26595,900,1987,1987-05-04,124,-1.39,0.4,90.0,442.3
Switzerland/Longirod,46.498772,6.26595,900,1988,1988-05-08,129,1.17,6.1,89.0,765.8
Switzerland/Longirod,46.498772,6.26595,900,1989,1989-04-09,99,2.97,55.4,89.0,346.9
Switzerland/Longirod,46.498772,6.26595,900,1990,1990-03-23,82,3.56,74.0,82.0,492.2
Switzerland/Longirod,46.498772,6.26595,900,1991,1991-04-17,107,2.09,54.6,87.0,330.9
Switzerland/Longirod,46.498772,6.26595,900,1992,1992-04-28,119,1.42,16.4,90.0,342.7
Switzerland/Longirod,46.498772,6.26595,900,1993,1993-04-29,119,2.02,35.1,89.0,161.8
Switzerland/Longirod,46.498772,6.26595,900,1994,1994-04-24,114,2.79,55.6,89.0,487.7
Switzerland/Longirod,46.498772,6.26595,900,1995,1995-04-28,118,0.94,6.8,90.0,804.3
Switzerland/Longirod,46.498772,6.26595,900,1998,1998-05-08,128,2.62,39.6,89.0,306.4
Switzerland/Longirod,46.498772,6.26595,900,1999,1999-05-05,125,0.73,16.2,90.0,687.5
Switzerland/Longirod,46.498772,6.26595,900,2000,2000-05-04,125,1.43,15.8,90.0,421.1
Switzerland/Longirod,46.498772,6.26595,900,2001,2001-05-08,128,2.61,35.3,90.0,663.4
Switzerland/Longirod,46.498772,6.26595,900,2002,2002-04-29,119,2.62,38.9,90.0,359.1
Switzerland/Longirod,46.498772,6.26595,900,2003,2003-04-26,116,0.97,49.9,89.0,335.9
