location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Meiringen I,46.75275,8.137867,900,1956,1956-05-09,130,,,90.0,
Switzerland/Meiringen I,46.75275,8.137867,900,1957,1957-04-24,114,0.21,15.1,90.0,339.9
Switzerland/Meiringen I,46.75275,8.137867,900,1958,1958-05-07,127,-1.93,0.3,90.0,513.3
Switzerland/Meiringen I,46.75275,8.137867,900,1960,1960-04-21,112,-0.51,2.8,,299.4
Switzerland/Meiringen I,46.75275,8.137867,900,1961,1961-04-10,100,0.34,2.0,90.0,345.4
Switzerland/Meiringen I,46.75275,8.137867,900,1962,1962-05-05,125,-2.43,0.7,,468.9
Switzerland/Meiringen I,46.75275,8.137867,900,1963,1963-05-06,126,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1964,1964-05-06,127,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1968,1968-04-22,113,,,90.0,
Switzerland/Meiringen I,46.75275,8.137867,900,1969,1969-04-30,120,,,90.0,
Switzerland/Meiringen I,46.75275,8.137867,900,1970,1970-05-13,133,-2.05,0.0,90.0,607.9
Switzerland/Meiringen I,46.75275,8.137867,900,1971,1971-04-22,112,-3.02,0.0,90.0,300.5
Switzerland/Meiringen I,46.75275,8.137867,900,1992,1992-05-07,128,,,90.0,
Switzerland/Meiringen I,46.75275,8.137867,900,1993,1993-04-27,117,-0.05,8.7,90.0,244.6
Switzerland/Meiringen I,46.75275,8.137867,900,1994,1994-04-23,113,1.23,20.5,89.0,403.1
Switzerland/Meiringen I,46.75275,8.137867,900,1995,1995-05-01,121,,,90.0,
Switzerland/Meiringen I,46.75275,8.137867,900,1996,1996-05-01,122,-0.84,6.2,90.0,235.3
Switzerland/Meiringen I,46.75275,8.137867,900,1997,1997-04-13,103,1.13,7.5,90.0,278.8
Switzerland/Meiringen I,46.75275,8.137867,900,1998,1998-04-23,113,0.5,9.6,90.0,284.2
Switzerland/Meiringen I,46.75275,8.137867,900,1999,1999-04-29,119,-0.82,0.3,90.0,597.2
Switzerland/Meiringen I,46.75275,8.137867,900,2000,2000-04-23,114,-0.08,1.8,90.0,438.6
