location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Merishausen,47.763636,8.612414,540,1959,1959-04-10,100,1.35,49.1,90.0,213.7
Switzerland/Merishausen,47.763636,8.612414,540,1960,1960-04-20,111,1.3,43.0,89.0,217.7
Switzerland/Merishausen,47.763636,8.612414,540,1961,1961-04-06,96,2.54,63.8,87.0,213.8
Switzerland/Merishausen,47.763636,8.612414,540,1962,1962-04-28,118,-0.37,7.5,84.0,290.0
Switzerland/Merishausen,47.763636,8.612414,540,1963,1963-05-02,122,-3.71,0.0,90.0,150.0
Switzerland/Merishausen,47.763636,8.612414,540,1964,1964-04-25,116,0.06,8.0,90.0,201.3
Switzerland/Merishausen,47.763636,8.612414,540,1965,1965-05-03,123,-0.87,18.8,90.0,236.2
Switzerland/Merishausen,47.763636,8.612414,540,1966,1966-04-19,109,0.84,23.2,84.0,253.5
Switzerland/Merishausen,47.763636,8.612414,540,1967,1967-04-18,108,1.9,37.4,89.0,243.3
Switzerland/Merishausen,47.763636,8.612414,540,1968,1968-04-19,110,0.38,44.6,89.0,260.3
Switzerland/Merishausen,47.763636,8.612414,540,1969,1969-04-30,120,-0.01,12.4,90.0,197.9
Switzerland/Merishausen,47.763636,8.612414,540,1970,1970-05-09,129,-0.85,1.2,90.0,403.0
Switzerland/Merishausen,47.763636,8.612414,540,1971,1971-04-21,111,-0.95,1.3,90.0,160.1
Switzerland/Merishausen,47.763636,8.612414,540,1972,1972-04-09,100,2.35,53.1,90.0,109.7
Switzerland/Merishausen,47.763636,8.612414,540,1973,1973-05-05,125,-0.25,14.7,90.0,140.2
Switzerland/Merishausen,47.763636,8.612414,540,1974,1974-04-05,95,3.49,91.4,88.0,189.7
Switzerland/Merishausen,47.763636,8.612414,540,1975,1975-04-30,120,2.36,13.7,88.0,188.8
Switzerland/Merishausen,47.763636,8.612414,540,1976,1976-04-19,110,1.0,14.7,90.0,168.9
Switzerland/Merishausen,47.763636,8.612414,540,1977,1977-04-16,106,2.84,84.8,90.0,306.9
Switzerland/Merishausen,47.763636,8.612414,540,1978,1978-04-29,119,0.1,18.6,89.0,331.1
Switzerland/Merishausen,47.763636,8.612414,540,1979,1979-05-08,128,0.16,18.6,90.0,286.3
Switzerland/Merishausen,47.763636,8.612414,540,1980,1980-05-02,123,1.24,17.3,85.0,236.8
Switzerland/Merishausen,47.763636,8.612414,540,1981,1981-04-11,101,0.45,80.4,90.0,272.9
Switzerland/Merishausen,47.763636,8.612414,540,1982,1982-05-04,124,0.92,15.5,90.0,262.9
Switzerland/Merishausen,47.763636,8.612414,540,1983,1983-04-23,113,1.4,36.1,84.0,224.9
Switzerland/Merishausen,47.763636,8.612414,540,1984,1984-05-02,123,0.02,5.5,88.0,260.6
Switzerland/Merishausen,47.763636,8.612414,540,1985,1985-05-01,121,-1.64,12.8,90.0,175.0
Switzerland/Merishausen,47.763636,8.612414,540,1986,1986-05-05,125,-1.12,10.5,88.0,268.1
Switzerland/Merishausen,47.763636,8.612414,540,1987,1987-04-28,118,-1.7,15.8,90.0,203.3
Switzerland/Merishausen,47.763636,8.612414,540,1988,1988-04-27,118,1.97,15.6,85.0,408.5
Switzerland/Merishausen,47.763636,8.612414,540,1989,1989-04-10,100,3.91,92.6,88.0,160.9
Switzerland/Merishausen,47.763636,8.612414,540,1990,1990-04-02,92,4.41,128.0,76.0,241.1
Switzerland/Merishausen,47.763636,8.612414,540,1991,1991-04-16,106,1.61,80.3,85.0,140.9
Switzerland/Merishausen,47.763636,8.612414,540,1992,1992-04-25,116,1.91,29.8,89.0,200.4
Switzerland/Merishausen,47.763636,8.612414,540,1993,1993-04-21,111,2.2,59.0,85.0,109.9
Switzerland/Merishausen,47.763636,8.612414,540,1994,1994-04-20,110,3.64,92.7,85.0,230.5
Switzerland/Merishausen,47.763636,8.612414,540,1995,1995-04-24,114,1.9,30.3,82.0,374.7
Switzerland/Merishausen,47.763636,8.612414,540,1996,1996-04-24,115,0.31,21.2,90.0,107.8
Switzerland/Merishausen,47.763636,8.612414,540,1997,1997-04-07,97,2.77,81.2,85.0,143.2
Switzerland/Merishausen,47.763636,8.612414,540,1998,1998-04-20,110,2.93,57.2,85.0,160.5
Switzerland/Merishausen,47.763636,8.612414,540,1999,1999-04-23,113,1.55,39.6,89.0,317.0
Switzerland/Merishausen,47.763636,8.612414,540,2000,2000-04-20,111,2.31,37.3,88.0,242.4
Switzerland/Merishausen,47.763636,8.612414,540,2001,2001-04-26,116,2.91,61.4,83.0,362.2
Switzerland/Merishausen,47.763636,8.612414,540,2002,2002-04-09,99,3.52,97.7,80.0,220.4
Switzerland/Merishausen,47.763636,8.612414,540,2003,2003-04-17,107,0.9,59.3,87.0,144.5
Switzerland/Merishausen,47.763636,8.612414,540,2004,2004-04-22,113,1.11,48.7,89.0,249.4
Switzerland/Merishausen,47.763636,8.612414,540,2005,2005-04-16,106,0.4,58.8,90.0,196.9
Switzerland/Merishausen,47.763636,8.612414,540,2006,2006-04-25,115,-0.42,23.2,90.0,274.7
Switzerland/Merishausen,47.763636,8.612414,540,2007,2007-04-12,102,3.88,63.7,80.0,271.6
Switzerland/Merishausen,47.763636,8.612414,540,2008,2008-04-20,111,2.68,41.8,84.0,222.5
Switzerland/Merishausen,47.763636,8.612414,540,2009,2009-04-15,105,-0.17,1.2,90.0,217.2
Switzerland/Merishausen,47.763636,8.612414,540,2010,2010-04-23,113,-0.06,45.7,90.0,158.2
Switzerland/Merishausen,47.763636,8.612414,540,2011,2011-04-07,97,2.24,53.9,89.0,120.5
Switzerland/Merishausen,47.763636,8.612414,540,2012,2012-04-10,101,1.13,81.6,87.0,162.7
Switzerland/Merishausen,47.763636,8.612414,540,2013,2013-04-26,116,-0.24,13.3,87.0,202.2
Switzerland/Merishausen,47.763636,8.612414,540,2014,2014-04-04,94,3.66,65.8,90.0,174.4
Switzerland/Merishausen,47.763636,8.612414,540,2015,2015-04-16,106,1.62,31.5,88.0,220.2
Switzerland/Merishausen,47.763636,8.612414,540,2016,2016-04-22,113,2.4,31.9,85.0,342.4
Switzerland/Merishausen,47.763636,8.612414,540,2017,2017-04-10,100,2.14,86.5,88.0,144.3
Switzerland/Merishausen,47.763636,8.612414,540,2018,2018-04-16,106,1.4,14.0,88.0,276.9
Switzerland/Merishausen,47.763636,8.612414,540,2019,2019-04-11,101,2.6,54.5,83.0,188.8
Switzerland/Merishausen,47.763636,8.612414,540,2020,2020-04-06,97,3.37,73.5,80.0,215.6
Switzerland/Merishausen,47.763636,8.612414,540,2021,2021-04-16,106,2.09,61.5,81.0,246.9
Switzerland/Merishausen,47.763636,8.612414,540,2022,2022-04-12,102,3.03,73.9,84.0,144.3
Switzerland/Merishausen,47.763636,8.612414,540,2023,2023-04-17,107,3.25,78.2,82.0,172.6
