location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Moutier,47.279386,7.385775,530,1963,1963-04-29,119,-3.09,2.1,90.0,219.7
Switzerland/Moutier,47.279386,7.385775,530,1965,1965-05-07,127,-0.08,28.3,90.0,257.3
Switzerland/Moutier,47.279386,7.385775,530,1966,1966-04-20,110,1.91,44.2,79.0,295.7
Switzerland/Moutier,47.279386,7.385775,530,1967,1967-04-21,111,2.43,68.0,85.0,257.8
Switzerland/Moutier,47.279386,7.385775,530,1968,1968-04-18,109,1.28,52.6,88.0,315.1
Switzerland/Moutier,47.279386,7.385775,530,1969,1969-04-21,111,0.88,23.8,90.0,250.4
Switzerland/Moutier,47.279386,7.385775,530,1970,1970-05-12,132,0.06,4.9,90.0,452.9
Switzerland/Moutier,47.279386,7.385775,530,1971,1971-04-20,110,-0.52,2.2,89.0,201.8
Switzerland/Moutier,47.279386,7.385775,530,1972,1972-05-02,123,3.32,74.9,90.0,161.5
Switzerland/Moutier,47.279386,7.385775,530,1973,1973-05-14,134,0.06,19.3,90.0,187.1
Switzerland/Moutier,47.279386,7.385775,530,1974,1974-04-14,104,4.2,103.6,87.0,236.7
Switzerland/Moutier,47.279386,7.385775,530,1975,1975-05-06,126,3.1,19.9,86.0,225.4
Switzerland/Moutier,47.279386,7.385775,530,1976,1976-04-25,116,2.04,32.4,90.0,159.0
Switzerland/Moutier,47.279386,7.385775,530,1978,1978-05-04,124,1.5,36.9,89.0,371.3
Switzerland/Moutier,47.279386,7.385775,530,1979,1979-05-12,132,0.99,27.7,88.0,352.6
Switzerland/Moutier,47.279386,7.385775,530,1980,1980-05-10,131,2.61,37.2,82.0,260.3
Switzerland/Moutier,47.279386,7.385775,530,1981,1981-04-14,104,1.58,91.5,90.0,320.4
Switzerland/Moutier,47.279386,7.385775,530,1982,1982-05-07,127,2.62,29.0,89.0,307.6
Switzerland/Moutier,47.279386,7.385775,530,1983,1983-04-29,119,2.48,59.0,80.0,274.0
Switzerland/Moutier,47.279386,7.385775,530,1984,1984-05-10,131,1.23,19.3,87.0,296.9
Switzerland/Moutier,47.279386,7.385775,530,1985,1985-05-05,125,-0.75,22.6,89.0,246.0
Switzerland/Moutier,47.279386,7.385775,530,1986,1986-05-14,134,0.09,22.1,86.0,298.8
Switzerland/Moutier,47.279386,7.385775,530,1987,1987-05-02,122,-0.12,26.6,89.0,232.8
Switzerland/Moutier,47.279386,7.385775,530,1988,1988-05-03,124,3.12,37.1,85.0,440.5
Switzerland/Moutier,47.279386,7.385775,530,1989,1989-04-12,102,4.56,115.1,86.0,182.7
Switzerland/Moutier,47.279386,7.385775,530,1990,1990-04-14,104,5.34,165.0,69.0,243.4
Switzerland/Moutier,47.279386,7.385775,530,1991,1991-04-15,105,3.03,115.0,80.0,194.3
Switzerland/Moutier,47.279386,7.385775,530,1992,1992-04-24,115,2.85,61.1,85.0,204.9
Switzerland/Moutier,47.279386,7.385775,530,1993,1993-04-21,111,3.19,87.7,84.0,131.1
Switzerland/Moutier,47.279386,7.385775,530,1994,1994-04-15,105,4.85,137.5,80.0,244.9
Switzerland/Moutier,47.279386,7.385775,530,1995,1995-04-24,114,3.05,65.4,72.0,433.2
Switzerland/Moutier,47.279386,7.385775,530,1996,1996-04-26,117,1.86,39.4,88.0,153.9
Switzerland/Moutier,47.279386,7.385775,530,1998,1998-04-20,110,4.01,97.7,78.0,191.4
Switzerland/Moutier,47.279386,7.385775,530,1999,1999-04-26,116,2.81,67.4,85.0,350.0
Switzerland/Moutier,47.279386,7.385775,530,2000,2000-04-26,117,3.4,63.2,87.0,261.5
Switzerland/Moutier,47.279386,7.385775,530,2001,2001-05-03,123,4.08,94.3,82.0,435.6
Switzerland/Moutier,47.279386,7.385775,530,2002,2002-05-05,125,4.37,128.2,77.0,199.1
Switzerland/Moutier,47.279386,7.385775,530,2003,2003-04-25,115,2.17,95.8,85.0,161.6
Switzerland/Moutier,47.279386,7.385775,530,2004,2004-04-27,118,2.5,67.4,88.0,311.9
Switzerland/Moutier,47.279386,7.385775,530,2005,2005-04-28,118,1.55,91.3,89.0,229.4
Switzerland/Moutier,47.279386,7.385775,530,2006,2006-05-04,124,1.05,43.5,90.0,303.4
Switzerland/Moutier,47.279386,7.385775,530,2007,2007-04-19,109,4.8,112.1,74.0,318.3
Switzerland/Moutier,47.279386,7.385775,530,2008,2008-04-28,119,3.73,68.0,82.0,222.4
Switzerland/Moutier,47.279386,7.385775,530,2009,2009-04-23,113,0.81,9.4,90.0,266.9
Switzerland/Moutier,47.279386,7.385775,530,2010,2010-04-26,116,1.1,64.6,89.0,194.6
Switzerland/Moutier,47.279386,7.385775,530,2011,2011-04-13,103,3.41,77.9,88.0,159.6
Switzerland/Moutier,47.279386,7.385775,530,2012,2012-04-25,116,2.08,99.2,86.0,175.3
Switzerland/Moutier,47.279386,7.385775,530,2013,2013-05-03,123,0.93,21.7,85.0,262.6
Switzerland/Moutier,47.279386,7.385775,530,2014,2014-04-17,107,4.58,91.6,87.0,219.4
Switzerland/Moutier,47.279386,7.385775,530,2015,2015-04-25,115,2.9,64.2,85.0,242.5
Switzerland/Moutier,47.279386,7.385775,530,2016,2016-04-26,117,3.54,58.5,83.0,391.7
Switzerland/Moutier,47.279386,7.385775,530,2017,2017-04-09,99,2.68,114.6,86.0,206.4
Switzerland/Moutier,47.279386,7.385775,530,2018,2018-04-25,115,2.31,24.2,88.0,354.3
Switzerland/Moutier,47.279386,7.385775,530,2019,2019-04-24,114,3.4,77.9,78.0,225.1
Switzerland/Moutier,47.279386,7.385775,530,2020,2020-04-20,111,4.08,87.8,79.0,243.3
Switzerland/Moutier,47.279386,7.385775,530,2021,2021-05-06,126,3.15,101.4,78.0,296.0
Switzerland/Moutier,47.279386,7.385775,530,2022,2022-04-16,106,3.94,103.8,82.0,167.2
Switzerland/Moutier,47.279386,7.385775,530,2023,2023-04-19,109,4.01,107.3,76.0,231.0
