location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Oberlangenegg,46.808222,7.716267,910,1978,1978-05-28,148,-1.28,1.6,90.0,484.2
Switzerland/Oberlangenegg,46.808222,7.716267,910,1979,1979-05-18,138,-2.13,0.0,90.0,384.6
Switzerland/Oberlangenegg,46.808222,7.716267,910,1980,1980-05-22,143,-1.19,1.1,90.0,360.5
Switzerland/Oberlangenegg,46.808222,7.716267,910,1981,1981-05-14,134,-2.41,13.8,90.0,415.2
Switzerland/Oberlangenegg,46.808222,7.716267,910,1982,1982-05-20,140,-1.0,0.0,90.0,357.3
Switzerland/Oberlangenegg,46.808222,7.716267,910,1983,1983-05-13,133,-1.73,1.2,90.0,369.4
Switzerland/Oberlangenegg,46.808222,7.716267,910,1984,1984-06-03,155,-2.72,0.0,90.0,339.1
Switzerland/Oberlangenegg,46.808222,7.716267,910,1985,1985-05-25,145,-3.76,0.0,90.0,309.3
Switzerland/Oberlangenegg,46.808222,7.716267,910,1986,1986-05-17,137,-2.96,0.1,90.0,356.0
Switzerland/Oberlangenegg,46.808222,7.716267,910,1987,1987-05-17,137,-3.59,0.0,90.0,342.3
Switzerland/Oberlangenegg,46.808222,7.716267,910,1988,1988-05-14,135,-0.89,1.4,90.0,560.0
Switzerland/Oberlangenegg,46.808222,7.716267,910,1989,1989-05-17,137,-0.3,18.8,90.0,209.8
Switzerland/Oberlangenegg,46.808222,7.716267,910,1990,1990-05-14,134,1.15,22.6,90.0,311.3
Switzerland/Oberlangenegg,46.808222,7.716267,910,1991,1991-05-29,149,-1.21,4.4,90.0,214.4
Switzerland/Oberlangenegg,46.808222,7.716267,910,1992,1992-05-12,133,-1.43,2.7,90.0,315.7
Switzerland/Oberlangenegg,46.808222,7.716267,910,1993,1993-05-09,129,-0.79,8.7,90.0,201.5
Switzerland/Oberlangenegg,46.808222,7.716267,910,1994,1994-05-03,123,0.86,24.5,89.0,321.7
Switzerland/Oberlangenegg,46.808222,7.716267,910,1995,1995-05-08,128,-1.18,0.0,90.0,540.3
Switzerland/Oberlangenegg,46.808222,7.716267,910,1996,1996-05-22,143,-1.86,5.9,90.0,191.4
Switzerland/Oberlangenegg,46.808222,7.716267,910,1997,1997-05-13,133,0.14,5.0,90.0,231.5
Switzerland/Oberlangenegg,46.808222,7.716267,910,1998,1998-05-09,129,-0.46,13.6,90.0,262.7
Switzerland/Oberlangenegg,46.808222,7.716267,910,1999,1999-05-06,126,-1.47,0.3,90.0,482.7
Switzerland/Oberlangenegg,46.808222,7.716267,910,2000,2000-05-02,123,-1.01,2.5,90.0,375.0
Switzerland/Oberlangenegg,46.808222,7.716267,910,2001,2001-05-10,130,0.29,11.9,90.0,404.9
Switzerland/Oberlangenegg,46.808222,7.716267,910,2002,2002-05-06,126,-0.29,12.2,90.0,236.8
Switzerland/Oberlangenegg,46.808222,7.716267,910,2003,2003-04-30,120,-2.29,10.9,90.0,227.0
Switzerland/Oberlangenegg,46.808222,7.716267,910,2005,2005-05-04,124,-3.09,13.1,90.0,301.1
Switzerland/Oberlangenegg,46.808222,7.716267,910,2006,2006-05-13,133,-3.31,7.8,90.0,304.4
Switzerland/Oberlangenegg,46.808222,7.716267,910,2007,2007-04-20,110,0.66,2.4,89.0,342.8
Switzerland/Oberlangenegg,46.808222,7.716267,910,2008,2008-05-08,129,-0.26,1.0,90.0,283.4
Switzerland/Oberlangenegg,46.808222,7.716267,910,2009,2009-05-03,123,-2.43,0.0,90.0,370.6
Switzerland/Oberlangenegg,46.808222,7.716267,910,2018,2018-04-26,116,0.3,0.9,90.0,308.1
Switzerland/Oberlangenegg,46.808222,7.716267,910,2019,2019-04-22,112,1.22,15.5,88.0,218.6
Switzerland/Oberlangenegg,46.808222,7.716267,910,2020,2020-04-17,108,2.54,33.9,87.0,205.6
Switzerland/Oberlangenegg,46.808222,7.716267,910,2021,2021-05-11,131,1.21,27.5,88.0,299.0
Switzerland/Oberlangenegg,46.808222,7.716267,910,2022,2022-04-30,120,1.83,31.8,89.0,188.2
Switzerland/Oberlangenegg,46.808222,7.716267,910,2023,2023-05-04,124,1.75,36.8,89.0,243.3
