location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Prato-Sornico,46.394025,8.655608,750,1957,1957-04-11,101,0.98,27.2,89.0,242.3
Switzerland/Prato-Sornico,46.394025,8.655608,750,1958,1958-04-30,120,-1.25,3.3,90.0,164.0
Switzerland/Prato-Sornico,46.394025,8.655608,750,1959,1959-04-12,102,0.8,5.1,90.0,213.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1960,1960-04-24,115,0.35,3.7,90.0,301.1
Switzerland/Prato-Sornico,46.394025,8.655608,750,1961,1961-04-01,91,1.18,7.9,90.0,149.2
Switzerland/Prato-Sornico,46.394025,8.655608,750,1962,1962-05-10,130,-1.21,0.9,89.0,227.0
Switzerland/Prato-Sornico,46.394025,8.655608,750,1963,1963-04-23,113,-2.78,0.8,90.0,212.7
Switzerland/Prato-Sornico,46.394025,8.655608,750,1964,1964-04-21,112,-0.58,1.8,90.0,237.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1965,1965-04-10,100,-1.32,10.4,90.0,179.5
Switzerland/Prato-Sornico,46.394025,8.655608,750,1966,1966-04-01,91,0.12,0.2,90.0,186.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1967,1967-04-03,93,0.15,3.6,90.0,239.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1968,1968-04-10,101,-0.24,5.8,90.0,278.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1969,1969-04-23,113,-0.78,3.3,90.0,204.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1970,1970-05-01,121,-0.72,1.5,90.0,355.2
Switzerland/Prato-Sornico,46.394025,8.655608,750,1971,1971-04-10,100,-1.34,0.0,90.0,261.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1972,1972-04-08,99,1.4,5.7,90.0,346.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1973,1973-05-04,124,-0.69,4.8,90.0,97.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1975,1975-04-26,116,1.12,0.0,89.0,358.3
Switzerland/Prato-Sornico,46.394025,8.655608,750,1976,1976-04-19,110,0.61,5.4,90.0,90.4
Switzerland/Prato-Sornico,46.394025,8.655608,750,1977,1977-04-19,109,1.55,18.9,90.0,490.2
Switzerland/Prato-Sornico,46.394025,8.655608,750,1978,1978-05-10,130,0.52,8.5,90.0,454.5
Switzerland/Prato-Sornico,46.394025,8.655608,750,1979,1979-05-02,122,-0.24,4.1,90.0,400.3
Switzerland/Prato-Sornico,46.394025,8.655608,750,1980,1980-04-25,116,0.13,2.1,90.0,213.6
Switzerland/Prato-Sornico,46.394025,8.655608,750,1981,1981-04-07,97,-0.71,38.6,90.0,230.1
Switzerland/Prato-Sornico,46.394025,8.655608,750,1982,1982-04-26,116,-0.02,0.0,90.0,161.4
Switzerland/Prato-Sornico,46.394025,8.655608,750,1983,1983-04-25,115,0.23,13.3,90.0,171.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1984,1984-04-27,118,-1.41,0.0,90.0,213.6
Switzerland/Prato-Sornico,46.394025,8.655608,750,1985,1985-04-26,116,-1.44,1.4,90.0,302.6
Switzerland/Prato-Sornico,46.394025,8.655608,750,1986,1986-05-10,130,-1.62,0.0,90.0,239.1
Switzerland/Prato-Sornico,46.394025,8.655608,750,1987,1987-04-27,117,-1.65,0.8,90.0,195.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1988,1988-05-03,124,0.32,2.3,88.0,313.8
Switzerland/Prato-Sornico,46.394025,8.655608,750,1989,1989-04-10,100,2.6,23.1,89.0,181.7
Switzerland/Prato-Sornico,46.394025,8.655608,750,1990,1990-03-24,83,1.43,43.2,90.0,203.6
Switzerland/Prato-Sornico,46.394025,8.655608,750,1991,1991-04-16,106,-0.28,13.1,90.0,266.5
Switzerland/Prato-Sornico,46.394025,8.655608,750,1992,1992-04-14,105,0.5,10.5,90.0,220.9
Switzerland/Prato-Sornico,46.394025,8.655608,750,1993,1993-04-15,105,0.61,25.5,90.0,78.4
