location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Rancate,45.870208,8.967242,353,2008,2008-03-20,80,5.07,102.0,84.0,256.9
Switzerland/Rancate,45.870208,8.967242,353,2009,2009-03-28,87,3.81,78.0,90.0,333.4
Switzerland/Rancate,45.870208,8.967242,353,2010,2010-04-20,110,3.16,68.8,,271.1
Switzerland/Rancate,45.870208,8.967242,353,2012,2012-03-29,89,,,84.0,
Switzerland/Rancate,45.870208,8.967242,353,2014,2014-03-20,79,,,90.0,
Switzerland/Rancate,45.870208,8.967242,353,2015,2015-04-05,95,4.67,95.6,80.0,299.4
Switzerland/Rancate,45.870208,8.967242,353,2016,2016-03-26,86,5.15,115.5,85.0,292.2
Switzerland/Rancate,45.870208,8.967242,353,2017,2017-03-27,86,5.56,192.0,85.0,252.5
Switzerland/Rancate,45.870208,8.967242,353,2018,2018-04-06,96,4.23,60.9,88.0,397.4
Switzerland/Rancate,45.870208,8.967242,353,2019,2019-03-20,79,,,,
Switzerland/Rancate,45.870208,8.967242,353,2020,2020-04-10,101,6.07,157.2,65.0,143.2
Switzerland/Rancate,45.870208,8.967242,353,2021,2021-03-20,79,5.39,162.8,78.0,217.1
Switzerland/Rancate,45.870208,8.967242,353,2022,2022-03-30,89,,,,
Switzerland/Rancate,45.870208,8.967242,353,2023,2023-03-07,66,,,,
