location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1992,1992-04-24,115,1.75,27.2,89.0,213.0
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1993,1993-04-21,111,,,89.0,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1994,1994-04-13,103,3.67,95.0,84.0,211.5
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1995,1995-04-23,113,2.13,26.6,84.0,334.1
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1996,1996-04-25,116,0.09,19.0,90.0,108.0
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1997,1997-04-08,98,2.42,67.0,87.0,134.7
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1998,1998-04-25,115,2.93,52.6,87.0,159.9
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1999,1999-04-30,120,,,90.0,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2000,2000-04-25,116,2.43,36.1,,262.5
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2001,2001-05-02,122,2.82,55.8,85.0,322.3
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2002,2002-04-27,117,3.58,87.6,83.0,187.1
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2003,2003-04-22,112,0.94,56.3,,139.4
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2004,2004-04-26,117,1.43,44.0,89.0,219.7
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2005,2005-04-30,120,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2006,2006-05-04,124,-0.27,22.3,90.0,233.7
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2007,2007-04-15,105,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2008,2008-05-04,125,2.53,40.3,87.0,199.8
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2009,2009-04-18,108,0.21,3.4,,225.8
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2010,2010-04-25,115,-0.01,40.5,90.0,148.0
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2011,2011-04-11,101,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2012,2012-04-21,112,1.03,55.6,88.0,174.1
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2013,2013-05-02,122,,,88.0,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2014,2014-04-12,102,3.62,59.0,90.0,161.4
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2015,2015-04-21,111,1.48,36.1,88.0,208.0
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2016,2016-04-20,111,,,,
