location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Romanshorn,47.563608,9.376172,405,1978,1978-04-25,115,0.48,11.9,90.0,323.8
Switzerland/Romanshorn,47.563608,9.376172,405,1979,1979-04-23,113,0.12,15.6,90.0,259.4
Switzerland/Romanshorn,47.563608,9.376172,405,1980,1980-04-28,119,1.16,13.8,86.0,214.7
Switzerland/Romanshorn,47.563608,9.376172,405,1981,1981-04-09,99,0.2,47.2,90.0,268.7
Switzerland/Romanshorn,47.563608,9.376172,405,1982,1982-04-24,114,0.62,11.7,90.0,249.8
Switzerland/Romanshorn,47.563608,9.376172,405,1983,1983-04-19,109,2.12,31.3,88.0,242.6
Switzerland/Romanshorn,47.563608,9.376172,405,1984,1984-04-28,119,0.45,6.5,90.0,231.7
Switzerland/Romanshorn,47.563608,9.376172,405,1985,1985-04-24,114,-1.52,5.3,90.0,211.2
Switzerland/Romanshorn,47.563608,9.376172,405,1986,1986-05-03,123,-0.26,6.2,90.0,240.8
Switzerland/Romanshorn,47.563608,9.376172,405,1987,1987-04-27,117,-1.36,6.8,90.0,240.6
Switzerland/Romanshorn,47.563608,9.376172,405,1988,1988-04-27,118,2.62,13.5,89.0,416.3
Switzerland/Romanshorn,47.563608,9.376172,405,1989,1989-04-12,102,4.39,97.4,89.0,153.4
Switzerland/Romanshorn,47.563608,9.376172,405,1990,1990-04-12,102,4.1,115.5,80.0,238.4
Switzerland/Romanshorn,47.563608,9.376172,405,1991,1991-04-19,109,1.88,66.8,88.0,141.1
Switzerland/Romanshorn,47.563608,9.376172,405,1992,1992-04-29,120,1.96,30.8,90.0,248.5
Switzerland/Romanshorn,47.563608,9.376172,405,1993,1993-04-20,110,2.08,37.2,90.0,152.0
Switzerland/Romanshorn,47.563608,9.376172,405,1994,1994-04-03,93,,,86.0,
Switzerland/Romanshorn,47.563608,9.376172,405,1995,1995-04-24,114,2.4,23.0,87.0,338.2
Switzerland/Romanshorn,47.563608,9.376172,405,1996,1996-04-29,120,0.34,19.3,90.0,124.6
Switzerland/Romanshorn,47.563608,9.376172,405,1997,1997-04-11,101,,,89.0,
Switzerland/Romanshorn,47.563608,9.376172,405,1998,1998-04-21,111,3.29,48.4,89.0,181.6
Switzerland/Romanshorn,47.563608,9.376172,405,1999,1999-04-24,114,1.91,40.7,89.0,345.4
Switzerland/Romanshorn,47.563608,9.376172,405,2000,2000-04-25,116,2.39,33.2,,334.5
Switzerland/Romanshorn,47.563608,9.376172,405,2001,2001-04-26,116,,,83.0,
Switzerland/Romanshorn,47.563608,9.376172,405,2002,2002-04-15,105,3.25,68.1,88.0,207.3
Switzerland/Romanshorn,47.563608,9.376172,405,2003,2003-04-18,108,1.42,58.2,88.0,156.4
Switzerland/Romanshorn,47.563608,9.376172,405,2004,2004-04-29,120,1.84,41.1,,230.7
Switzerland/Romanshorn,47.563608,9.376172,405,2005,2005-04-29,119,1.15,65.1,90.0,234.7
Switzerland/Romanshorn,47.563608,9.376172,405,2007,2007-04-11,101,4.6,70.2,83.0,241.9
Switzerland/Romanshorn,47.563608,9.376172,405,2008,2008-04-24,115,2.97,36.2,87.0,205.2
