location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sargans II,47.050589,9.439256,480,1956,1956-04-22,113,-2.21,29.7,90.0,266.0
Switzerland/Sargans II,47.050589,9.439256,480,1957,1957-03-27,86,2.29,81.7,89.0,318.8
Switzerland/Sargans II,47.050589,9.439256,480,1958,1958-05-08,128,0.07,21.3,89.0,476.8
Switzerland/Sargans II,47.050589,9.439256,480,1959,1959-04-04,94,1.78,35.4,90.0,292.0
Switzerland/Sargans II,47.050589,9.439256,480,1960,1960-04-04,95,1.81,34.3,90.0,285.3
Switzerland/Sargans II,47.050589,9.439256,480,1961,1961-04-08,98,2.41,37.0,90.0,317.7
Switzerland/Sargans II,47.050589,9.439256,480,1962,1962-04-28,118,-0.35,5.4,87.0,439.2
Switzerland/Sargans II,47.050589,9.439256,480,1963,1963-04-25,115,-2.03,7.3,90.0,298.7
Switzerland/Sargans II,47.050589,9.439256,480,1964,1964-04-22,113,0.36,19.9,89.0,252.5
Switzerland/Sargans II,47.050589,9.439256,480,1965,1965-05-02,122,0.21,19.7,89.0,332.3
Switzerland/Sargans II,47.050589,9.439256,480,1966,1966-04-18,108,1.05,14.3,89.0,429.4
Switzerland/Sargans II,47.050589,9.439256,480,1967,1967-04-28,118,1.31,18.5,90.0,459.5
Switzerland/Sargans II,47.050589,9.439256,480,1968,1968-04-20,111,1.38,31.9,90.0,494.2
Switzerland/Sargans II,47.050589,9.439256,480,1969,1969-04-27,117,0.67,9.4,90.0,262.2
Switzerland/Sargans II,47.050589,9.439256,480,1970,1970-05-18,138,0.65,10.4,90.0,596.9
Switzerland/Sargans II,47.050589,9.439256,480,1971,1971-04-18,108,-1.12,5.8,90.0,264.1
Switzerland/Sargans II,47.050589,9.439256,480,1972,1972-03-30,90,3.13,51.5,90.0,133.2
Switzerland/Sargans II,47.050589,9.439256,480,1973,1973-05-03,123,0.3,10.0,90.0,312.1
Switzerland/Sargans II,47.050589,9.439256,480,1974,1974-04-01,91,3.67,55.1,90.0,293.0
Switzerland/Sargans II,47.050589,9.439256,480,1975,1975-04-28,118,2.39,12.0,89.0,318.6
Switzerland/Sargans II,47.050589,9.439256,480,1976,1976-04-18,109,1.53,16.2,90.0,255.7
Switzerland/Sargans II,47.050589,9.439256,480,1977,1977-03-25,84,3.35,65.0,90.0,395.9
Switzerland/Sargans II,47.050589,9.439256,480,1978,1978-04-25,115,1.35,32.3,90.0,480.9
Switzerland/Sargans II,47.050589,9.439256,480,1979,1979-04-20,110,0.89,26.1,90.0,362.0
Switzerland/Sargans II,47.050589,9.439256,480,1980,1980-05-01,122,1.21,13.7,90.0,344.1
Switzerland/Sargans II,47.050589,9.439256,480,1981,1981-04-29,119,0.1,54.7,90.0,458.3
Switzerland/Sargans II,47.050589,9.439256,480,1982,1982-04-22,112,1.47,12.3,90.0,354.4
Switzerland/Sargans II,47.050589,9.439256,480,1983,1983-04-20,110,1.16,35.6,87.0,394.3
Switzerland/Sargans II,47.050589,9.439256,480,1984,1984-04-24,115,-0.2,4.0,89.0,385.6
Switzerland/Sargans II,47.050589,9.439256,480,1985,1985-04-22,112,-0.88,13.6,90.0,327.0
Switzerland/Sargans II,47.050589,9.439256,480,1986,1986-05-03,123,-0.27,12.1,90.0,417.1
Switzerland/Sargans II,47.050589,9.439256,480,1987,1987-04-25,115,-0.98,11.7,90.0,368.2
