location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Scuol,46.794394,10.296356,1240,1987,1987-06-04,155,-4.33,0.0,90.0,392.3
Switzerland/Scuol,46.794394,10.296356,1240,1988,1988-05-28,149,-3.59,0.4,90.0,602.5
Switzerland/Scuol,46.794394,10.296356,1240,1989,1989-05-17,137,0.21,18.8,90.0,216.8
Switzerland/Scuol,46.794394,10.296356,1240,1990,1990-05-08,128,-0.13,17.7,90.0,350.1
Switzerland/Scuol,46.794394,10.296356,1240,1991,1991-05-22,142,-2.0,8.1,90.0,188.6
Switzerland/Scuol,46.794394,10.296356,1240,1992,1992-05-08,129,-1.86,0.0,90.0,389.3
Switzerland/Scuol,46.794394,10.296356,1240,1993,1993-05-02,122,-2.37,7.8,90.0,251.4
Switzerland/Scuol,46.794394,10.296356,1240,1994,1994-04-25,115,-0.95,21.4,90.0,339.2
Switzerland/Scuol,46.794394,10.296356,1240,1995,1995-05-10,130,-3.62,0.0,90.0,529.7
Switzerland/Scuol,46.794394,10.296356,1240,1996,1996-05-05,126,-3.56,4.9,90.0,174.9
Switzerland/Scuol,46.794394,10.296356,1240,1997,1997-05-05,125,-0.77,3.5,90.0,263.8
Switzerland/Scuol,46.794394,10.296356,1240,1998,1998-05-10,130,-1.51,13.4,89.0,271.5
Switzerland/Scuol,46.794394,10.296356,1240,1999,1999-05-12,132,-2.76,1.9,90.0,578.9
Switzerland/Scuol,46.794394,10.296356,1240,2000,2000-05-18,139,-2.79,0.0,90.0,530.9
Switzerland/Scuol,46.794394,10.296356,1240,2001,2001-05-07,127,-1.86,3.6,90.0,423.7
Switzerland/Scuol,46.794394,10.296356,1240,2002,2002-05-05,125,-0.97,1.5,90.0,306.5
Switzerland/Scuol,46.794394,10.296356,1240,2003,2003-05-03,123,-3.64,9.2,90.0,216.5
Switzerland/Scuol,46.794394,10.296356,1240,2004,2004-05-15,136,-3.29,10.4,90.0,372.5
Switzerland/Scuol,46.794394,10.296356,1240,2005,2005-05-08,128,-4.63,24.6,90.0,326.9
Switzerland/Scuol,46.794394,10.296356,1240,2006,2006-05-08,128,-4.64,7.5,90.0,285.9
Switzerland/Scuol,46.794394,10.296356,1240,2007,2007-04-26,116,-0.71,0.5,90.0,387.6
Switzerland/Scuol,46.794394,10.296356,1240,2008,2008-05-10,131,-1.53,1.2,90.0,291.5
Switzerland/Scuol,46.794394,10.296356,1240,2009,2009-05-05,125,-4.45,0.0,90.0,414.9
Switzerland/Scuol,46.794394,10.296356,1240,2010,2010-05-07,127,-4.49,6.2,90.0,200.8
Switzerland/Scuol,46.794394,10.296356,1240,2011,2011-04-22,112,-1.6,0.5,90.0,159.8
Switzerland/Scuol,46.794394,10.296356,1240,2012,2012-05-03,124,-2.7,10.7,90.0,398.9
Switzerland/Scuol,46.794394,10.296356,1240,2013,2013-05-05,125,-3.93,0.0,90.0,297.6
Switzerland/Scuol,46.794394,10.296356,1240,2014,2014-04-27,117,-0.91,9.9,90.0,281.6
Switzerland/Scuol,46.794394,10.296356,1240,2015,2015-05-04,124,-2.17,0.6,90.0,342.7
Switzerland/Scuol,46.794394,10.296356,1240,2016,2016-04-25,116,-1.81,8.8,88.0,391.4
Switzerland/Scuol,46.794394,10.296356,1240,2019,2019-05-08,128,-1.7,3.8,90.0,246.7
Switzerland/Scuol,46.794394,10.296356,1240,2020,2020-04-21,112,-0.35,8.8,89.0,155.1
Switzerland/Scuol,46.794394,10.296356,1240,2021,2021-05-13,133,-1.93,9.6,90.0,193.9
Switzerland/Scuol,46.794394,10.296356,1240,2022,2022-05-04,124,-1.73,5.5,90.0,123.0
Switzerland/Scuol,46.794394,10.296356,1240,2023,2023-05-03,123,-0.94,9.0,90.0,120.9
