location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sihlbrugg,47.219356,8.5767,480,1960,1960-04-18,109,1.23,27.8,90.0,242.0
Switzerland/Sihlbrugg,47.219356,8.5767,480,1969,1969-04-30,120,-0.05,4.1,90.0,220.7
Switzerland/Sihlbrugg,47.219356,8.5767,480,1971,1971-04-25,115,-1.82,0.0,90.0,226.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1972,1972-04-20,111,2.66,37.3,90.0,140.3
Switzerland/Sihlbrugg,47.219356,8.5767,480,1973,1973-05-12,132,-0.47,1.7,90.0,254.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,1974,1974-04-22,112,3.19,60.5,90.0,244.5
Switzerland/Sihlbrugg,47.219356,8.5767,480,1975,1975-05-04,124,2.09,4.7,88.0,241.7
Switzerland/Sihlbrugg,47.219356,8.5767,480,1976,1976-04-28,119,0.99,10.5,90.0,197.6
Switzerland/Sihlbrugg,47.219356,8.5767,480,1977,1977-04-25,115,2.36,49.0,90.0,347.7
Switzerland/Sihlbrugg,47.219356,8.5767,480,1978,1978-05-05,125,0.6,13.3,90.0,413.9
Switzerland/Sihlbrugg,47.219356,8.5767,480,1979,1979-05-07,127,0.24,15.3,90.0,325.1
Switzerland/Sihlbrugg,47.219356,8.5767,480,1980,1980-05-10,131,1.27,12.8,88.0,287.0
Switzerland/Sihlbrugg,47.219356,8.5767,480,1981,1981-04-13,103,0.11,38.4,90.0,367.6
Switzerland/Sihlbrugg,47.219356,8.5767,480,1982,1982-05-08,128,1.07,5.5,90.0,309.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,1983,1983-04-27,117,1.51,24.4,86.0,317.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1987,1987-04-15,105,-1.22,7.0,90.0,299.9
Switzerland/Sihlbrugg,47.219356,8.5767,480,1988,1988-04-30,121,2.02,9.3,88.0,497.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1989,1989-04-05,95,3.26,58.9,89.0,193.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,1990,1990-04-02,92,3.6,85.2,86.0,284.9
Switzerland/Sihlbrugg,47.219356,8.5767,480,1991,1991-04-16,106,1.76,52.6,90.0,184.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1992,1992-04-25,116,1.76,22.9,90.0,280.9
Switzerland/Sihlbrugg,47.219356,8.5767,480,1993,1993-04-22,112,1.77,31.4,90.0,178.6
Switzerland/Sihlbrugg,47.219356,8.5767,480,1994,1994-04-03,93,3.7,82.5,87.0,317.8
Switzerland/Sihlbrugg,47.219356,8.5767,480,1995,1995-04-24,114,2.14,14.6,86.0,470.1
Switzerland/Sihlbrugg,47.219356,8.5767,480,1996,1996-04-25,116,0.79,19.4,90.0,173.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1997,1997-04-11,101,2.97,48.8,89.0,195.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,1998,1998-04-21,111,2.76,40.0,89.0,220.0
Switzerland/Sihlbrugg,47.219356,8.5767,480,1999,1999-04-28,118,1.38,23.7,90.0,453.6
Switzerland/Sihlbrugg,47.219356,8.5767,480,2000,2000-04-21,112,2.25,22.5,90.0,337.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,2008,2008-04-13,104,2.61,29.1,89.0,246.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,2009,2009-04-12,102,0.22,0.8,90.0,323.1
Switzerland/Sihlbrugg,47.219356,8.5767,480,2010,2010-04-20,110,0.14,30.9,90.0,182.4
Switzerland/Sihlbrugg,47.219356,8.5767,480,2011,2011-04-11,101,2.04,39.2,90.0,168.0
Switzerland/Sihlbrugg,47.219356,8.5767,480,2012,2012-04-10,101,0.89,47.8,89.0,249.7
Switzerland/Sihlbrugg,47.219356,8.5767,480,2013,2013-04-28,118,0.11,4.6,90.0,267.7
Switzerland/Sihlbrugg,47.219356,8.5767,480,2014,2014-04-07,97,3.65,53.6,90.0,226.8
Switzerland/Sihlbrugg,47.219356,8.5767,480,2015,2015-04-15,105,1.96,36.4,88.0,309.8
Switzerland/Sihlbrugg,47.219356,8.5767,480,2016,2016-04-11,102,2.71,27.6,88.0,381.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,2017,2017-04-04,94,2.23,95.0,88.0,236.9
Switzerland/Sihlbrugg,47.219356,8.5767,480,2018,2018-04-18,108,2.14,19.5,89.0,317.2
Switzerland/Sihlbrugg,47.219356,8.5767,480,2019,2019-04-03,93,3.01,57.7,80.0,226.4
