location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Silenen,46.782531,8.669625,510,1992,1992-04-25,116,2.45,32.5,89.0,408.1
Switzerland/Silenen,46.782531,8.669625,510,1993,1993-04-21,111,2.3,43.6,90.0,256.0
Switzerland/Silenen,46.782531,8.669625,510,1994,1994-03-30,89,3.77,91.0,89.0,418.9
Switzerland/Silenen,46.782531,8.669625,510,1995,1995-04-25,115,1.64,21.9,83.0,607.7
Switzerland/Silenen,46.782531,8.669625,510,1996,1996-04-24,115,1.43,35.4,88.0,233.3
Switzerland/Silenen,46.782531,8.669625,510,1997,1997-04-18,108,3.86,65.4,90.0,282.8
Switzerland/Silenen,46.782531,8.669625,510,1998,1998-04-25,115,2.92,57.2,82.0,283.2
Switzerland/Silenen,46.782531,8.669625,510,1999,1999-04-21,111,1.71,31.4,87.0,630.1
Switzerland/Silenen,46.782531,8.669625,510,2000,2000-04-21,112,2.36,30.2,90.0,452.3
Switzerland/Silenen,46.782531,8.669625,510,2001,2001-04-28,118,3.3,59.9,80.0,435.8
Switzerland/Silenen,46.782531,8.669625,510,2002,2002-04-07,97,2.93,58.9,87.0,277.4
Switzerland/Silenen,46.782531,8.669625,510,2003,2003-04-16,106,1.16,54.4,86.0,253.7
Switzerland/Silenen,46.782531,8.669625,510,2004,2004-04-18,109,1.65,44.1,86.0,417.5
Switzerland/Silenen,46.782531,8.669625,510,2005,2005-04-15,105,0.13,74.6,90.0,348.9
Switzerland/Silenen,46.782531,8.669625,510,2006,2006-04-23,113,0.1,28.3,90.0,349.0
Switzerland/Silenen,46.782531,8.669625,510,2007,2007-04-15,105,3.95,55.3,75.0,375.6
Switzerland/Silenen,46.782531,8.669625,510,2008,2008-04-20,111,3.14,48.5,82.0,321.7
Switzerland/Silenen,46.782531,8.669625,510,2009,2009-04-13,103,0.93,13.3,90.0,442.1
Switzerland/Silenen,46.782531,8.669625,510,2010,2010-04-18,108,0.38,38.3,90.0,228.2
Switzerland/Silenen,46.782531,8.669625,510,2011,2011-04-08,98,3.13,66.3,89.0,196.4
Switzerland/Silenen,46.782531,8.669625,510,2012,2012-04-14,105,1.81,82.6,84.0,378.5
Switzerland/Silenen,46.782531,8.669625,510,2013,2013-04-24,114,0.68,16.3,90.0,327.5
Switzerland/Silenen,46.782531,8.669625,510,2014,2014-04-06,96,3.59,64.4,90.0,301.2
Switzerland/Silenen,46.782531,8.669625,510,2015,2015-04-16,106,2.71,50.9,84.0,408.4
Switzerland/Silenen,46.782531,8.669625,510,2016,2016-04-05,96,3.04,45.8,86.0,428.7
Switzerland/Silenen,46.782531,8.669625,510,2017,2017-04-03,93,3.85,145.8,78.0,434.4
Switzerland/Silenen,46.782531,8.669625,510,2018,2018-04-11,101,2.29,42.7,86.0,535.5
Switzerland/Silenen,46.782531,8.669625,510,2019,2019-04-11,101,2.87,72.7,77.0,501.7
Switzerland/Silenen,46.782531,8.669625,510,2020,2020-04-10,101,4.12,86.0,77.0,356.9
Switzerland/Silenen,46.782531,8.669625,510,2021,2021-04-11,101,2.91,80.3,76.0,449.5
Switzerland/Silenen,46.782531,8.669625,510,2022,2022-04-10,100,3.6,94.1,81.0,333.2
Switzerland/Silenen,46.782531,8.669625,510,2023,2023-04-13,103,4.01,118.9,72.0,324.2
