location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Therwil,47.499697,7.558086,310,2004,2004-04-05,96,2.8,68.0,83.0,233.0
Switzerland/Therwil,47.499697,7.558086,310,2005,2005-04-10,100,1.98,94.6,,155.6
Switzerland/Therwil,47.499697,7.558086,310,2006,2006-04-20,110,,,89.0,
Switzerland/Therwil,47.499697,7.558086,310,2007,2007-04-05,95,,,68.0,
Switzerland/Therwil,47.499697,7.558086,310,2008,2008-04-10,101,,,80.0,
Switzerland/Therwil,47.499697,7.558086,310,2009,2009-04-13,103,,,,
Switzerland/Therwil,47.499697,7.558086,310,2010,2010-04-20,110,1.3,66.3,88.0,180.4
Switzerland/Therwil,47.499697,7.558086,310,2011,2011-04-04,94,3.4,69.6,88.0,133.1
Switzerland/Therwil,47.499697,7.558086,310,2013,2013-04-22,112,,,85.0,
Switzerland/Therwil,47.499697,7.558086,310,2014,2014-04-07,97,,,88.0,
Switzerland/Therwil,47.499697,7.558086,310,2015,2015-04-16,106,3.09,62.2,84.0,191.7
Switzerland/Therwil,47.499697,7.558086,310,2018,2018-04-12,102,3.97,96.7,76.0,323.0
Switzerland/Therwil,47.499697,7.558086,310,2019,2019-04-04,94,4.82,130.8,69.0,191.8
Switzerland/Therwil,47.499697,7.558086,310,2022,2022-03-21,80,5.23,157.1,75.0,167.4
