location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Thusis,46.709511,9.44165,700,1956,1956-05-07,128,-3.2,22.0,90.0,269.6
Switzerland/Thusis,46.709511,9.44165,700,1957,1957-04-01,91,1.49,62.1,89.0,318.6
Switzerland/Thusis,46.709511,9.44165,700,1958,1958-05-03,123,-1.15,23.3,87.0,484.0
Switzerland/Thusis,46.709511,9.44165,700,1959,1959-04-08,98,0.89,27.8,90.0,271.5
Switzerland/Thusis,46.709511,9.44165,700,1960,1960-04-20,111,0.65,19.3,90.0,299.0
Switzerland/Thusis,46.709511,9.44165,700,1961,1961-04-16,106,1.15,25.1,90.0,328.8
Switzerland/Thusis,46.709511,9.44165,700,1962,1962-05-06,126,-1.74,4.0,87.0,464.8
Switzerland/Thusis,46.709511,9.44165,700,1963,1963-05-06,126,-3.01,0.7,90.0,303.3
Switzerland/Thusis,46.709511,9.44165,700,1964,1964-04-25,116,-0.29,13.9,89.0,233.8
Switzerland/Thusis,46.709511,9.44165,700,1968,1968-04-28,119,-0.07,24.8,90.0,518.2
Switzerland/Thusis,46.709511,9.44165,700,1969,1969-05-01,121,-0.77,11.7,90.0,268.6
Switzerland/Thusis,46.709511,9.44165,700,1970,1970-05-11,131,-0.85,9.3,90.0,596.9
Switzerland/Thusis,46.709511,9.44165,700,1971,1971-05-01,121,-1.98,4.0,90.0,285.0
Switzerland/Thusis,46.709511,9.44165,700,1972,1972-05-02,123,1.91,41.6,90.0,141.7
Switzerland/Thusis,46.709511,9.44165,700,1974,1974-04-05,95,2.4,47.2,89.0,314.1
Switzerland/Thusis,46.709511,9.44165,700,1975,1975-04-26,116,0.96,2.8,89.0,360.9
Switzerland/Thusis,46.709511,9.44165,700,1976,1976-04-17,108,0.7,18.8,90.0,249.4
Switzerland/Thusis,46.709511,9.44165,700,1977,1977-04-10,100,2.14,51.2,90.0,406.6
Switzerland/Thusis,46.709511,9.44165,700,1978,1978-04-15,105,0.15,22.9,89.0,502.0
Switzerland/Thusis,46.709511,9.44165,700,1979,1979-05-08,128,-0.35,15.3,90.0,366.9
Switzerland/Thusis,46.709511,9.44165,700,1980,1980-05-11,132,-0.04,7.4,90.0,353.3
Switzerland/Thusis,46.709511,9.44165,700,1981,1981-04-12,102,-1.1,52.0,90.0,485.7
Switzerland/Thusis,46.709511,9.44165,700,1982,1982-04-25,115,0.15,3.4,90.0,359.3
Switzerland/Thusis,46.709511,9.44165,700,1983,1983-04-19,109,-0.06,21.3,90.0,410.6
Switzerland/Thusis,46.709511,9.44165,700,1984,1984-04-12,103,-1.85,0.0,90.0,395.3
Switzerland/Thusis,46.709511,9.44165,700,1985,1985-05-02,122,-1.78,4.5,90.0,322.5
Switzerland/Thusis,46.709511,9.44165,700,1986,1986-05-04,124,-1.61,4.5,90.0,417.6
Switzerland/Thusis,46.709511,9.44165,700,1987,1987-04-29,119,-1.96,3.4,90.0,381.7
Switzerland/Thusis,46.709511,9.44165,700,1988,1988-04-21,112,-0.09,6.8,88.0,627.5
Switzerland/Thusis,46.709511,9.44165,700,1989,1989-04-03,93,1.68,48.7,90.0,221.2
Switzerland/Thusis,46.709511,9.44165,700,1990,1990-04-01,91,2.0,63.4,85.0,353.5
Switzerland/Thusis,46.709511,9.44165,700,1991,1991-04-13,103,0.42,51.7,87.0,215.5
Switzerland/Thusis,46.709511,9.44165,700,1992,1992-05-01,122,0.14,10.5,90.0,389.8
Switzerland/Thusis,46.709511,9.44165,700,1993,1993-04-22,112,-0.22,22.1,90.0,257.7
Switzerland/Thusis,46.709511,9.44165,700,1994,1994-03-31,90,1.86,61.2,89.0,358.3
Switzerland/Thusis,46.709511,9.44165,700,1995,1995-04-23,113,-0.69,6.4,90.0,541.6
Switzerland/Thusis,46.709511,9.44165,700,1997,1997-04-09,99,1.84,32.0,90.0,267.8
Switzerland/Thusis,46.709511,9.44165,700,1998,1998-04-18,108,0.72,33.7,87.0,293.2
Switzerland/Thusis,46.709511,9.44165,700,1999,1999-04-25,115,-0.04,24.4,90.0,603.0
Switzerland/Thusis,46.709511,9.44165,700,2000,2000-04-21,112,0.2,18.5,90.0,496.3
Switzerland/Thusis,46.709511,9.44165,700,2001,2001-04-06,96,1.59,31.2,90.0,444.0
Switzerland/Thusis,46.709511,9.44165,700,2002,2002-04-07,97,1.81,35.7,87.0,301.7
