location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Unterseen,46.684958,7.854311,565,2007,2007-04-11,101,2.94,25.2,85.0,289.9
Switzerland/Unterseen,46.684958,7.854311,565,2008,2008-04-20,111,2.22,26.7,89.0,209.7
Switzerland/Unterseen,46.684958,7.854311,565,2009,2009-04-14,104,0.01,2.6,,269.9
Switzerland/Unterseen,46.684958,7.854311,565,2010,2010-04-19,109,-0.44,25.7,90.0,145.8
Switzerland/Unterseen,46.684958,7.854311,565,2011,2011-04-05,95,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2012,2012-04-08,99,,,90.0,
Switzerland/Unterseen,46.684958,7.854311,565,2013,2013-04-25,115,-0.12,4.6,90.0,253.6
Switzerland/Unterseen,46.684958,7.854311,565,2014,2014-04-04,94,,,90.0,
Switzerland/Unterseen,46.684958,7.854311,565,2015,2015-04-15,105,1.77,24.3,,255.7
Switzerland/Unterseen,46.684958,7.854311,565,2016,2016-04-13,104,2.43,22.8,,359.4
Switzerland/Unterseen,46.684958,7.854311,565,2017,2017-03-31,90,4.43,151.0,86.0,284.1
Switzerland/Unterseen,46.684958,7.854311,565,2018,2018-04-17,107,3.42,51.0,87.0,370.3
Switzerland/Unterseen,46.684958,7.854311,565,2019,2019-04-16,106,,,71.0,
Switzerland/Unterseen,46.684958,7.854311,565,2020,2020-04-05,96,5.97,135.5,71.0,224.8
Switzerland/Unterseen,46.684958,7.854311,565,2021,2021-04-13,103,4.35,126.7,71.0,325.2
Switzerland/Unterseen,46.684958,7.854311,565,2022,2022-04-10,100,5.06,122.3,81.0,249.2
Switzerland/Unterseen,46.684958,7.854311,565,2023,2023-04-12,102,4.87,144.7,64.0,313.7
