location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Vals,46.622889,9.182461,1250,1956,1956-05-27,148,-6.43,0.0,90.0,209.0
Switzerland/Vals,46.622889,9.182461,1250,1957,1957-05-25,145,-1.63,1.8,90.0,210.9
Switzerland/Vals,46.622889,9.182461,1250,1958,1958-05-25,145,-4.42,0.8,90.0,149.8
Switzerland/Vals,46.622889,9.182461,1250,1959,1959-05-15,135,-2.24,0.4,90.0,190.6
Switzerland/Vals,46.622889,9.182461,1250,1962,1962-05-27,147,-5.08,0.0,90.0,215.4
Switzerland/Vals,46.622889,9.182461,1250,1963,1963-06-10,161,-6.23,0.0,90.0,198.3
Switzerland/Vals,46.622889,9.182461,1250,1964,1964-06-01,153,-3.42,0.0,90.0,216.2
Switzerland/Vals,46.622889,9.182461,1250,1966,1966-05-25,145,-3.53,0.0,90.0,168.9
Switzerland/Vals,46.622889,9.182461,1250,1967,1967-05-06,126,-3.18,0.2,90.0,217.3
Switzerland/Vals,46.622889,9.182461,1250,1970,1970-06-05,156,-4.33,0.0,90.0,327.9
Switzerland/Vals,46.622889,9.182461,1250,1971,1971-05-18,138,-5.06,0.0,90.0,234.6
Switzerland/Vals,46.622889,9.182461,1250,1972,1972-05-20,141,-1.44,0.0,90.0,305.1
Switzerland/Vals,46.622889,9.182461,1250,1973,1973-06-04,155,-4.0,0.0,90.0,89.2
Switzerland/Vals,46.622889,9.182461,1250,1976,1976-05-30,151,-2.64,1.1,90.0,74.1
Switzerland/Vals,46.622889,9.182461,1250,1977,1977-06-01,152,-1.37,4.7,90.0,477.9
Switzerland/Vals,46.622889,9.182461,1250,1978,1978-06-03,154,-3.21,0.8,90.0,419.6
Switzerland/Vals,46.622889,9.182461,1250,1979,1979-06-07,158,-3.81,0.5,90.0,369.0
Switzerland/Vals,46.622889,9.182461,1250,1980,1980-06-09,161,-3.29,0.9,90.0,181.2
Switzerland/Vals,46.622889,9.182461,1250,1981,1981-06-04,155,-4.23,9.8,90.0,204.6
