location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Vergeletto,46.225417,8.605172,1100,1956,1956-05-03,124,-2.89,1.7,90.0,359.8
Switzerland/Vergeletto,46.225417,8.605172,1100,1957,1957-05-05,125,0.51,10.2,90.0,318.1
Switzerland/Vergeletto,46.225417,8.605172,1100,1980,1980-05-25,146,-0.2,0.0,90.0,322.2
Switzerland/Vergeletto,46.225417,8.605172,1100,1991,1991-04-26,116,-0.31,5.0,90.0,439.3
Switzerland/Vergeletto,46.225417,8.605172,1100,1992,1992-04-30,121,0.56,8.7,90.0,267.0
Switzerland/Vergeletto,46.225417,8.605172,1100,1993,1993-04-23,113,0.42,17.5,90.0,105.1
Switzerland/Vergeletto,46.225417,8.605172,1100,1994,1994-04-21,111,1.68,37.8,90.0,398.7
Switzerland/Vergeletto,46.225417,8.605172,1100,1995,1995-04-18,108,-0.0,1.1,89.0,189.5
Switzerland/Vergeletto,46.225417,8.605172,1100,1996,1996-04-24,115,-0.4,2.3,90.0,329.8
Switzerland/Vergeletto,46.225417,8.605172,1100,1997,1997-04-25,115,1.67,14.9,90.0,140.8
Switzerland/Vergeletto,46.225417,8.605172,1100,1998,1998-04-10,100,1.19,8.4,90.0,138.2
Switzerland/Vergeletto,46.225417,8.605172,1100,1999,1999-04-23,113,0.04,1.6,90.0,341.2
Switzerland/Vergeletto,46.225417,8.605172,1100,2000,2000-04-24,115,0.94,17.2,90.0,125.6
Switzerland/Vergeletto,46.225417,8.605172,1100,2001,2001-04-16,106,1.6,12.1,90.0,503.7
Switzerland/Vergeletto,46.225417,8.605172,1100,2002,2002-04-16,106,1.6,21.5,90.0,247.4
Switzerland/Vergeletto,46.225417,8.605172,1100,2003,2003-04-29,119,0.04,12.3,90.0,74.8
Switzerland/Vergeletto,46.225417,8.605172,1100,2004,2004-04-26,117,0.43,5.1,90.0,221.0
Switzerland/Vergeletto,46.225417,8.605172,1100,2005,2005-04-28,118,0.43,40.1,90.0,86.7
Switzerland/Vergeletto,46.225417,8.605172,1100,2006,2006-04-26,116,-1.07,4.1,90.0,241.5
Switzerland/Vergeletto,46.225417,8.605172,1100,2007,2007-04-13,103,2.39,6.9,89.0,240.1
Switzerland/Vergeletto,46.225417,8.605172,1100,2008,2008-04-27,118,1.66,18.7,90.0,303.5
Switzerland/Vergeletto,46.225417,8.605172,1100,2009,2009-04-28,118,0.59,10.2,90.0,391.1
Switzerland/Vergeletto,46.225417,8.605172,1100,2010,2010-04-28,118,-0.86,4.6,90.0,312.6
Switzerland/Vergeletto,46.225417,8.605172,1100,2011,2011-04-11,101,0.99,8.3,90.0,229.5
Switzerland/Vergeletto,46.225417,8.605172,1100,2012,2012-04-03,94,1.67,59.5,88.0,186.4
Switzerland/Vergeletto,46.225417,8.605172,1100,2013,2013-05-04,124,-0.0,0.0,90.0,232.0
Switzerland/Vergeletto,46.225417,8.605172,1100,2014,2014-04-28,118,1.93,14.1,90.0,590.3
Switzerland/Vergeletto,46.225417,8.605172,1100,2015,2015-04-21,111,1.47,14.8,90.0,351.0
Switzerland/Vergeletto,46.225417,8.605172,1100,2016,2016-04-25,116,1.97,16.1,88.0,380.1
Switzerland/Vergeletto,46.225417,8.605172,1100,2017,2017-04-11,101,2.24,51.8,90.0,316.6
Switzerland/Vergeletto,46.225417,8.605172,1100,2018,2018-04-20,110,-0.23,0.0,90.0,461.5
Switzerland/Vergeletto,46.225417,8.605172,1100,2019,2019-04-08,98,2.51,29.6,88.0,151.1
Switzerland/Vergeletto,46.225417,8.605172,1100,2020,2020-04-11,102,2.78,33.6,88.0,157.9
Switzerland/Vergeletto,46.225417,8.605172,1100,2021,2021-04-21,111,1.46,33.7,88.0,222.4
Switzerland/Vergeletto,46.225417,8.605172,1100,2022,2022-04-13,103,2.92,31.0,88.0,77.7
Switzerland/Vergeletto,46.225417,8.605172,1100,2023,2023-04-06,96,3.16,44.5,88.0,167.8
