location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Visp,46.293494,7.892842,650,1992,1992-04-09,100,1.56,25.4,,317.5
Switzerland/Visp,46.293494,7.892842,650,1993,1993-04-09,99,1.16,37.1,90.0,185.6
Switzerland/Visp,46.293494,7.892842,650,1994,1994-03-15,74,2.26,73.8,89.0,528.2
Switzerland/Visp,46.293494,7.892842,650,1995,1995-04-08,98,-0.03,6.9,88.0,284.4
Switzerland/Visp,46.293494,7.892842,650,1996,1996-04-14,105,-0.08,29.9,,411.2
Switzerland/Visp,46.293494,7.892842,650,1997,1997-04-06,96,2.69,46.4,90.0,217.1
Switzerland/Visp,46.293494,7.892842,650,1998,1998-04-04,94,,,83.0,
Switzerland/Visp,46.293494,7.892842,650,1999,1999-04-09,99,0.39,22.4,88.0,450.8
Switzerland/Visp,46.293494,7.892842,650,2000,2000-04-16,107,0.89,19.0,90.0,182.8
Switzerland/Visp,46.293494,7.892842,650,2001,2001-03-31,90,1.61,46.1,90.0,668.6
Switzerland/Visp,46.293494,7.892842,650,2002,2002-04-04,94,1.94,32.6,88.0,310.2
Switzerland/Visp,46.293494,7.892842,650,2003,2003-04-10,100,-0.39,41.5,,104.1
Switzerland/Visp,46.293494,7.892842,650,2004,2004-04-06,97,0.45,33.2,90.0,302.6
Switzerland/Visp,46.293494,7.892842,650,2005,2005-04-13,103,-1.17,75.8,,147.8
Switzerland/Visp,46.293494,7.892842,650,2006,2006-04-18,108,-0.66,27.5,90.0,350.2
Switzerland/Visp,46.293494,7.892842,650,2019,2019-04-06,96,3.75,98.2,73.0,264.7
Switzerland/Visp,46.293494,7.892842,650,2021,2021-03-26,85,3.99,101.0,81.0,352.9
Switzerland/Visp,46.293494,7.892842,650,2022,2022-03-29,88,,,74.0,
Switzerland/Visp,46.293494,7.892842,650,2023,2023-04-04,94,4.48,128.6,68.0,232.7
