location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wengen,46.603731,7.921556,1300,1993,1993-05-03,123,-1.81,5.5,90.0,177.2
Switzerland/Wengen,46.603731,7.921556,1300,1994,1994-05-02,122,-0.32,11.7,90.0,336.6
Switzerland/Wengen,46.603731,7.921556,1300,1995,1995-05-16,136,,,90.0,
Switzerland/Wengen,46.603731,7.921556,1300,1996,1996-05-22,143,-2.93,6.1,90.0,211.4
Switzerland/Wengen,46.603731,7.921556,1300,1998,1998-04-29,119,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1999,1999-05-10,130,-2.59,0.0,90.0,536.7
Switzerland/Wengen,46.603731,7.921556,1300,2000,2000-05-05,126,-1.98,1.7,90.0,354.3
Switzerland/Wengen,46.603731,7.921556,1300,2001,2001-05-10,130,-0.97,5.4,,481.6
Switzerland/Wengen,46.603731,7.921556,1300,2002,2002-04-30,120,-1.36,1.4,90.0,273.9
Switzerland/Wengen,46.603731,7.921556,1300,2003,2003-05-03,123,-3.52,5.6,90.0,244.0
Switzerland/Wengen,46.603731,7.921556,1300,2004,2004-05-05,126,-2.61,4.1,90.0,376.5
Switzerland/Wengen,46.603731,7.921556,1300,2006,2006-05-10,130,-4.4,6.3,,335.4
Switzerland/Wengen,46.603731,7.921556,1300,2009,2009-05-09,129,,,90.0,
Switzerland/Wengen,46.603731,7.921556,1300,2010,2010-05-05,125,,,90.0,
Switzerland/Wengen,46.603731,7.921556,1300,2011,2011-04-20,110,-1.74,0.9,,168.8
Switzerland/Wengen,46.603731,7.921556,1300,2012,2012-05-03,124,-2.32,6.1,,289.0
Switzerland/Wengen,46.603731,7.921556,1300,2015,2015-05-06,126,,,90.0,
Switzerland/Wengen,46.603731,7.921556,1300,2016,2016-05-06,127,-1.16,2.7,,464.9
Switzerland/Wengen,46.603731,7.921556,1300,2017,2017-04-16,106,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2018,2018-04-23,113,-0.46,1.5,88.0,562.0
Switzerland/Wengen,46.603731,7.921556,1300,2019,2019-04-22,112,0.01,24.5,85.0,387.7
Switzerland/Wengen,46.603731,7.921556,1300,2020,2020-04-17,108,2.26,37.8,84.0,332.1
Switzerland/Wengen,46.603731,7.921556,1300,2022,2022-05-04,124,,,81.0,
Switzerland/Wengen,46.603731,7.921556,1300,2023,2023-05-07,127,,,83.0,
