location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wetzikon,47.320664,8.814333,555,1993,1993-04-22,112,1.68,32.7,89.0,161.5
Switzerland/Wetzikon,47.320664,8.814333,555,1994,1994-04-09,99,3.6,92.7,87.0,267.8
Switzerland/Wetzikon,47.320664,8.814333,555,1995,1995-04-30,120,1.88,15.4,87.0,395.2
Switzerland/Wetzikon,47.320664,8.814333,555,1996,1996-04-22,113,0.71,21.7,90.0,136.0
Switzerland/Wetzikon,47.320664,8.814333,555,1997,1997-04-04,94,2.87,54.8,88.0,156.0
Switzerland/Wetzikon,47.320664,8.814333,555,1999,1999-04-26,116,1.17,21.8,90.0,384.6
Switzerland/Wetzikon,47.320664,8.814333,555,2000,2000-04-21,112,2.0,28.2,90.0,317.6
Switzerland/Wetzikon,47.320664,8.814333,555,2001,2001-04-28,118,3.05,59.0,88.0,352.4
Switzerland/Wetzikon,47.320664,8.814333,555,2002,2002-04-16,106,2.97,69.7,88.0,191.9
Switzerland/Wetzikon,47.320664,8.814333,555,2003,2003-04-18,108,0.35,47.9,87.0,168.0
Switzerland/Wetzikon,47.320664,8.814333,555,2004,2004-04-20,111,1.07,32.2,89.0,261.4
Switzerland/Wetzikon,47.320664,8.814333,555,2005,2005-04-15,105,-0.13,50.9,90.0,240.3
Switzerland/Wetzikon,47.320664,8.814333,555,2006,2006-04-28,118,-0.46,17.8,90.0,246.8
Switzerland/Wetzikon,47.320664,8.814333,555,2007,2007-04-15,105,3.4,40.8,82.0,269.7
Switzerland/Wetzikon,47.320664,8.814333,555,2008,2008-04-19,110,2.42,32.3,89.0,224.5
Switzerland/Wetzikon,47.320664,8.814333,555,2009,2009-04-14,104,-0.01,0.7,90.0,274.6
Switzerland/Wetzikon,47.320664,8.814333,555,2010,2010-04-19,109,0.02,40.6,90.0,171.0
Switzerland/Wetzikon,47.320664,8.814333,555,2011,2011-04-09,99,1.88,45.2,90.0,146.6
Switzerland/Wetzikon,47.320664,8.814333,555,2012,2012-04-10,101,0.47,43.7,89.0,214.1
Switzerland/Wetzikon,47.320664,8.814333,555,2013,2013-04-26,116,-0.22,5.7,89.0,236.8
Switzerland/Wetzikon,47.320664,8.814333,555,2014,2014-04-16,106,3.58,54.9,90.0,195.6
Switzerland/Wetzikon,47.320664,8.814333,555,2015,2015-04-17,107,1.64,38.4,88.0,271.6
Switzerland/Wetzikon,47.320664,8.814333,555,2016,2016-04-20,111,2.52,31.2,88.0,344.3
Switzerland/Wetzikon,47.320664,8.814333,555,2017,2017-04-05,95,1.9,90.8,88.0,261.5
Switzerland/Wetzikon,47.320664,8.814333,555,2018,2018-04-14,104,1.9,23.7,89.0,362.9
Switzerland/Wetzikon,47.320664,8.814333,555,2019,2019-04-17,107,2.73,49.9,83.0,268.3
Switzerland/Wetzikon,47.320664,8.814333,555,2020,2020-04-12,103,3.76,72.4,80.0,272.3
Switzerland/Wetzikon,47.320664,8.814333,555,2021,2021-04-19,109,2.36,59.7,82.0,369.9
Switzerland/Wetzikon,47.320664,8.814333,555,2022,2022-04-08,98,3.21,82.0,84.0,181.6
Switzerland/Wetzikon,47.320664,8.814333,555,2023,2023-04-18,108,3.57,88.1,80.0,263.9
