location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Wil, SG",47.461458,9.056733,600,1992,1992-04-20,111,1.67,25.8,90.0,248.9
"Switzerland/Wil, SG",47.461458,9.056733,600,1993,1993-04-21,111,1.69,36.5,89.0,161.5
"Switzerland/Wil, SG",47.461458,9.056733,600,1994,1994-03-30,89,3.33,87.1,86.0,267.8
"Switzerland/Wil, SG",47.461458,9.056733,600,1995,1995-04-12,102,1.7,17.1,86.0,395.2
"Switzerland/Wil, SG",47.461458,9.056733,600,1996,1996-04-22,113,0.04,16.6,90.0,136.0
"Switzerland/Wil, SG",47.461458,9.056733,600,1997,1997-04-07,97,2.46,59.1,89.0,156.0
"Switzerland/Wil, SG",47.461458,9.056733,600,1998,1998-04-18,108,2.62,47.7,88.0,200.7
"Switzerland/Wil, SG",47.461458,9.056733,600,1999,1999-04-25,115,1.32,33.0,90.0,384.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2000,2000-04-20,111,2.0,31.2,89.0,317.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2001,2001-04-20,110,2.64,49.7,89.0,352.4
"Switzerland/Wil, SG",47.461458,9.056733,600,2002,2002-04-10,100,3.19,76.2,86.0,191.9
"Switzerland/Wil, SG",47.461458,9.056733,600,2003,2003-04-18,108,0.5,50.7,87.0,168.0
"Switzerland/Wil, SG",47.461458,9.056733,600,2004,2004-04-22,113,0.82,34.6,90.0,261.4
"Switzerland/Wil, SG",47.461458,9.056733,600,2005,2005-04-16,106,0.06,51.7,90.0,240.3
"Switzerland/Wil, SG",47.461458,9.056733,600,2006,2006-04-24,114,-0.81,10.9,90.0,246.8
"Switzerland/Wil, SG",47.461458,9.056733,600,2007,2007-04-16,106,3.61,48.7,83.0,269.7
"Switzerland/Wil, SG",47.461458,9.056733,600,2008,2008-05-04,125,2.44,33.1,88.0,224.5
"Switzerland/Wil, SG",47.461458,9.056733,600,2009,2009-04-20,110,-0.05,0.7,90.0,274.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2010,2010-04-21,111,-0.35,35.0,90.0,171.0
"Switzerland/Wil, SG",47.461458,9.056733,600,2011,2011-04-08,98,1.81,42.2,90.0,146.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2012,2012-04-10,101,0.54,41.3,89.0,214.1
"Switzerland/Wil, SG",47.461458,9.056733,600,2013,2013-04-28,118,-0.3,6.3,89.0,236.8
"Switzerland/Wil, SG",47.461458,9.056733,600,2014,2014-04-05,95,3.66,60.7,90.0,195.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2015,2015-04-19,109,1.39,37.5,88.0,271.6
"Switzerland/Wil, SG",47.461458,9.056733,600,2017,2017-04-07,97,1.63,86.2,87.0,219.3
"Switzerland/Wil, SG",47.461458,9.056733,600,2018,2018-04-19,109,1.67,28.5,88.0,329.5
"Switzerland/Wil, SG",47.461458,9.056733,600,2019,2019-04-01,91,2.69,60.5,82.0,237.4
"Switzerland/Wil, SG",47.461458,9.056733,600,2021,2021-04-15,105,2.27,72.5,81.0,301.4
"Switzerland/Wil, SG",47.461458,9.056733,600,2022,2022-04-13,103,3.13,79.3,82.0,145.2
"Switzerland/Wil, SG",47.461458,9.056733,600,2023,2023-04-18,108,3.58,108.3,76.0,221.1
