location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wildhaus,47.205022,9.352617,1100,1999,1999-05-10,130,,,,
Switzerland/Wildhaus,47.205022,9.352617,1100,2001,2001-05-10,130,-0.64,2.2,90.0,484.6
Switzerland/Wildhaus,47.205022,9.352617,1100,2003,2003-05-02,122,,,90.0,
Switzerland/Wildhaus,47.205022,9.352617,1100,2005,2005-05-18,138,-4.28,4.3,90.0,354.0
Switzerland/Wildhaus,47.205022,9.352617,1100,2006,2006-05-22,142,-4.77,1.1,,346.0
Switzerland/Wildhaus,47.205022,9.352617,1100,2007,2007-04-27,117,,,90.0,
Switzerland/Wildhaus,47.205022,9.352617,1100,2008,2008-05-12,133,-0.83,0.0,,346.7
Switzerland/Wildhaus,47.205022,9.352617,1100,2009,2009-05-10,130,-3.01,0.0,90.0,401.0
Switzerland/Wildhaus,47.205022,9.352617,1100,2010,2010-05-19,139,-3.6,1.8,90.0,229.9
Switzerland/Wildhaus,47.205022,9.352617,1100,2011,2011-05-02,122,-0.71,2.4,90.0,214.5
Switzerland/Wildhaus,47.205022,9.352617,1100,2012,2012-05-06,127,-2.77,0.0,90.0,355.4
Switzerland/Wildhaus,47.205022,9.352617,1100,2013,2013-05-10,130,-3.4,0.0,90.0,332.3
Switzerland/Wildhaus,47.205022,9.352617,1100,2014,2014-05-08,128,1.12,12.5,90.0,276.3
Switzerland/Wildhaus,47.205022,9.352617,1100,2015,2015-05-10,130,-1.65,0.0,,393.2
Switzerland/Wildhaus,47.205022,9.352617,1100,2016,2016-05-08,129,-1.12,2.7,90.0,434.1
Switzerland/Wildhaus,47.205022,9.352617,1100,2018,2018-04-23,113,-1.76,0.0,90.0,440.8
Switzerland/Wildhaus,47.205022,9.352617,1100,2019,2019-05-04,124,-0.66,11.9,,390.8
Switzerland/Wildhaus,47.205022,9.352617,1100,2020,2020-04-24,115,,,90.0,
Switzerland/Wildhaus,47.205022,9.352617,1100,2021,2021-05-10,130,-0.92,15.9,90.0,437.1
Switzerland/Wildhaus,47.205022,9.352617,1100,2022,2022-05-10,130,-0.57,13.3,90.0,294.5
Switzerland/Wildhaus,47.205022,9.352617,1100,2023,2023-05-15,135,0.14,17.1,,324.5
