location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Winterthur,47.474228,8.795444,580,1966,1966-04-28,118,0.58,10.2,88.0,285.0
Switzerland/Winterthur,47.474228,8.795444,580,1967,1967-04-30,120,1.13,17.9,89.0,267.2
Switzerland/Winterthur,47.474228,8.795444,580,1969,1969-05-04,124,-0.47,5.2,90.0,194.4
Switzerland/Winterthur,47.474228,8.795444,580,1992,1992-04-24,115,1.73,21.6,89.0,227.9
Switzerland/Winterthur,47.474228,8.795444,580,1993,1993-04-21,111,1.85,39.3,89.0,137.7
Switzerland/Winterthur,47.474228,8.795444,580,1994,1994-04-14,104,3.43,83.6,86.0,241.7
Switzerland/Winterthur,47.474228,8.795444,580,1995,1995-04-24,114,1.88,19.0,85.0,387.8
Switzerland/Winterthur,47.474228,8.795444,580,1996,1996-04-26,117,0.36,17.9,90.0,121.8
Switzerland/Winterthur,47.474228,8.795444,580,1997,1997-04-09,99,2.64,57.7,89.0,141.4
Switzerland/Winterthur,47.474228,8.795444,580,1998,1998-04-18,108,2.77,47.0,88.0,189.2
Switzerland/Winterthur,47.474228,8.795444,580,1999,1999-04-25,115,1.37,32.6,90.0,359.7
Switzerland/Winterthur,47.474228,8.795444,580,2000,2000-04-22,113,2.25,29.2,89.0,284.6
Switzerland/Winterthur,47.474228,8.795444,580,2001,2001-04-24,114,2.7,49.8,89.0,345.7
Switzerland/Winterthur,47.474228,8.795444,580,2002,2002-04-12,102,3.3,72.6,86.0,186.5
Switzerland/Winterthur,47.474228,8.795444,580,2003,2003-04-18,108,0.77,49.4,87.0,157.3
Switzerland/Winterthur,47.474228,8.795444,580,2004,2004-04-23,114,1.15,38.7,89.0,255.8
Switzerland/Winterthur,47.474228,8.795444,580,2005,2005-04-17,107,0.29,57.6,90.0,216.0
Switzerland/Winterthur,47.474228,8.795444,580,2006,2006-04-28,118,-0.33,17.7,90.0,244.2
Switzerland/Winterthur,47.474228,8.795444,580,2007,2007-04-17,107,3.54,48.5,82.0,269.9
Switzerland/Winterthur,47.474228,8.795444,580,2008,2008-04-24,115,2.38,31.6,88.0,213.1
Switzerland/Winterthur,47.474228,8.795444,580,2009,2009-04-17,107,-0.01,1.0,90.0,254.5
Switzerland/Winterthur,47.474228,8.795444,580,2010,2010-04-24,114,-0.08,35.4,90.0,160.8
Switzerland/Winterthur,47.474228,8.795444,580,2011,2011-04-08,98,2.02,39.1,90.0,143.1
Switzerland/Winterthur,47.474228,8.795444,580,2012,2012-04-11,102,0.75,51.0,89.0,191.3
Switzerland/Winterthur,47.474228,8.795444,580,2013,2013-04-30,120,-0.13,8.9,88.0,217.1
Switzerland/Winterthur,47.474228,8.795444,580,2014,2014-04-12,102,3.46,54.6,90.0,190.8
Switzerland/Winterthur,47.474228,8.795444,580,2015,2015-04-17,107,1.47,32.4,88.0,255.0
Switzerland/Winterthur,47.474228,8.795444,580,2016,2016-04-21,112,2.33,28.2,85.0,341.9
Switzerland/Winterthur,47.474228,8.795444,580,2017,2017-04-09,99,1.7,85.8,88.0,205.4
Switzerland/Winterthur,47.474228,8.795444,580,2018,2018-04-19,109,1.57,23.4,88.0,333.2
Switzerland/Winterthur,47.474228,8.795444,580,2019,2019-04-12,102,2.51,56.7,82.0,249.2
Switzerland/Winterthur,47.474228,8.795444,580,2020,2020-04-09,100,3.66,81.7,76.0,246.5
Switzerland/Winterthur,47.474228,8.795444,580,2021,2021-04-14,104,2.16,67.5,80.0,306.4
Switzerland/Winterthur,47.474228,8.795444,580,2023,2023-04-19,109,3.41,97.9,78.0,254.1
