location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wolhusen,47.064342,8.071028,580,1992,1992-04-28,119,2.26,38.2,90.0,261.2
Switzerland/Wolhusen,47.064342,8.071028,580,1993,1993-04-24,114,2.34,43.9,88.0,167.8
Switzerland/Wolhusen,47.064342,8.071028,580,1994,1994-04-22,112,3.84,92.6,86.0,314.8
Switzerland/Wolhusen,47.064342,8.071028,580,1995,1995-05-01,121,2.18,31.4,86.0,470.9
Switzerland/Wolhusen,47.064342,8.071028,580,1996,1996-05-03,124,1.28,25.5,90.0,186.1
Switzerland/Wolhusen,47.064342,8.071028,580,1997,1997-04-20,110,3.33,68.1,87.0,195.3
Switzerland/Wolhusen,47.064342,8.071028,580,1998,1998-04-28,118,3.25,58.7,88.0,211.3
Switzerland/Wolhusen,47.064342,8.071028,580,1999,1999-04-29,119,1.74,30.9,90.0,431.4
Switzerland/Wolhusen,47.064342,8.071028,580,2000,2000-04-27,118,2.54,33.2,89.0,314.6
Switzerland/Wolhusen,47.064342,8.071028,580,2001,2001-04-30,120,3.12,58.2,90.0,401.4
Switzerland/Wolhusen,47.064342,8.071028,580,2002,2002-04-26,116,3.47,70.2,86.0,202.3
Switzerland/Wolhusen,47.064342,8.071028,580,2003,2003-04-23,113,1.06,55.9,86.0,181.2
Switzerland/Wolhusen,47.064342,8.071028,580,2004,2004-04-28,119,1.49,43.3,88.0,325.4
Switzerland/Wolhusen,47.064342,8.071028,580,2005,2005-04-28,118,0.52,62.9,90.0,255.9
Switzerland/Wolhusen,47.064342,8.071028,580,2006,2006-05-02,122,0.24,24.1,90.0,309.4
Switzerland/Wolhusen,47.064342,8.071028,580,2007,2007-04-15,105,3.92,67.9,80.0,308.4
Switzerland/Wolhusen,47.064342,8.071028,580,2008,2008-04-26,117,2.86,38.4,87.0,245.9
Switzerland/Wolhusen,47.064342,8.071028,580,2009,2009-04-21,111,0.21,3.4,90.0,310.2
Switzerland/Wolhusen,47.064342,8.071028,580,2010,2010-04-25,115,0.36,39.8,90.0,186.4
Switzerland/Wolhusen,47.064342,8.071028,580,2011,2011-04-16,106,2.55,49.3,90.0,162.9
Switzerland/Wolhusen,47.064342,8.071028,580,2012,2012-04-22,113,1.34,69.2,89.0,233.0
Switzerland/Wolhusen,47.064342,8.071028,580,2013,2013-05-01,121,0.21,10.2,88.0,276.4
Switzerland/Wolhusen,47.064342,8.071028,580,2014,2014-04-13,103,3.42,59.4,90.0,230.9
Switzerland/Wolhusen,47.064342,8.071028,580,2015,2015-04-21,111,2.17,47.4,88.0,295.0
Switzerland/Wolhusen,47.064342,8.071028,580,2016,2016-04-20,111,2.79,37.7,86.0,393.8
Switzerland/Wolhusen,47.064342,8.071028,580,2017,2017-04-10,100,2.09,98.9,87.0,238.9
Switzerland/Wolhusen,47.064342,8.071028,580,2018,2018-04-21,111,2.12,26.8,88.0,334.7
Switzerland/Wolhusen,47.064342,8.071028,580,2019,2019-04-18,108,2.57,49.0,83.0,220.1
Switzerland/Wolhusen,47.064342,8.071028,580,2020,2020-04-11,102,4.0,86.6,77.0,229.6
Switzerland/Wolhusen,47.064342,8.071028,580,2021,2021-04-20,110,2.62,66.1,81.0,300.7
Switzerland/Wolhusen,47.064342,8.071028,580,2022,2022-04-15,105,3.43,77.8,83.0,208.2
Switzerland/Wolhusen,47.064342,8.071028,580,2023,2023-04-24,114,3.55,102.0,78.0,290.0
