location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Worb BE,46.924433,7.577772,600,1986,1986-05-04,124,-0.99,6.5,90.0,260.3
Switzerland/Worb BE,46.924433,7.577772,600,1987,1987-04-27,117,-1.62,2.6,90.0,248.2
Switzerland/Worb BE,46.924433,7.577772,600,1988,1988-04-23,114,1.4,8.7,90.0,408.2
Switzerland/Worb BE,46.924433,7.577772,600,1989,1989-04-04,94,2.62,56.7,88.0,160.1
Switzerland/Worb BE,46.924433,7.577772,600,1990,1990-03-31,90,3.63,96.6,79.0,253.8
Switzerland/Worb BE,46.924433,7.577772,600,1991,1991-04-12,102,1.34,53.7,90.0,183.5
Switzerland/Worb BE,46.924433,7.577772,600,1992,1992-04-21,112,1.43,21.4,90.0,212.6
Switzerland/Worb BE,46.924433,7.577772,600,1993,1993-04-25,115,1.72,39.6,89.0,145.6
Switzerland/Worb BE,46.924433,7.577772,600,1994,1994-03-31,90,3.3,79.1,86.0,230.0
Switzerland/Worb BE,46.924433,7.577772,600,1995,1995-04-26,116,1.37,16.4,89.0,421.4
Switzerland/Worb BE,46.924433,7.577772,600,1996,1996-04-25,116,0.58,20.9,90.0,141.9
Switzerland/Worb BE,46.924433,7.577772,600,1997,1997-04-04,94,2.72,58.5,89.0,152.4
Switzerland/Worb BE,46.924433,7.577772,600,1998,1998-04-20,110,2.36,44.8,88.0,192.2
Switzerland/Worb BE,46.924433,7.577772,600,1999,1999-04-23,113,1.06,23.2,90.0,343.2
Switzerland/Worb BE,46.924433,7.577772,600,2000,2000-04-25,116,1.69,27.1,90.0,249.3
Switzerland/Worb BE,46.924433,7.577772,600,2001,2001-04-30,120,2.56,45.7,87.0,390.8
Switzerland/Worb BE,46.924433,7.577772,600,2002,2002-04-10,100,2.67,60.6,89.0,186.5
Switzerland/Worb BE,46.924433,7.577772,600,2003,2003-04-16,106,0.63,47.6,88.0,162.6
Switzerland/Worb BE,46.924433,7.577772,600,2004,2004-04-21,112,0.9,33.0,89.0,305.7
Switzerland/Worb BE,46.924433,7.577772,600,2005,2005-04-22,112,-0.28,52.0,90.0,216.8
Switzerland/Worb BE,46.924433,7.577772,600,2006,2006-04-24,114,-0.48,19.7,90.0,260.4
Switzerland/Worb BE,46.924433,7.577772,600,2007,2007-04-16,106,3.1,32.6,84.0,289.9
Switzerland/Worb BE,46.924433,7.577772,600,2008,2008-04-29,120,2.37,31.1,88.0,209.7
Switzerland/Worb BE,46.924433,7.577772,600,2009,2009-04-16,106,-0.45,0.4,90.0,269.9
Switzerland/Worb BE,46.924433,7.577772,600,2010,2010-04-21,111,-0.21,32.4,90.0,145.8
Switzerland/Worb BE,46.924433,7.577772,600,2011,2011-04-02,92,1.89,38.3,90.0,147.4
Switzerland/Worb BE,46.924433,7.577772,600,2012,2012-04-12,103,0.61,54.4,90.0,185.8
Switzerland/Worb BE,46.924433,7.577772,600,2013,2013-04-25,115,-0.38,4.8,90.0,253.6
Switzerland/Worb BE,46.924433,7.577772,600,2014,2014-04-14,104,2.93,43.9,90.0,202.1
Switzerland/Worb BE,46.924433,7.577772,600,2015,2015-04-19,109,1.49,30.7,88.0,255.7
Switzerland/Worb BE,46.924433,7.577772,600,2016,2016-04-22,113,2.21,31.6,86.0,359.4
Switzerland/Worb BE,46.924433,7.577772,600,2017,2017-04-04,94,1.83,86.3,88.0,223.5
Switzerland/Worb BE,46.924433,7.577772,600,2018,2018-04-17,107,1.86,17.7,88.0,317.2
Switzerland/Worb BE,46.924433,7.577772,600,2019,2019-04-21,111,2.31,37.2,84.0,238.3
Switzerland/Worb BE,46.924433,7.577772,600,2020,2020-04-11,102,3.41,68.5,84.0,240.2
Switzerland/Worb BE,46.924433,7.577772,600,2021,2021-04-09,99,2.65,57.2,84.0,294.3
Switzerland/Worb BE,46.924433,7.577772,600,2022,2022-04-12,102,3.17,70.8,85.0,201.9
Switzerland/Worb BE,46.924433,7.577772,600,2023,2023-04-15,105,3.05,80.0,84.0,275.0
