location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wädenswil,47.223239,8.679778,480,1956,1956-04-25,116,-1.42,29.7,89.0,175.6
Switzerland/Wädenswil,47.223239,8.679778,480,1957,1957-03-28,87,2.84,91.8,89.0,236.0
Switzerland/Wädenswil,47.223239,8.679778,480,1958,1958-04-24,114,0.74,16.2,88.0,351.0
Switzerland/Wädenswil,47.223239,8.679778,480,1959,1959-04-02,92,2.08,44.4,90.0,225.2
Switzerland/Wädenswil,47.223239,8.679778,480,1969,1969-04-28,118,0.81,10.1,90.0,197.1
Switzerland/Wädenswil,47.223239,8.679778,480,1970,1970-05-10,130,0.26,2.5,90.0,396.5
Switzerland/Wädenswil,47.223239,8.679778,480,1971,1971-04-22,112,-0.76,1.1,90.0,172.5
Switzerland/Wädenswil,47.223239,8.679778,480,1972,1972-04-07,98,3.47,52.0,90.0,109.9
Switzerland/Wädenswil,47.223239,8.679778,480,1973,1973-05-05,125,0.5,7.2,90.0,157.1
Switzerland/Wädenswil,47.223239,8.679778,480,1974,1974-04-02,92,4.02,75.9,90.0,195.4
Switzerland/Wädenswil,47.223239,8.679778,480,1975,1975-04-23,113,3.01,12.8,87.0,189.8
Switzerland/Wädenswil,47.223239,8.679778,480,1976,1976-04-16,107,1.91,20.0,90.0,176.1
Switzerland/Wädenswil,47.223239,8.679778,480,1977,1977-04-18,108,3.1,66.1,90.0,319.3
Switzerland/Wädenswil,47.223239,8.679778,480,1978,1978-04-25,115,1.51,21.3,90.0,338.3
Switzerland/Wädenswil,47.223239,8.679778,480,1979,1979-05-04,124,1.13,25.3,90.0,283.9
Switzerland/Wädenswil,47.223239,8.679778,480,1980,1980-05-02,123,2.15,21.8,87.0,245.1
Switzerland/Wädenswil,47.223239,8.679778,480,1981,1981-04-12,102,1.03,53.0,90.0,276.2
Switzerland/Wädenswil,47.223239,8.679778,480,1982,1982-05-02,122,1.91,8.9,90.0,268.2
Switzerland/Wädenswil,47.223239,8.679778,480,1983,1983-04-20,110,2.35,41.9,84.0,235.8
Switzerland/Wädenswil,47.223239,8.679778,480,1984,1984-04-26,117,1.05,9.4,88.0,243.6
Switzerland/Wädenswil,47.223239,8.679778,480,1985,1985-04-25,115,-0.63,8.8,90.0,200.4
Switzerland/Wädenswil,47.223239,8.679778,480,1986,1986-05-02,122,0.43,16.6,88.0,269.9
Switzerland/Wädenswil,47.223239,8.679778,480,1987,1987-04-24,114,-0.36,12.9,89.0,222.2
Switzerland/Wädenswil,47.223239,8.679778,480,1988,1988-04-24,115,2.88,18.4,87.0,415.5
Switzerland/Wädenswil,47.223239,8.679778,480,1989,1989-03-30,89,4.28,81.3,87.0,163.4
Switzerland/Wädenswil,47.223239,8.679778,480,1990,1990-03-21,80,4.55,113.6,82.0,248.6
Switzerland/Wädenswil,47.223239,8.679778,480,1991,1991-04-12,102,2.71,80.8,88.0,149.4
Switzerland/Wädenswil,47.223239,8.679778,480,1992,1992-04-22,113,2.71,41.9,89.0,208.3
Switzerland/Wädenswil,47.223239,8.679778,480,1993,1993-04-15,105,2.69,44.6,89.0,122.5
Switzerland/Wädenswil,47.223239,8.679778,480,1994,1994-03-30,89,4.45,106.5,85.0,243.0
Switzerland/Wädenswil,47.223239,8.679778,480,1995,1995-04-07,97,2.95,34.0,85.0,384.4
Switzerland/Wädenswil,47.223239,8.679778,480,1996,1996-04-21,112,1.71,29.2,89.0,121.4
Switzerland/Wädenswil,47.223239,8.679778,480,1997,1997-04-04,94,3.83,75.8,88.0,139.7
Switzerland/Wädenswil,47.223239,8.679778,480,1998,1998-04-18,108,3.65,63.9,86.0,175.0
Switzerland/Wädenswil,47.223239,8.679778,480,1999,1999-04-19,109,2.25,39.0,90.0,341.1
Switzerland/Wädenswil,47.223239,8.679778,480,2000,2000-04-20,111,3.17,39.6,90.0,253.2
Switzerland/Wädenswil,47.223239,8.679778,480,2001,2001-04-11,101,3.91,71.5,86.0,363.3
Switzerland/Wädenswil,47.223239,8.679778,480,2002,2002-04-02,92,3.93,86.6,86.0,194.2
Switzerland/Wädenswil,47.223239,8.679778,480,2003,2003-04-15,105,1.69,63.1,86.0,148.8
Switzerland/Wädenswil,47.223239,8.679778,480,2004,2004-04-16,107,2.27,45.2,88.0,258.6
Switzerland/Wädenswil,47.223239,8.679778,480,2005,2005-04-15,105,1.23,68.3,90.0,201.2
Switzerland/Wädenswil,47.223239,8.679778,480,2006,2006-04-24,114,0.75,23.9,90.0,264.5
Switzerland/Wädenswil,47.223239,8.679778,480,2007,2007-04-14,104,4.45,73.8,79.0,266.5
Switzerland/Wädenswil,47.223239,8.679778,480,2008,2008-04-17,108,3.53,48.1,86.0,218.0
Switzerland/Wädenswil,47.223239,8.679778,480,2009,2009-04-14,104,1.14,7.1,90.0,240.3
Switzerland/Wädenswil,47.223239,8.679778,480,2010,2010-04-16,106,1.05,42.8,90.0,160.7
Switzerland/Wädenswil,47.223239,8.679778,480,2011,2011-04-09,99,3.01,56.3,90.0,134.2
Switzerland/Wädenswil,47.223239,8.679778,480,2012,2012-04-08,99,1.94,77.8,89.0,174.2
Switzerland/Wädenswil,47.223239,8.679778,480,2013,2013-05-03,123,1.03,10.1,88.0,221.2
Switzerland/Wädenswil,47.223239,8.679778,480,2014,2014-04-07,97,4.47,74.4,90.0,188.5
Switzerland/Wädenswil,47.223239,8.679778,480,2015,2015-04-17,107,2.85,54.3,87.0,241.4
Switzerland/Wädenswil,47.223239,8.679778,480,2016,2016-04-09,100,3.55,43.9,85.0,355.3
Switzerland/Wädenswil,47.223239,8.679778,480,2017,2017-04-03,93,3.0,120.5,86.0,236.9
Switzerland/Wädenswil,47.223239,8.679778,480,2019,2019-04-18,108,3.78,81.8,77.0,226.4
Switzerland/Wädenswil,47.223239,8.679778,480,2020,2020-04-05,96,4.82,99.4,77.0,220.3
Switzerland/Wädenswil,47.223239,8.679778,480,2021,2021-04-14,104,3.53,94.3,80.0,315.3
Switzerland/Wädenswil,47.223239,8.679778,480,2022,2022-04-01,91,4.39,107.2,83.0,162.9
Switzerland/Wädenswil,47.223239,8.679778,480,2023,2023-04-12,102,4.6,120.4,76.0,288.5
