location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zweisimmen,46.555264,7.373433,965,1958,1958-05-10,130,-2.2,1.0,90.0,487.2
Switzerland/Zweisimmen,46.555264,7.373433,965,1970,1970-05-18,138,-2.0,0.0,90.0,558.2
Switzerland/Zweisimmen,46.555264,7.373433,965,1971,1971-05-01,121,-3.51,0.0,90.0,233.4
Switzerland/Zweisimmen,46.555264,7.373433,965,1972,1972-05-05,126,0.14,0.5,90.0,175.1
Switzerland/Zweisimmen,46.555264,7.373433,965,1973,1973-05-12,132,-2.3,0.0,90.0,224.7
Switzerland/Zweisimmen,46.555264,7.373433,965,1974,1974-04-30,120,0.82,12.2,90.0,249.2
Switzerland/Zweisimmen,46.555264,7.373433,965,1975,1975-05-16,136,-0.33,0.0,90.0,251.7
Switzerland/Zweisimmen,46.555264,7.373433,965,1976,1976-05-17,138,-1.01,1.5,90.0,177.3
Switzerland/Zweisimmen,46.555264,7.373433,965,1977,1977-05-14,134,0.31,9.2,90.0,417.7
Switzerland/Zweisimmen,46.555264,7.373433,965,1978,1978-05-18,138,-0.74,3.2,90.0,478.4
Switzerland/Zweisimmen,46.555264,7.373433,965,1979,1979-05-28,148,-1.55,0.1,90.0,402.3
Switzerland/Zweisimmen,46.555264,7.373433,965,1980,1980-06-02,154,-0.74,1.4,90.0,347.3
Switzerland/Zweisimmen,46.555264,7.373433,965,1981,1981-05-08,128,-1.97,19.8,90.0,404.3
Switzerland/Zweisimmen,46.555264,7.373433,965,1982,1982-05-15,135,-0.56,0.0,90.0,330.5
Switzerland/Zweisimmen,46.555264,7.373433,965,1983,1983-05-22,142,-1.21,2.3,90.0,332.2
Switzerland/Zweisimmen,46.555264,7.373433,965,1984,1984-06-04,156,-2.35,0.0,90.0,367.5
Switzerland/Zweisimmen,46.555264,7.373433,965,1985,1985-06-08,159,-3.23,0.0,90.0,318.3
Switzerland/Zweisimmen,46.555264,7.373433,965,1986,1986-05-28,148,-2.43,1.4,90.0,377.5
Switzerland/Zweisimmen,46.555264,7.373433,965,1987,1987-06-10,161,-3.01,0.0,90.0,316.0
Switzerland/Zweisimmen,46.555264,7.373433,965,1988,1988-05-19,140,-0.59,2.9,90.0,534.0
Switzerland/Zweisimmen,46.555264,7.373433,965,1989,1989-05-17,137,0.16,14.1,90.0,207.4
Switzerland/Zweisimmen,46.555264,7.373433,965,1990,1990-05-02,122,1.07,27.3,90.0,328.7
Switzerland/Zweisimmen,46.555264,7.373433,965,1991,1991-05-08,128,-0.71,7.8,90.0,244.8
Switzerland/Zweisimmen,46.555264,7.373433,965,1992,1992-04-24,115,-0.96,2.9,90.0,265.9
Switzerland/Zweisimmen,46.555264,7.373433,965,1993,1993-04-28,118,-0.81,8.6,90.0,143.5
