location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1952,1952-04-15,106,0.13,19.1,90.0,341.4
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1953,1953-04-24,114,-0.75,29.8,90.0,147.3
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1954,1954-05-01,121,-0.23,29.9,89.0,220.1
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1955,1955-05-02,122,0.49,32.0,88.0,370.3
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1956,1956-05-02,123,-1.65,30.0,88.0,207.6
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1957,1957-03-30,89,2.64,91.2,89.0,261.9
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1958,1958-05-05,125,0.43,19.8,87.0,401.1
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1959,1959-04-10,100,1.71,45.9,90.0,259.9
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1960,1960-04-15,106,1.77,47.1,89.0,242.0
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1961,1961-04-08,98,2.81,57.9,88.0,267.0
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1969,1969-05-05,125,0.47,12.0,90.0,220.7
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1970,1970-05-07,127,-0.29,3.3,90.0,468.0
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1971,1971-04-21,111,-0.89,0.8,90.0,226.2
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1972,1972-04-06,97,3.06,52.6,90.0,140.3
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1973,1973-05-04,124,0.31,12.2,90.0,254.4
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1974,1974-04-01,91,3.83,81.8,89.0,244.5
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1975,1975-05-04,124,2.76,13.5,87.0,241.7
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1976,1976-04-19,110,1.65,19.3,90.0,197.6
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1977,1977-04-05,95,2.85,70.5,90.0,347.7
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1978,1978-04-28,118,1.08,22.5,90.0,413.9
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1979,1979-05-07,127,0.81,24.1,90.0,325.1
