location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1966,1966-04-18,108,0.52,6.0,90.0,345.2
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1967,1967-04-17,107,0.78,9.9,90.0,328.1
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1968,1968-04-18,109,0.11,17.4,90.0,393.1
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1969,1969-04-28,118,-0.38,2.5,90.0,220.7
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1970,1970-05-07,127,-0.82,0.0,90.0,468.0
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1971,1971-04-19,109,-2.15,0.0,90.0,226.2
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1972,1972-04-07,98,2.34,31.6,90.0,140.3
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1973,1973-05-04,124,-0.79,1.1,90.0,254.4
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1974,1974-04-03,93,2.86,54.7,90.0,244.5
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1975,1975-04-23,113,1.77,3.0,88.0,241.7
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1976,1976-04-16,107,0.67,8.0,90.0,197.6
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1977,1977-03-28,87,2.03,42.0,90.0,347.7
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1978,1978-04-27,117,0.28,11.5,90.0,413.9
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1979,1979-04-30,120,-0.09,12.3,90.0,325.1
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1980,1980-04-29,120,0.95,10.7,88.0,287.0
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1981,1981-04-13,103,-0.22,33.7,90.0,367.6
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1982,1982-04-28,118,0.75,3.9,90.0,309.4
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1983,1983-04-19,109,1.19,19.1,86.0,317.2
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1984,1984-04-26,117,-0.12,3.3,89.0,296.7
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1985,1985-04-23,113,-1.81,2.5,90.0,263.8
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1986,1986-05-04,124,-0.69,5.0,90.0,326.7
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1987,1987-04-27,117,-1.55,4.6,90.0,299.9
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1988,1988-04-25,116,1.7,7.3,89.0,497.2
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1989,1989-03-31,90,2.93,51.1,89.0,193.4
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1990,1990-03-22,81,3.28,74.9,87.0,284.9
Switzerland/Zürich-Witikon,47.3591,8.590272,620,1991,1991-04-10,100,1.43,43.2,90.0,184.2
