location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Boeun,36.48759,127.73412,174.99,1980,1980-04-21,112,-0.62,17.8,88.0,102.2
South Korea/Boeun,36.48759,127.73412,174.99,1981,1981-04-18,108,-1.53,55.3,90.0,106.9
South Korea/Boeun,36.48759,127.73412,174.99,1982,1982-04-15,105,0.99,48.1,,89.8
South Korea/Boeun,36.48759,127.73412,174.99,1983,1983-04-16,106,0.67,44.1,90.0,138.6
South Korea/Boeun,36.48759,127.73412,174.99,1984,1984-04-23,114,,,90.0,
South Korea/Boeun,36.48759,127.73412,174.99,1985,1985-04-02,92,-0.66,24.8,88.0,118.1
South Korea/Boeun,36.48759,127.73412,174.99,1986,1986-04-23,113,-1.04,22.7,90.0,93.0
South Korea/Boeun,36.48759,127.73412,174.99,1987,1987-04-02,92,0.58,28.8,,195.4
South Korea/Boeun,36.48759,127.73412,174.99,1988,1988-04-22,113,,,87.0,
South Korea/Boeun,36.48759,127.73412,174.99,1989,1989-04-13,103,2.58,51.8,89.0,259.5
South Korea/Boeun,36.48759,127.73412,174.99,1990,1990-04-13,103,1.68,58.0,86.0,206.2
South Korea/Boeun,36.48759,127.73412,174.99,1991,1991-04-17,107,0.39,30.5,87.0,172.0
South Korea/Boeun,36.48759,127.73412,174.99,1992,1992-04-12,103,2.02,70.9,,91.3
South Korea/Boeun,36.48759,127.73412,174.99,1993,1993-04-22,112,1.19,31.4,87.0,114.6
South Korea/Boeun,36.48759,127.73412,174.99,1994,1994-04-17,107,0.68,15.5,,80.0
