location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Buan,35.72954,126.71655,11.96,1980,1980-04-22,113,1.92,42.9,,151.1
South Korea/Buan,35.72954,126.71655,11.96,1981,1981-04-02,92,,,,
South Korea/Buan,35.72954,126.71655,11.96,1984,1984-04-02,93,0.61,16.5,,69.1
South Korea/Buan,35.72954,126.71655,11.96,1985,1985-04-16,106,,,,
South Korea/Buan,35.72954,126.71655,11.96,1986,1986-04-18,108,1.32,25.1,88.0,128.0
South Korea/Buan,35.72954,126.71655,11.96,1987,1987-04-12,102,2.88,48.7,77.0,187.9
South Korea/Buan,35.72954,126.71655,11.96,1988,1988-04-16,107,2.52,33.9,86.0,100.5
South Korea/Buan,35.72954,126.71655,11.96,1989,1989-04-12,102,,,78.0,
South Korea/Buan,35.72954,126.71655,11.96,1990,1990-04-11,101,3.85,97.8,80.0,229.6
South Korea/Buan,35.72954,126.71655,11.96,1991,1991-04-22,112,,,83.0,
South Korea/Buan,35.72954,126.71655,11.96,1992,1992-04-11,102,4.05,86.0,81.0,97.2
South Korea/Buan,35.72954,126.71655,11.96,1993,1993-04-12,102,3.15,47.1,,123.5
South Korea/Buan,35.72954,126.71655,11.96,1994,1994-04-15,105,2.67,28.0,89.0,84.7
