location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Busan,35.10468,129.03203,69.56,1980,1980-04-09,100,3.85,119.2,69.0,115.3
South Korea/Busan,35.10468,129.03203,69.56,1981,1981-04-07,97,,,82.0,
South Korea/Busan,35.10468,129.03203,69.56,1982,1982-03-26,85,,,79.0,
South Korea/Busan,35.10468,129.03203,69.56,1983,1983-04-07,97,,,73.0,
South Korea/Busan,35.10468,129.03203,69.56,1984,1984-04-14,105,2.36,51.6,83.0,40.7
South Korea/Busan,35.10468,129.03203,69.56,1985,1985-04-09,99,3.94,98.3,73.0,194.5
South Korea/Busan,35.10468,129.03203,69.56,1986,1986-04-08,98,,,,
South Korea/Busan,35.10468,129.03203,69.56,1987,1987-04-07,97,4.81,131.7,,179.2
South Korea/Busan,35.10468,129.03203,69.56,1988,1988-04-01,92,,,74.0,
South Korea/Busan,35.10468,129.03203,69.56,1989,1989-04-03,93,6.44,201.1,,349.9
South Korea/Busan,35.10468,129.03203,69.56,1990,1990-03-26,85,6.07,208.0,57.0,246.9
South Korea/Busan,35.10468,129.03203,69.56,1991,1991-04-09,99,4.67,118.5,72.0,220.5
South Korea/Busan,35.10468,129.03203,69.56,1992,1992-03-31,91,5.64,156.4,64.0,158.9
South Korea/Busan,35.10468,129.03203,69.56,1993,1993-04-04,94,5.02,132.5,67.0,203.4
South Korea/Busan,35.10468,129.03203,69.56,1994,1994-04-05,95,4.5,85.7,78.0,128.1
South Korea/Busan,35.10468,129.03203,69.56,2016,2016-04-05,96,5.09,167.0,64.0,178.5
South Korea/Busan,35.10468,129.03203,69.56,2017,2017-04-01,91,4.23,108.2,72.0,98.0
South Korea/Busan,35.10468,129.03203,69.56,2018,2018-03-03,62,3.31,111.3,87.0,273.0
South Korea/Busan,35.10468,129.03203,69.56,2019,2019-03-28,87,4.95,143.6,76.0,123.8
South Korea/Busan,35.10468,129.03203,69.56,2020,2020-03-28,88,6.17,201.2,67.0,295.9
