location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Buyeo,36.27242,126.92079,11.79,1980,1980-04-14,105,0.5,31.1,,102.6
South Korea/Buyeo,36.27242,126.92079,11.79,1982,1982-04-13,103,1.84,55.7,,97.5
South Korea/Buyeo,36.27242,126.92079,11.79,1983,1983-04-14,104,1.79,58.7,89.0,123.9
South Korea/Buyeo,36.27242,126.92079,11.79,1984,1984-04-19,110,-0.69,15.1,88.0,56.2
South Korea/Buyeo,36.27242,126.92079,11.79,1985,1985-04-16,106,0.15,29.3,,130.6
South Korea/Buyeo,36.27242,126.92079,11.79,1986,1986-04-17,107,0.16,30.3,90.0,94.9
South Korea/Buyeo,36.27242,126.92079,11.79,1987,1987-04-13,103,1.7,37.1,85.0,172.7
South Korea/Buyeo,36.27242,126.92079,11.79,1988,1988-04-16,107,,,,
South Korea/Buyeo,36.27242,126.92079,11.79,1989,1989-04-11,101,3.33,70.2,,239.1
South Korea/Buyeo,36.27242,126.92079,11.79,1990,1990-04-01,91,2.76,78.7,84.0,205.3
South Korea/Buyeo,36.27242,126.92079,11.79,1991,1991-04-16,106,1.53,35.5,,159.4
South Korea/Buyeo,36.27242,126.92079,11.79,1992,1992-04-08,99,,,84.0,
South Korea/Buyeo,36.27242,126.92079,11.79,1993,1993-04-19,109,,,86.0,
South Korea/Buyeo,36.27242,126.92079,11.79,1994,1994-04-13,103,1.72,22.1,90.0,82.5
South Korea/Buyeo,36.27242,126.92079,11.79,2000,2000-04-19,110,,,,
South Korea/Buyeo,36.27242,126.92079,11.79,2001,2001-04-15,105,1.0,43.3,90.0,155.4
South Korea/Buyeo,36.27242,126.92079,11.79,2002,2002-04-07,97,3.75,106.7,86.0,129.4
South Korea/Buyeo,36.27242,126.92079,11.79,2003,2003-04-05,95,,,88.0,
South Korea/Buyeo,36.27242,126.92079,11.79,2004,2004-04-08,99,,,,
