location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Cheongju,36.63924,127.44066,58.7,1980,1980-04-17,108,-0.35,22.3,88.0,86.5
South Korea/Cheongju,36.63924,127.44066,58.7,1981,1981-04-13,103,-1.19,59.4,90.0,91.1
South Korea/Cheongju,36.63924,127.44066,58.7,1982,1982-04-09,99,1.32,52.9,90.0,87.9
South Korea/Cheongju,36.63924,127.44066,58.7,1983,1983-04-12,102,1.04,51.4,90.0,124.7
South Korea/Cheongju,36.63924,127.44066,58.7,1984,1984-04-24,115,,,90.0,
South Korea/Cheongju,36.63924,127.44066,58.7,1985,1985-04-16,106,-0.45,27.1,88.0,115.5
South Korea/Cheongju,36.63924,127.44066,58.7,1986,1986-04-15,105,-0.82,27.8,90.0,72.0
South Korea/Cheongju,36.63924,127.44066,58.7,1987,1987-04-18,108,0.87,31.5,86.0,156.8
South Korea/Cheongju,36.63924,127.44066,58.7,1988,1988-04-17,108,0.6,22.5,88.0,54.5
South Korea/Cheongju,36.63924,127.44066,58.7,1989,1989-04-01,91,2.94,62.1,,227.2
South Korea/Cheongju,36.63924,127.44066,58.7,1990,1990-04-01,91,1.95,64.2,86.0,214.2
South Korea/Cheongju,36.63924,127.44066,58.7,1991,1991-04-14,104,0.64,32.0,86.0,145.0
South Korea/Cheongju,36.63924,127.44066,58.7,1992,1992-04-05,96,,,,
South Korea/Cheongju,36.63924,127.44066,58.7,1993,1993-04-17,107,,,87.0,
South Korea/Cheongju,36.63924,127.44066,58.7,1994,1994-04-09,99,1.02,19.0,,83.8
South Korea/Cheongju,36.63924,127.44066,58.7,2015,2015-04-04,94,2.0,62.1,90.0,82.1
South Korea/Cheongju,36.63924,127.44066,58.7,2016,2016-04-03,94,1.84,89.0,87.0,69.5
South Korea/Cheongju,36.63924,127.44066,58.7,2017,2017-04-07,97,1.49,48.5,85.0,67.6
South Korea/Cheongju,36.63924,127.44066,58.7,2018,2018-04-03,93,0.74,82.2,90.0,152.2
South Korea/Cheongju,36.63924,127.44066,58.7,2019,2019-04-06,96,1.75,46.3,88.0,53.2
South Korea/Cheongju,36.63924,127.44066,58.7,2020,2020-03-29,89,3.31,88.6,86.0,167.6
