location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Chuncheon,37.90256,127.7357,76.47,1980,1980-04-25,116,-2.29,20.5,,59.5
South Korea/Chuncheon,37.90256,127.7357,76.47,1981,1981-04-11,101,-3.19,48.8,90.0,93.2
South Korea/Chuncheon,37.90256,127.7357,76.47,1982,1982-04-24,114,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1983,1983-04-17,107,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1984,1984-04-25,116,-4.85,5.5,90.0,63.9
South Korea/Chuncheon,37.90256,127.7357,76.47,1985,1985-04-21,111,-2.62,22.7,90.0,109.3
South Korea/Chuncheon,37.90256,127.7357,76.47,1986,1986-04-17,107,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1987,1987-04-18,108,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1988,1988-04-21,112,-0.62,14.8,90.0,53.4
South Korea/Chuncheon,37.90256,127.7357,76.47,1989,1989-04-14,104,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1990,1990-04-12,102,,,,
South Korea/Chuncheon,37.90256,127.7357,76.47,1991,1991-04-18,108,-1.19,20.1,,119.5
South Korea/Chuncheon,37.90256,127.7357,76.47,1992,1992-04-09,100,,,89.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,1993,1993-04-02,92,0.29,25.3,88.0,101.8
South Korea/Chuncheon,37.90256,127.7357,76.47,1994,1994-04-11,101,0.25,8.7,,53.3
South Korea/Chuncheon,37.90256,127.7357,76.47,2011,2011-04-02,92,-2.08,14.5,89.0,57.6
South Korea/Chuncheon,37.90256,127.7357,76.47,2012,2012-04-18,109,,,,
South Korea/Chuncheon,37.90256,127.7357,76.47,2014,2014-04-04,94,2.06,90.0,89.0,60.5
South Korea/Chuncheon,37.90256,127.7357,76.47,2015,2015-04-01,91,,,90.0,
South Korea/Chuncheon,37.90256,127.7357,76.47,2016,2016-04-07,98,0.84,65.1,,85.6
