location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Chungju,36.97038,127.95266,116.3,1980,1980-04-19,110,-1.65,18.8,89.0,79.8
South Korea/Chungju,36.97038,127.95266,116.3,1981,1981-04-17,107,,,,
South Korea/Chungju,36.97038,127.95266,116.3,1982,1982-04-15,105,0.55,41.0,90.0,86.7
South Korea/Chungju,36.97038,127.95266,116.3,1983,1983-04-19,109,-0.04,39.6,90.0,117.8
South Korea/Chungju,36.97038,127.95266,116.3,1984,1984-04-25,116,-3.16,8.9,90.0,50.8
South Korea/Chungju,36.97038,127.95266,116.3,1985,1985-04-17,107,,,,
South Korea/Chungju,36.97038,127.95266,116.3,1986,1986-04-02,92,-2.7,24.0,90.0,77.6
South Korea/Chungju,36.97038,127.95266,116.3,1987,1987-04-21,111,,,88.0,
South Korea/Chungju,36.97038,127.95266,116.3,1988,1988-04-22,113,-0.32,14.0,89.0,59.6
South Korea/Chungju,36.97038,127.95266,116.3,1989,1989-04-07,97,1.79,39.3,90.0,226.9
South Korea/Chungju,36.97038,127.95266,116.3,1990,1990-04-13,103,1.06,46.7,90.0,200.9
South Korea/Chungju,36.97038,127.95266,116.3,1991,1991-04-14,104,,,87.0,
South Korea/Chungju,36.97038,127.95266,116.3,1992,1992-04-06,97,1.21,65.9,88.0,83.0
South Korea/Chungju,36.97038,127.95266,116.3,1993,1993-04-18,108,,,87.0,
South Korea/Chungju,36.97038,127.95266,116.3,1994,1994-04-12,102,0.28,10.5,,79.8
South Korea/Chungju,36.97038,127.95266,116.3,2015,2015-04-01,91,1.57,61.6,90.0,91.7
