location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1980,1980-04-02,93,-0.86,17.3,,110.8
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1981,1981-04-15,105,-1.74,50.0,90.0,92.3
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1982,1982-04-14,104,0.86,44.1,90.0,83.3
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1983,1983-04-14,104,,,90.0,
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1984,1984-04-23,114,-2.0,10.9,,50.9
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1985,1985-04-02,92,-0.61,20.9,88.0,115.5
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1986,1986-04-18,108,-1.25,17.7,90.0,95.5
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1987,1987-04-18,108,,,88.0,
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1988,1988-04-19,110,0.09,12.9,,86.3
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1989,1989-04-01,91,2.26,39.2,,276.0
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1990,1990-04-13,103,1.55,51.7,87.0,201.8
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1991,1991-04-19,109,0.22,26.0,88.0,167.3
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1992,1992-04-06,97,1.58,64.2,,98.1
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1993,1993-04-17,107,1.0,28.5,87.0,124.2
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1994,1994-04-12,102,0.7,13.6,90.0,75.7
South Korea/Chupungnyeong,36.22023,127.99457,243.7,2015,2015-04-17,107,1.85,61.8,90.0,99.5
