location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Daegu,35.87797,128.65295,53.5,1980,1980-04-11,102,1.43,49.7,86.0,101.5
South Korea/Daegu,35.87797,128.65295,53.5,1981,1981-04-09,99,-0.02,74.3,90.0,90.3
South Korea/Daegu,35.87797,128.65295,53.5,1982,1982-03-31,90,,,90.0,
South Korea/Daegu,35.87797,128.65295,53.5,1983,1983-04-07,97,2.2,53.3,90.0,139.4
South Korea/Daegu,35.87797,128.65295,53.5,1984,1984-04-14,105,0.04,22.8,90.0,31.8
South Korea/Daegu,35.87797,128.65295,53.5,1985,1985-04-09,99,1.32,36.2,88.0,137.0
South Korea/Daegu,35.87797,128.65295,53.5,1986,1986-04-01,91,,,,
South Korea/Daegu,35.87797,128.65295,53.5,1987,1987-04-05,95,2.13,48.7,86.0,168.4
South Korea/Daegu,35.87797,128.65295,53.5,1988,1988-04-12,103,1.77,33.0,87.0,109.9
South Korea/Daegu,35.87797,128.65295,53.5,1989,1989-04-03,93,4.02,88.5,83.0,311.7
South Korea/Daegu,35.87797,128.65295,53.5,1990,1990-03-03,62,3.25,93.1,85.0,167.5
South Korea/Daegu,35.87797,128.65295,53.5,1991,1991-04-09,99,2.14,45.5,87.0,167.9
South Korea/Daegu,35.87797,128.65295,53.5,1992,1992-04-03,94,,,,
South Korea/Daegu,35.87797,128.65295,53.5,1993,1993-04-04,94,2.51,65.9,84.0,144.7
South Korea/Daegu,35.87797,128.65295,53.5,1994,1994-04-06,96,2.09,31.2,89.0,77.3
South Korea/Daegu,35.87797,128.65295,53.5,1995,1995-04-08,98,3.11,81.8,,83.5
South Korea/Daegu,35.87797,128.65295,53.5,2015,2015-04-01,91,3.49,106.1,,81.3
South Korea/Daegu,35.87797,128.65295,53.5,2016,2016-03-31,91,3.01,117.5,,91.0
South Korea/Daegu,35.87797,128.65295,53.5,2017,2017-04-02,92,3.16,84.1,85.0,60.6
South Korea/Daegu,35.87797,128.65295,53.5,2018,2018-03-29,88,2.31,107.5,90.0,198.2
South Korea/Daegu,35.87797,128.65295,53.5,2019,2019-03-26,85,3.94,118.9,85.0,68.3
South Korea/Daegu,35.87797,128.65295,53.5,2020,2020-03-27,87,4.93,146.4,78.0,160.4
