location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Daejeon,36.372,127.37212,68.9,1980,1980-04-12,103,0.02,25.6,88.0,108.5
South Korea/Daejeon,36.372,127.37212,68.9,1981,1981-04-13,103,-0.76,62.0,90.0,95.1
South Korea/Daejeon,36.372,127.37212,68.9,1982,1982-04-06,96,,,,
South Korea/Daejeon,36.372,127.37212,68.9,1983,1983-04-08,98,,,,
South Korea/Daejeon,36.372,127.37212,68.9,1984,1984-04-16,107,-1.22,13.7,90.0,54.5
South Korea/Daejeon,36.372,127.37212,68.9,1985,1985-04-11,101,-0.06,29.9,88.0,126.9
South Korea/Daejeon,36.372,127.37212,68.9,1986,1986-04-12,102,-0.38,29.0,,98.0
South Korea/Daejeon,36.372,127.37212,68.9,1987,1987-04-09,99,1.22,36.1,86.0,191.1
South Korea/Daejeon,36.372,127.37212,68.9,1988,1988-04-13,104,0.9,24.8,,80.2
South Korea/Daejeon,36.372,127.37212,68.9,1989,1989-04-05,95,3.17,66.4,86.0,248.3
South Korea/Daejeon,36.372,127.37212,68.9,1990,1990-04-05,95,2.25,71.1,,202.9
South Korea/Daejeon,36.372,127.37212,68.9,1991,1991-04-11,101,1.05,36.2,,168.5
South Korea/Daejeon,36.372,127.37212,68.9,1992,1992-04-02,93,2.69,84.2,88.0,88.9
South Korea/Daejeon,36.372,127.37212,68.9,1993,1993-04-05,95,1.73,36.8,87.0,110.9
South Korea/Daejeon,36.372,127.37212,68.9,1994,1994-04-07,97,1.27,21.1,90.0,85.4
South Korea/Daejeon,36.372,127.37212,68.9,1995,1995-04-14,104,2.05,61.4,86.0,83.8
South Korea/Daejeon,36.372,127.37212,68.9,2015,2015-04-01,91,2.28,67.4,90.0,99.2
South Korea/Daejeon,36.372,127.37212,68.9,2016,2016-04-02,93,2.14,94.5,,71.6
South Korea/Daejeon,36.372,127.37212,68.9,2017,2017-04-06,96,1.81,52.8,85.0,59.8
South Korea/Daejeon,36.372,127.37212,68.9,2018,2018-04-02,92,1.07,90.0,90.0,154.6
South Korea/Daejeon,36.372,127.37212,68.9,2019,2019-04-06,96,2.07,53.8,88.0,55.0
South Korea/Daejeon,36.372,127.37212,68.9,2020,2020-03-29,89,3.66,98.6,86.0,181.5
