location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Ganghwa,37.70739,126.44634,47.84,1980,1980-04-02,93,-0.77,12.1,,55.1
South Korea/Ganghwa,37.70739,126.44634,47.84,1981,1981-04-29,119,-1.86,24.5,90.0,68.3
South Korea/Ganghwa,37.70739,126.44634,47.84,1982,1982-04-26,116,0.22,22.6,,56.6
South Korea/Ganghwa,37.70739,126.44634,47.84,1983,1983-04-27,117,0.28,31.9,,69.8
South Korea/Ganghwa,37.70739,126.44634,47.84,1984,1984-04-26,117,-2.88,5.9,88.0,55.9
South Korea/Ganghwa,37.70739,126.44634,47.84,1985,1985-04-24,114,,,88.0,
South Korea/Ganghwa,37.70739,126.44634,47.84,1986,1986-04-28,118,-2.27,10.6,90.0,61.4
South Korea/Ganghwa,37.70739,126.44634,47.84,1987,1987-04-28,118,-0.28,8.7,90.0,111.0
South Korea/Ganghwa,37.70739,126.44634,47.84,1988,1988-04-26,117,-0.11,11.7,87.0,38.2
South Korea/Ganghwa,37.70739,126.44634,47.84,1989,1989-04-24,114,,,87.0,
South Korea/Ganghwa,37.70739,126.44634,47.84,1990,1990-04-24,114,1.04,35.4,88.0,188.7
South Korea/Ganghwa,37.70739,126.44634,47.84,1991,1991-04-22,112,-0.32,17.5,84.0,108.4
South Korea/Ganghwa,37.70739,126.44634,47.84,1992,1992-04-07,98,,,,
South Korea/Ganghwa,37.70739,126.44634,47.84,1993,1993-04-13,103,0.94,18.5,87.0,72.9
South Korea/Ganghwa,37.70739,126.44634,47.84,1994,1994-04-18,108,0.38,9.1,,47.8
