location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Gangneung,37.75147,128.89098,26.04,1980,1980-04-17,108,-0.3,27.7,87.0,118.8
South Korea/Gangneung,37.75147,128.89098,26.04,1981,1981-04-14,104,-0.44,26.4,90.0,120.8
South Korea/Gangneung,37.75147,128.89098,26.04,1982,1982-04-12,102,0.82,34.4,90.0,136.1
South Korea/Gangneung,37.75147,128.89098,26.04,1983,1983-04-16,106,0.67,23.6,90.0,171.4
South Korea/Gangneung,37.75147,128.89098,26.04,1984,1984-05-01,122,-2.12,6.5,,78.6
South Korea/Gangneung,37.75147,128.89098,26.04,1985,1985-04-22,112,,,84.0,
South Korea/Gangneung,37.75147,128.89098,26.04,1986,1986-04-14,104,,,90.0,
South Korea/Gangneung,37.75147,128.89098,26.04,1987,1987-04-15,105,0.6,18.9,86.0,209.2
South Korea/Gangneung,37.75147,128.89098,26.04,1988,1988-04-17,108,0.85,14.6,87.0,113.2
South Korea/Gangneung,37.75147,128.89098,26.04,1989,1989-04-09,99,3.49,60.3,85.0,369.8
South Korea/Gangneung,37.75147,128.89098,26.04,1990,1990-04-07,97,,,86.0,
South Korea/Gangneung,37.75147,128.89098,26.04,1991,1991-04-15,105,0.27,16.3,,144.4
South Korea/Gangneung,37.75147,128.89098,26.04,1992,1992-04-05,96,1.85,48.0,82.0,158.0
South Korea/Gangneung,37.75147,128.89098,26.04,1993,1993-04-08,98,1.48,28.8,84.0,230.3
South Korea/Gangneung,37.75147,128.89098,26.04,1994,1994-04-11,101,0.6,13.2,,124.7
