location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Geoje,34.88818,128.60453,45.4,1980,1980-04-01,92,4.8,151.1,,143.6
South Korea/Geoje,34.88818,128.60453,45.4,1981,1981-04-11,101,4.4,123.6,80.0,112.6
South Korea/Geoje,34.88818,128.60453,45.4,1982,1982-04-05,95,5.62,190.5,70.0,174.7
South Korea/Geoje,34.88818,128.60453,45.4,1983,1983-04-08,98,5.28,142.2,,191.7
South Korea/Geoje,34.88818,128.60453,45.4,1984,1984-04-15,106,3.29,66.7,,41.9
South Korea/Geoje,34.88818,128.60453,45.4,1985,1985-04-09,99,4.84,126.7,69.0,214.6
South Korea/Geoje,34.88818,128.60453,45.4,1986,1986-04-01,91,4.01,101.3,84.0,125.6
South Korea/Geoje,34.88818,128.60453,45.4,1987,1987-04-05,95,5.63,168.6,,197.0
South Korea/Geoje,34.88818,128.60453,45.4,1989,1989-03-27,86,7.22,248.3,53.0,349.3
South Korea/Geoje,34.88818,128.60453,45.4,1990,1990-03-28,87,6.85,251.1,52.0,260.6
South Korea/Geoje,34.88818,128.60453,45.4,1991,1991-04-14,104,5.49,150.4,65.0,245.9
South Korea/Geoje,34.88818,128.60453,45.4,1992,1992-04-06,97,,,58.0,
South Korea/Geoje,34.88818,128.60453,45.4,1993,1993-04-05,95,5.76,165.9,60.0,211.9
South Korea/Geoje,34.88818,128.60453,45.4,1994,1994-04-17,107,,,73.0,
