location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Geumsan,36.1027,127.4817,170.34,1980,1980-04-17,108,,,88.0,
South Korea/Geumsan,36.1027,127.4817,170.34,1981,1981-04-15,105,,,90.0,
South Korea/Geumsan,36.1027,127.4817,170.34,1982,1982-04-13,103,0.85,48.8,90.0,89.7
South Korea/Geumsan,36.1027,127.4817,170.34,1983,1983-04-14,104,0.44,42.6,90.0,134.6
South Korea/Geumsan,36.1027,127.4817,170.34,1984,1984-04-02,93,,,90.0,
South Korea/Geumsan,36.1027,127.4817,170.34,1985,1985-04-18,108,-0.88,26.1,88.0,126.9
South Korea/Geumsan,36.1027,127.4817,170.34,1986,1986-04-16,106,-1.19,22.9,,98.0
South Korea/Geumsan,36.1027,127.4817,170.34,1987,1987-04-12,102,0.55,31.8,88.0,191.1
South Korea/Geumsan,36.1027,127.4817,170.34,1988,1988-04-18,109,0.23,17.7,,80.2
South Korea/Geumsan,36.1027,127.4817,170.34,1989,1989-04-09,99,2.35,46.0,88.0,248.3
South Korea/Geumsan,36.1027,127.4817,170.34,1990,1990-04-01,91,,,,
South Korea/Geumsan,36.1027,127.4817,170.34,1991,1991-04-15,105,0.26,32.6,86.0,168.5
South Korea/Geumsan,36.1027,127.4817,170.34,1992,1992-04-06,97,1.9,71.3,87.0,88.9
South Korea/Geumsan,36.1027,127.4817,170.34,1993,1993-04-19,109,1.07,31.2,,110.9
South Korea/Geumsan,36.1027,127.4817,170.34,1994,1994-04-01,91,0.63,15.0,90.0,85.4
