location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Goheung,34.61826,127.27572,51.91,1980,1980-04-21,112,,,73.0,
South Korea/Goheung,34.61826,127.27572,51.91,1981,1981-04-19,109,3.41,97.6,85.0,121.8
South Korea/Goheung,34.61826,127.27572,51.91,1982,1982-04-15,105,,,83.0,
South Korea/Goheung,34.61826,127.27572,51.91,1983,1983-04-16,106,4.16,101.0,76.0,166.4
South Korea/Goheung,34.61826,127.27572,51.91,1984,1984-04-19,110,,,83.0,
South Korea/Goheung,34.61826,127.27572,51.91,1985,1985-04-12,102,3.5,78.7,,218.9
South Korea/Goheung,34.61826,127.27572,51.91,1986,1986-04-01,91,2.93,67.4,85.0,112.1
South Korea/Goheung,34.61826,127.27572,51.91,1987,1987-04-09,99,4.48,108.7,69.0,199.2
South Korea/Goheung,34.61826,127.27572,51.91,1988,1988-04-14,105,,,,
South Korea/Goheung,34.61826,127.27572,51.91,1989,1989-04-04,94,5.8,170.5,69.0,319.0
South Korea/Goheung,34.61826,127.27572,51.91,1990,1990-03-31,90,5.54,179.6,,279.7
South Korea/Goheung,34.61826,127.27572,51.91,1991,1991-04-13,103,4.53,105.7,76.0,259.8
South Korea/Goheung,34.61826,127.27572,51.91,1992,1992-03-31,91,5.41,145.0,71.0,152.7
South Korea/Goheung,34.61826,127.27572,51.91,1993,1993-04-01,91,4.55,110.7,69.0,206.8
South Korea/Goheung,34.61826,127.27572,51.91,1994,1994-04-01,91,,,80.0,
