location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Gunsan,36.0053,126.76135,23.2,1980,1980-04-22,113,1.1,33.1,84.0,115.6
South Korea/Gunsan,36.0053,126.76135,23.2,1981,1981-04-02,92,0.59,52.4,90.0,94.1
South Korea/Gunsan,36.0053,126.76135,23.2,1982,1982-04-02,92,2.0,50.4,90.0,91.0
South Korea/Gunsan,36.0053,126.76135,23.2,1983,1983-04-16,106,2.21,54.1,88.0,121.9
South Korea/Gunsan,36.0053,126.76135,23.2,1984,1984-04-23,114,-0.15,14.2,86.0,56.2
South Korea/Gunsan,36.0053,126.76135,23.2,1985,1985-04-02,92,,,86.0,
South Korea/Gunsan,36.0053,126.76135,23.2,1986,1986-04-22,112,0.58,22.5,90.0,98.4
South Korea/Gunsan,36.0053,126.76135,23.2,1988,1988-04-21,112,1.78,27.3,86.0,71.8
South Korea/Gunsan,36.0053,126.76135,23.2,1989,1989-04-14,104,3.62,70.0,81.0,236.7
South Korea/Gunsan,36.0053,126.76135,23.2,1990,1990-04-12,102,3.21,80.0,83.0,190.6
South Korea/Gunsan,36.0053,126.76135,23.2,1991,1991-04-19,109,2.05,37.5,84.0,143.1
South Korea/Gunsan,36.0053,126.76135,23.2,1992,1992-04-08,99,3.43,81.1,82.0,81.9
South Korea/Gunsan,36.0053,126.76135,23.2,1993,1993-04-18,108,2.54,40.2,84.0,93.6
South Korea/Gunsan,36.0053,126.76135,23.2,1994,1994-04-17,107,2.02,22.0,90.0,76.6
South Korea/Gunsan,36.0053,126.76135,23.2,2015,2015-04-09,99,,,89.0,
