location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Gwangju,35.17294,126.89158,72.38,1980,1980-04-11,102,1.39,36.6,,137.1
South Korea/Gwangju,35.17294,126.89158,72.38,1981,1981-04-08,98,1.34,71.2,90.0,92.8
South Korea/Gwangju,35.17294,126.89158,72.38,1982,1982-04-04,94,1.93,63.3,89.0,124.4
South Korea/Gwangju,35.17294,126.89158,72.38,1983,1983-04-08,98,2.21,66.6,,138.1
South Korea/Gwangju,35.17294,126.89158,72.38,1984,1984-04-13,104,-0.0,19.3,,52.8
South Korea/Gwangju,35.17294,126.89158,72.38,1985,1985-04-11,101,1.15,34.7,88.0,173.8
South Korea/Gwangju,35.17294,126.89158,72.38,1986,1986-04-01,91,0.95,28.5,89.0,108.4
South Korea/Gwangju,35.17294,126.89158,72.38,1987,1987-04-08,98,2.38,45.2,86.0,179.0
South Korea/Gwangju,35.17294,126.89158,72.38,1988,1988-04-13,104,1.79,27.1,,112.2
South Korea/Gwangju,35.17294,126.89158,72.38,1989,1989-04-05,95,3.78,85.6,81.0,258.8
South Korea/Gwangju,35.17294,126.89158,72.38,1990,1990-04-02,92,3.48,98.1,81.0,195.1
South Korea/Gwangju,35.17294,126.89158,72.38,1991,1991-04-01,91,2.35,50.1,,205.8
South Korea/Gwangju,35.17294,126.89158,72.38,1992,1992-03-31,91,3.57,94.9,85.0,116.1
South Korea/Gwangju,35.17294,126.89158,72.38,1993,1993-04-07,97,2.39,42.2,83.0,141.8
South Korea/Gwangju,35.17294,126.89158,72.38,1994,1994-04-08,98,2.02,24.3,,82.2
South Korea/Gwangju,35.17294,126.89158,72.38,2015,2015-04-03,93,3.04,76.5,88.0,101.3
South Korea/Gwangju,35.17294,126.89158,72.38,2016,2016-03-31,91,,,79.0,
South Korea/Gwangju,35.17294,126.89158,72.38,2017,2017-04-09,99,2.68,45.5,83.0,75.9
South Korea/Gwangju,35.17294,126.89158,72.38,2018,2018-03-29,88,2.27,97.5,90.0,183.9
South Korea/Gwangju,35.17294,126.89158,72.38,2019,2019-03-29,88,,,86.0,
South Korea/Gwangju,35.17294,126.89158,72.38,2020,2020-03-29,89,,,79.0,
