location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Haenam,34.55375,126.56907,16.36,1980,1980-04-01,92,3.7,87.7,,182.5
South Korea/Haenam,34.55375,126.56907,16.36,1981,1981-04-09,99,3.64,95.8,,119.5
South Korea/Haenam,34.55375,126.56907,16.36,1982,1982-04-05,95,3.81,108.7,,158.2
South Korea/Haenam,34.55375,126.56907,16.36,1983,1983-04-08,98,4.38,107.9,76.0,172.0
South Korea/Haenam,34.55375,126.56907,16.36,1984,1984-04-16,107,,,81.0,
South Korea/Haenam,34.55375,126.56907,16.36,1985,1985-04-04,94,3.24,61.3,78.0,200.5
South Korea/Haenam,34.55375,126.56907,16.36,1986,1986-04-08,98,,,84.0,
South Korea/Haenam,34.55375,126.56907,16.36,1987,1987-04-09,99,,,67.0,
South Korea/Haenam,34.55375,126.56907,16.36,1988,1988-04-14,105,3.89,72.6,81.0,136.9
South Korea/Haenam,34.55375,126.56907,16.36,1989,1989-03-21,80,5.46,145.8,,290.0
South Korea/Haenam,34.55375,126.56907,16.36,1990,1990-04-09,99,,,70.0,
South Korea/Haenam,34.55375,126.56907,16.36,1991,1991-04-14,104,4.52,92.0,76.0,249.2
South Korea/Haenam,34.55375,126.56907,16.36,1992,1992-04-08,99,,,74.0,
South Korea/Haenam,34.55375,126.56907,16.36,1993,1993-04-11,101,4.45,94.3,71.0,181.7
South Korea/Haenam,34.55375,126.56907,16.36,1994,1994-04-12,102,4.0,63.2,,99.4
