location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Hapcheon,35.56503,128.16986,32,1980,1980-04-01,92,1.38,39.4,87.0,110.7
South Korea/Hapcheon,35.56503,128.16986,32,1981,1981-04-07,97,0.36,68.1,90.0,94.8
South Korea/Hapcheon,35.56503,128.16986,32,1982,1982-04-03,93,2.3,74.4,90.0,141.6
South Korea/Hapcheon,35.56503,128.16986,32,1984,1984-04-17,108,0.13,21.5,90.0,33.9
South Korea/Hapcheon,35.56503,128.16986,32,1985,1985-04-12,102,1.39,36.3,88.0,168.6
South Korea/Hapcheon,35.56503,128.16986,32,1986,1986-04-08,98,0.71,33.9,,108.4
South Korea/Hapcheon,35.56503,128.16986,32,1987,1987-04-06,96,2.14,45.9,88.0,166.9
South Korea/Hapcheon,35.56503,128.16986,32,1988,1988-04-12,103,,,87.0,
South Korea/Hapcheon,35.56503,128.16986,32,1989,1989-04-14,104,,,,
South Korea/Hapcheon,35.56503,128.16986,32,1990,1990-04-04,94,3.17,80.8,87.0,193.0
South Korea/Hapcheon,35.56503,128.16986,32,1991,1991-04-13,103,2.21,45.2,,197.7
South Korea/Hapcheon,35.56503,128.16986,32,1992,1992-04-02,93,3.24,92.1,85.0,124.9
South Korea/Hapcheon,35.56503,128.16986,32,1993,1993-04-05,95,2.43,56.6,85.0,166.7
South Korea/Hapcheon,35.56503,128.16986,32,1994,1994-04-04,94,1.94,27.1,90.0,94.2
