location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Hongcheon,37.68358,127.8804,139.95,1980,1980-04-27,118,-2.82,15.7,,63.1
South Korea/Hongcheon,37.68358,127.8804,139.95,1982,1982-04-23,113,-0.18,30.2,90.0,97.0
South Korea/Hongcheon,37.68358,127.8804,139.95,1983,1983-04-27,117,-0.98,29.5,,109.1
South Korea/Hongcheon,37.68358,127.8804,139.95,1984,1984-04-03,94,-5.21,4.2,90.0,58.1
South Korea/Hongcheon,37.68358,127.8804,139.95,1985,1985-04-25,115,-2.92,17.0,90.0,105.4
South Korea/Hongcheon,37.68358,127.8804,139.95,1986,1986-04-23,113,-4.11,16.7,90.0,75.5
South Korea/Hongcheon,37.68358,127.8804,139.95,1987,1987-04-24,114,-1.77,10.2,90.0,163.6
South Korea/Hongcheon,37.68358,127.8804,139.95,1988,1988-04-21,112,-1.07,7.6,89.0,56.0
South Korea/Hongcheon,37.68358,127.8804,139.95,1989,1989-04-19,109,1.11,25.9,90.0,226.5
South Korea/Hongcheon,37.68358,127.8804,139.95,1990,1990-04-16,106,0.18,34.3,90.0,213.7
South Korea/Hongcheon,37.68358,127.8804,139.95,1991,1991-04-23,113,,,88.0,
South Korea/Hongcheon,37.68358,127.8804,139.95,1992,1992-04-14,105,0.11,46.1,89.0,89.0
South Korea/Hongcheon,37.68358,127.8804,139.95,1993,1993-04-25,115,-0.3,17.7,,113.6
South Korea/Hongcheon,37.68358,127.8804,139.95,1994,1994-04-15,105,,,90.0,
