location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Icheon,37.26399,127.48421,80.09,1980,1980-04-24,115,-1.6,17.4,89.0,72.5
South Korea/Icheon,37.26399,127.48421,80.09,1981,1981-04-18,108,,,90.0,
South Korea/Icheon,37.26399,127.48421,80.09,1982,1982-04-18,108,,,90.0,
South Korea/Icheon,37.26399,127.48421,80.09,1983,1983-04-08,98,0.17,40.3,90.0,113.0
South Korea/Icheon,37.26399,127.48421,80.09,1984,1984-04-19,110,,,90.0,
South Korea/Icheon,37.26399,127.48421,80.09,1985,1985-04-01,91,-1.81,20.8,,110.2
South Korea/Icheon,37.26399,127.48421,80.09,1986,1986-04-18,108,-2.84,19.7,90.0,75.6
South Korea/Icheon,37.26399,127.48421,80.09,1987,1987-04-14,104,-0.58,17.7,,152.5
South Korea/Icheon,37.26399,127.48421,80.09,1988,1988-04-14,105,-0.37,13.8,90.0,57.4
South Korea/Icheon,37.26399,127.48421,80.09,1989,1989-04-06,96,2.1,36.2,,217.2
South Korea/Icheon,37.26399,127.48421,80.09,1990,1990-04-13,103,,,,
South Korea/Icheon,37.26399,127.48421,80.09,1991,1991-04-19,109,-0.75,21.1,,134.5
South Korea/Icheon,37.26399,127.48421,80.09,1992,1992-04-08,99,1.32,57.7,89.0,80.7
South Korea/Icheon,37.26399,127.48421,80.09,1993,1993-04-09,99,0.57,20.2,87.0,104.3
South Korea/Icheon,37.26399,127.48421,80.09,1994,1994-04-12,102,0.23,9.0,90.0,73.4
South Korea/Icheon,37.26399,127.48421,80.09,1995,1995-04-17,107,0.87,28.5,,84.8
South Korea/Icheon,37.26399,127.48421,80.09,2006,2006-04-11,101,0.82,26.7,90.0,55.5
South Korea/Icheon,37.26399,127.48421,80.09,2015,2015-04-07,97,,,90.0,
