location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Imsil,35.61203,127.28556,247.04,1980,1980-04-18,109,-0.72,19.6,87.0,135.9
South Korea/Imsil,35.61203,127.28556,247.04,1981,1981-04-17,107,-1.07,57.8,,117.7
South Korea/Imsil,35.61203,127.28556,247.04,1982,1982-04-15,105,0.73,46.6,90.0,110.0
South Korea/Imsil,35.61203,127.28556,247.04,1983,1983-04-16,106,0.54,43.4,90.0,154.9
South Korea/Imsil,35.61203,127.28556,247.04,1984,1984-04-25,116,-2.34,13.5,90.0,58.3
South Korea/Imsil,35.61203,127.28556,247.04,1985,1985-04-19,109,,,88.0,
South Korea/Imsil,35.61203,127.28556,247.04,1986,1986-04-19,109,-1.08,19.7,90.0,122.6
South Korea/Imsil,35.61203,127.28556,247.04,1987,1987-04-17,107,0.93,31.8,87.0,209.8
South Korea/Imsil,35.61203,127.28556,247.04,1988,1988-04-19,110,0.51,16.6,87.0,115.4
South Korea/Imsil,35.61203,127.28556,247.04,1989,1989-04-11,101,2.5,49.7,84.0,280.0
South Korea/Imsil,35.61203,127.28556,247.04,1990,1990-04-01,91,,,,
South Korea/Imsil,35.61203,127.28556,247.04,1991,1991-04-19,109,0.65,35.3,87.0,187.7
South Korea/Imsil,35.61203,127.28556,247.04,1992,1992-04-15,106,2.15,72.5,86.0,111.2
South Korea/Imsil,35.61203,127.28556,247.04,1993,1993-04-25,115,1.03,30.3,87.0,135.0
South Korea/Imsil,35.61203,127.28556,247.04,1994,1994-04-02,92,0.64,13.5,,86.1
